Chinadajba,,1312,1129436,2
Chinawind,,1338,1119462,2
Koreaking,,1162,1119400,1
Koreamrkim,,1071,1109410,1
Korealati,,1049,1099431,0
Chinaqiyue,,1201,1089447,0
Chinaone,,1076,1089414,0
Koreasano,,1050,1079517,0
Koreanaeun,,973,1069418,1
Koreaclear,,938,1059462,0
Korealove,,1021,1049406,3
Koreablue,,1000,1039574,0
Doobydoo,,845,1039464,1
Tamida,,730,1039434,0
Sauzer,,851,1039433,0
Luotianyi,,982,1029454,1
Mirades,,1036,1019490,2
Russnoptw,,862,1019417,1
Gulimok,,1130,1019415,0
Youwin,,687,1009439,0
Kubota,,870,999575,0
Enyo,,767,999448,0
Koreassoju,,1019,999401,2
Mechanic,,920,989625,0
Saynoptw,,966,989493,2
Koreatrima,,790,989430,2
Iose,,705,979576,1
Elas,,473,979533,0
Gideon,,707,979465,3
Rumakc,,794,979460,0
Rulet,,690,969519,0
Korearolex,,759,959580,0
Saynoptw,,798,959562,0
Rngold,,829,959561,4
Maje,,823,959453,2
Event,,731,949475,0
Ptwsux,,869,949443,0
Quatus,,771,949432,2
Muta,,718,949400,0
Dyomanoptw,,795,939589,1
Rina,,616,939554,1
Andrzej,,705,939515,0
Zurdaga,,459,939503,0
Spyclown,,471,939491,1
Koreacool,,831,939464,0
Redneck,,781,939460,1
Lysandra,,661,939449,1
Rubas,,714,939430,3
Nopaytowin,,842,939426,2
Dagnabit,,456,939423,2
Gimli,,497,939417,0
Agata,,368,939410,5
Chinaeq,,686,929649,0
Ptwsux,,844,929645,0
Jojo,,506,929554,0
Zevuz,,562,929401,1
Irug,,528,919541,0
Omen,,534,919522,1
Hored,,469,919519,1
Ommm,,351,919412,0
Esuk,,701,909743,0
Koreashoon,,736,909646,0
Shilien,,575,909575,0
Koreakata,,637,909575,3
Ryunans,,468,909550,2
Tezez,,651,909540,0
Ruby,,809,909538,5
Muvit,,559,909526,0
Queenie,,782,909516,1
Fenix,,391,909481,1
Koreac,,760,909454,8
Ejon,,475,909433,3
Raphtalia,,345,899524,0
Tullumi,,487,899512,3
Makcikya,,650,899445,1
