Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Koreaabin;;1266;70.00;116;544;178;9;150;1;
Chinamogu;;1365;70.00;113;550;185;6;165;2;
Chinablue;;1275;70.00;111;495;201;11;138;1;
Ptwsux;;1227;70.00;110;544;162;13;149;2;
Koreacolen;;1232;70.00;109;464;155;8;158;1;
Chinalong;;1070;70.00;109;487;150;6;163;1;
Koreakong;;1126;70.00;107;519;162;9;151;3;
Koreamoon;;932;70.00;107;585;153;7;150;0;
Castani;;939;70.00;106;520;178;13;130;0;
Laeralei;;883;70.00;105;442;109;11;146;0;
Balderk;;937;70.00;104;449;137;9;153;0;
Proxygold;;895;70.00;104;505;141;6;155;1;
Koreazones;;930;70.00;104;515;140;9;143;5;
Felmobdos;;913;70.00;104;535;152;7;154;2;
Koreamir;;981;70.00;104;536;169;20;85;1;
Tgodtime;;766;70.00;104;547;206;10;140;2;
Koreaanpan;;1076;70.00;103;370;121;10;146;0;
Koreaokok;;834;70.00;103;496;149;8;151;4;
Eluk;;841;70.00;103;557;244;14;119;3;
Chinamumu;;808;70.00;103;574;177;13;125;1;
Chinadevil;;1079;70.00;102;489;148;12;136;1;
Nunra;;920;70.00;101;536;244;25;76;2;
Korean;;880;70.00;101;539;190;11;137;3;
Kimbo;;922;70.00;101;543;220;17;109;4;
Elonmusk;;794;70.00;101;548;187;16;114;3;
Ethan;;867;70.00;101;572;208;7;163;2;
Ovuge;;872;70.00;101;580;177;17;110;1;
Jasi;;834;70.00;100;378;84;5;181;0;
Chinahaha;;875;70.00;100;405;101;8;169;1;
Chinasoul;;829;70.00;100;541;142;10;150;4;
Dexy;;958;70.00;100;556;142;5;179;2;
Notagain;;650;70.00;100;573;138;8;163;2;
Zava;;801;70.00;100;596;222;10;162;4;
Rivierakid;;857;70.00;99;445;112;17;111;2;
Umbradei;;899;70.00;99;456;153;6;164;2;
Koreacami;;755;70.00;99;479;188;10;142;1;
Xxxxx;;769;70.00;99;497;150;16;109;1;
Saphira;;922;70.00;98;415;117;8;158;2;
Efreg;;944;70.00;98;418;109;17;108;1;
Tenbird;;619;70.00;98;444;137;6;165;0;
Qingmo;;883;70.00;98;463;128;19;93;2;
Happy;;830;70.00;98;482;187;19;98;2;
Seba;;834;70.00;98;497;189;7;161;0;
Gettinit;;832;70.00;98;509;158;7;156;1;
Hoony;;918;70.00;98;514;140;8;139;0;
Killer;;822;70.00;98;529;228;10;145;1;
Koreaggun;;590;70.00;98;576;172;13;129;2;
Arion;;816;70.00;98;588;240;4;164;3;
Koreagaia;;831;70.00;98;591;187;3;169;3;
Koreatop;;635;70.00;98;594;154;13;125;6;
Koreaman;;769;70.00;97;317;84;15;122;1;
Mrrobot;;815;70.00;97;416;97;17;114;4;
Item;;685;70.00;97;430;87;9;149;3;
Saynoptw;;818;70.00;97;491;119;19;92;3;
Ordathi;;965;70.00;97;509;203;7;156;3;
Tamara;;822;70.00;97;545;138;11;125;0;
Shotgun;;488;70.00;97;562;206;6;167;6;
Koreano;;740;70.00;96;412;124;11;134;0;
Boomblast;;741;70.00;96;476;162;7;158;1;
Zatun;;689;70.00;96;564;164;7;151;1;
Marysue;;667;70.00;96;565;168;14;112;1;
Bountnoptw;;463;70.00;96;565;157;6;160;0;
Chinaaa;;957;70.00;95;337;74;16;118;0;
Koreaminju;;805;70.00;95;346;99;10;157;2;
Koreadream;;915;70.00;95;356;137;10;161;4;
Power;;950;70.00;95;391;154;6;183;2;
Sonja;;655;70.00;95;415;96;21;104;4;
Samuel;;578;70.00;95;443;106;9;157;1;
Saynoptw;;649;70.00;95;524;149;21;98;1;
Zero;;887;70.00;95;528;207;7;174;6;
Abci;;649;70.00;95;559;131;7;168;0;
Golddigger;;602;70.00;95;560;160;11;154;1;
Borke;;689;70.00;94;357;121;10;147;2;
