Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Koreaking;;1468;70.00;111;586;245;17;101;0;
Koreamrkim;;1363;70.00;109;535;200;8;145;0;
Koreanaeun;;1311;70.00;109;559;221;2;179;0;
Chinawind;;1582;70.00;108;414;158;11;136;1;
Chinagcd;;1537;70.00;107;473;175;15;111;0;
Chinakey;;1284;70.00;107;502;202;12;141;0;
Koreasano;;1092;70.00;106;559;211;10;146;0;
Ulysses;;1097;70.00;105;429;115;10;154;1;
Sauzer;;1015;70.00;105;451;144;8;167;0;
Koreablue;;1057;70.00;105;525;162;7;173;0;
Koreahades;;1143;70.00;105;538;175;5;187;1;
Knight;;1111;70.00;105;585;261;6;194;1;
Mirades;;1126;70.00;103;454;192;13;129;0;
Ayumi;;1098;70.00;103;547;164;22;72;2;
Bucola;;1201;70.00;103;567;194;10;144;2;
Gulimok;;1252;70.00;102;467;147;6;158;0;
Enyo;;1001;70.00;102;474;146;20;89;3;
Spyclown;;960;70.00;102;486;175;9;151;0;
Korealove;;1010;70.00;102;512;163;6;157;0;
Koreaclear;;920;70.00;102;549;183;12;130;1;
Tamida;;681;70.00;102;571;184;16;113;0;
Mini;;1098;70.00;102;583;187;13;122;1;
Bounty;;1044;70.00;101;538;180;7;150;1;
Arin;;1194;70.00;101;563;292;13;129;1;
Dyomanoptw;;1010;70.00;101;592;199;3;169;1;
Koreassozu;;1121;70.00;100;442;121;6;179;2;
Koreahi;;996;70.00;100;457;168;7;175;0;
Russ;;950;70.00;100;460;141;4;181;0;
Pilinator;;971;70.00;100;470;142;6;177;1;
Warone;;973;70.00;100;490;117;8;164;0;
Chinaxiaoz;;875;70.00;100;521;165;0;209;0;
Amal;;1112;70.00;98;417;147;13;124;0;
Chinaniupi;;784;70.00;98;495;158;12;130;1;
Sublime;;1001;70.00;98;514;151;13;127;1;
Ptwsux;;1002;70.00;98;561;182;17;104;3;
Saynoptw;;1132;70.00;97;372;114;9;145;1;
Maje;;1006;70.00;97;534;227;16;110;1;
Dagnabit;;635;70.00;97;537;146;17;103;2;
Koreatrima;;787;70.00;97;550;190;17;99;1;
Ptwsux;;827;70.00;97;554;167;7;149;2;
Beorn;;877;70.00;97;564;182;12;132;3;
Rubin;;732;70.00;97;570;242;13;120;0;
Rumakc;;843;70.00;96;461;144;9;139;0;
Dene;;824;70.00;96;563;199;13;131;0;
Osmund;;761;70.00;95;435;112;19;108;0;
Tuzema;;734;70.00;95;456;105;7;162;1;
Saynoptw;;888;70.00;95;515;122;9;157;2;
Ptwsux;;846;70.00;95;533;176;17;123;1;
Jojo;;555;70.00;95;554;206;13;149;2;
Koreakata;;854;70.00;94;509;266;12;132;0;
Dualsword;;868;70.00;94;528;176;12;133;1;
Irtez;;1002;70.00;94;540;247;21;78;1;
Honor;;977;70.00;94;544;249;24;76;0;
Matrempit;;973;70.00;94;585;257;15;120;0;
Andrzej;;847;70.00;93;425;150;3;173;0;
Rudeeman;;838;70.00;93;484;160;11;135;2;
Saynoptw;;812;70.00;93;502;133;13;118;4;
Bartnoptw;;977;70.00;93;503;188;13;120;0;
