Baipiao,,1962,74.81,165,547,4
Chinacctv,Champion,1951,74.75,164,498,4
Igom,,2016,74.44,161,574,7
Rain,,1916,74.75,161,581,4
Reva,,1904,74.69,160,520,11
Keke,,1940,74.75,159,449,3
Nobody,,1777,72.56,158,508,3
Umbradei,Warlord,1803,74.25,157,452,7
Gavvik,,1905,74.75,157,572,11
Timberwolf,,1885,74.19,157,588,5
Kornewmeta,,1921,74.69,156,577,10
Korimsnack,,1886,74.31,156,594,0
Jeka,,1901,74.5,154,427,4
Kormaetel,,1783,74.25,154,525,7
Nemesis,,1934,74.38,154,534,10
Diabloiv,,1839,74.5,153,547,6
Chinaii,,1714,74.19,152,559,13
Tengo,,1751,74.63,151,458,2
Kordoor,,1819,74.25,151,481,1
Hegemony,,1937,74.75,151,509,8
Qwzx,,1513,73.31,151,535,2
Rudiment,,1903,74.44,150,480,5
Lover,,1903,74.25,150,536,7
Simon,,1876,73.44,149,510,6
Korptdance,,1555,74.19,149,576,3
Colombia,,1856,73.94,149,583,7
Pathetic,,1659,73.94,149,591,3
Esathod,,1303,73.38,148,531,3
Korha,,1651,74.31,148,547,10
Kortime,,1678,73.88,146,513,3
Obrog,,1545,73.25,146,531,9
Abner,,1904,73.19,145,564,7
Kormazenda,,1772,73.94,145,567,6
Korshinsun,,2164,75.69,144,428,15
Hronos,Centurion,1417,73.81,144,519,3
Warhora,,1870,73.75,144,555,7
Mona,Challenger,1817,75,143,581,4
Kobonge,Challenger,1707,73.88,143,582,13
Tajpan,,1556,73.75,143,587,8
Ruhuntress,,1791,73.38,142,438,10
Chinakkk,,1829,74.56,142,493,12
Zehri,,1598,74.56,142,514,14
Slonik,,1335,73.06,142,561,3
Cfback,,1376,74.06,142,573,9
Karyna,,1662,73.56,141,304,2
Ruchip,,1708,73.5,141,477,4
Seul,Challenger,1538,74,141,510,7
Korhunt,,1577,73.81,141,540,4
Korh,,1570,73.5,141,559,10
Runadin,,1664,73.63,140,461,8
Brosco,,1570,73.44,140,534,11
Castani,,1608,73.25,139,486,7
Reigor,,1391,74.19,139,575,20
Latej,Challenger,1386,73.44,139,585,13
Rusi,Challenger,1549,74.63,139,586,1
Zovise,,1343,73.13,138,448,0
Korter,,1489,73.94,138,459,12
Chinazzq,,1740,73.81,138,512,8
Bangbangui,,1448,72.63,138,522,1
Kormove,,1449,73.5,138,558,18
Aukara,,1719,73.56,138,563,13
Korsisiro,,1290,73.5,137,482,3
Korkim,,1491,73.88,137,528,15
Hunter,,1330,72.63,137,543,32
Korhmm,,1398,72.94,137,548,9
Itiz,Centurion,1203,73.31,137,549,6
Artemis,,1715,73.25,137,552,1
Joop,Challenger,1453,73.63,137,583,24
Kordokgo,,1535,73.31,136,394,1
Onetwo,,1246,72.81,136,471,2
Lijom,,1412,72.5,136,482,11
Sisi,,1595,73.5,136,493,8
Elli,,1116,73.63,136,509,1
Ekrig,,1639,73.81,135,467,10
Benyusuf,Challenger,1479,73.81,135,482,8
Eodkfjeu,,1500,72.94,135,512,4
Adal,,1439,73.13,135,517,4
Kormang,,1486,73.25,134,497,14
Bobert,Challenger,1175,72.88,134,530,19
Ginal,,1115,73.63,134,570,9
Selene,,1144,73.81,134,589,20
Korhama,,1505,72.69,133,495,25
Honorpro,,1327,72.94,133,501,14
Ashoota,,1288,72.75,133,511,7
Smulligan,,1563,74.19,133,525,8
Roque,,1251,73.63,133,589,10
Hedi,,1132,74.06,132,421,10
Mocuishle,,1264,73.06,132,472,16
Goldguy,,1369,73.75,132,477,5
Gaze,,1607,73.81,132,478,10
Ruletka,,1659,73.31,132,517,4
Wimpyone,,1138,73.81,132,521,7
Piubum,Challenger,1033,72.81,132,565,19
Xitramp,,1079,73.88,132,573,10
Zerosum,,1168,73.69,132,580,6
Pandora,,761,73.63,132,592,10
Carabina,,1107,73.5,132,598,6
Verona,,1353,73.81,131,465,14
Kordong,Centurion,1279,72.94,131,494,6
Rhettgold,,1399,73.63,131,497,5
Odit,,839,73.25,131,501,1
Evansgambt,,1134,73.63,131,506,3
Zephyr,,721,73.75,131,509,5
Parovoz,,883,73.5,131,575,13
Chinayu,,1434,74.31,130,377,11
Moza,,1408,72.88,130,389,8
Hurat,,1288,73.44,130,466,2
Koroops,,1141,72.75,130,513,10
Haidan,,1280,72.38,130,514,10
Schnitte,,1152,73.69,130,539,24
Funtik,Challenger,1206,73.44,130,594,11
Onaken,,924,72.88,130,594,5
Jordarke,Challenger,1712,74.38,129,493,12
Ummmmm,Challenger,1062,72.56,129,561,26
Dreggz,Centurion,1068,72.88,129,582,10
Chemnitz,,779,73.38,128,412,0
Sundacctv,,906,72.75,128,479,11
Silang,,1247,73,128,480,1
Chinazuo,,1296,73.38,128,483,3
Deletable,,1196,73.25,128,503,9
Evicha,,1063,72.81,128,516,5
Torum,,1179,73.5,128,526,6
Debbie,,1591,73.38,128,547,5
Zoga,,1038,73.63,128,549,11
Jasal,,1117,72.94,128,568,22
Azan,,623,73.19,128,570,1
Korjhr,,1306,73.25,128,575,3
Bratatat,,1415,72.38,128,580,10
Hannah,,1195,72.75,128,593,16
Rdozot,,1159,73.56,127,438,5
Etype,,812,72.25,127,457,11
Koca,,1089,73.81,127,469,2
Hadddddddy,Challenger,1450,72.94,127,470,2
Yuung,,1229,72.94,127,474,2
Madwolf,,936,72.88,127,485,8
Jelly,Challenger,1052,72.94,127,496,12
Korellat,,1369,72.81,127,507,20
Korchoco,,1112,73.13,127,537,9
Reek,Challenger,930,73.13,127,565,11
Kuzas,,1318,73.56,127,581,27
Glorp,,957,74.38,126,335,1
Afsok,,670,73.06,126,446,4
Nomudni,,1022,73.25,126,465,3
Jekiti,,1081,72.63,126,478,5
Mars,Centurion,1195,73.5,126,485,8
Bugrid,,1318,72.94,126,487,12
Raingo,,1311,73.25,126,497,6
Potato,,1196,73.69,126,517,5
Baalhunter,,668,72.56,126,576,8
Svyznoy,,1153,72.25,126,594,8
Boomboom,,974,72.44,126,594,1
Korrain,,1288,73.06,125,357,2
Ohaki,,979,72.56,125,365,3
Kortrigger,,1299,72.81,125,371,6
Cass,,1095,73.56,125,450,7
Coke,,748,72.38,125,535,5
Easygame,,857,71.88,125,593,15
Rekug,,1074,72.94,124,381,9
Cobol,,1218,72.88,124,387,2
Maje,,1153,73.44,124,434,6
Nehis,,1040,72.56,124,453,3
Goddess,,1180,72.81,124,453,15
Erdechis,,417,73.31,124,465,12
Hamkarchan,,804,72.5,124,506,32
Inrise,,1413,72.81,124,548,7
Trinity,,1075,74.25,124,558,6
Tiza,Challenger,976,74.13,123,456,0
Balenciaga,,1461,73,123,467,8
Turuviel,,1189,72.31,123,477,1
Elen,,1128,74.13,123,529,4
Goldie,,977,71.94,123,548,5
Korpjh,,1049,73,123,553,11
Pitbull,,1065,72.5,122,337,8
Koravocado,,985,72.56,122,361,5
Voni,,726,73.06,122,426,5
Norotwo,,1077,71.5,122,448,7
Mirez,,713,73,122,478,5
Didi,,808,72.44,122,496,3
Aukara,,1583,72.5,121,304,5
Kogri,,902,73.13,121,344,8
Titheca,,1219,71.88,121,406,24
Gold,,1273,72.63,121,420,12
Korteam,,1083,73.06,121,432,23
Grevin,,1100,72.75,121,452,7
Neloz,,1063,72.63,121,465,6
Chris,,1098,73.25,121,481,1
Hebrus,,712,73.56,121,486,4
Otillek,,501,72.81,121,499,27
Ditchgirl,,1193,72.81,121,502,15
Kormorning,,887,72.81,121,518,16
Buybuy,,1240,73.56,121,530,1
Remshot,,735,72.5,121,533,3
Kavasaki,,489,72.25,121,533,5
Lara,,1223,72.75,121,535,3
Temp,,744,74.06,121,555,6
Citanri,,856,72.69,121,582,8
Jakrari,,826,72.69,121,596,2
Korhhh,,1502,72.94,120,332,10
Edffud,,1365,73.13,120,343,7
Batuje,,633,72.06,120,371,4
Zemuva,,810,72.63,120,389,2
Caba,,1312,73,120,401,10
Lilith,,987,72.63,120,412,3
Pffft,,962,73.19,120,430,5
Serenity,Challenger,1550,73.5,120,436,5
Dlroakwsk,,1125,72.75,120,461,6
Gurcus,,693,73.25,120,465,14
Edeg,,1308,72.31,120,476,10
Blitz,,1112,72.75,120,483,9
Elena,,1000,72.5,120,501,2
Saremi,,572,72.63,120,502,1
Senet,Challenger,506,72.63,120,507,16
Blake,,1118,72.75,120,510,17
Jraggun,Centurion,1264,73.44,120,515,4
Athom,,947,72.94,120,518,8
Ezagre,,901,71.88,120,524,13
Maako,,782,72.56,120,525,31
