Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Mask;;2017;74,88;159;575;342;5;172;0;
Korst;;2145;74,94;157;531;281;5;172;0;
Cnplayer;;2019;74,88;157;544;357;0;198;0;
Korxxxx;;2100;74,94;156;534;0;6;167;0;
Hjjer;;1959;74,56;156;538;254;3;182;0;
Chinamiao;;2036;75,06;155;490;302;5;184;2;
Korzzzz;;2050;74,81;155;556;322;8;172;1;
Koresse;;2131;74,75;154;531;297;6;168;3;
Kortwo;;2113;75,00;154;534;370;2;186;1;
Ladydee;;2018;74,25;153;571;303;6;163;0;
Mageymage;;2005;74,38;152;537;285;7;167;0;
Kortwocue;;2100;74,88;152;565;255;10;151;1;
Cooly;;1991;73,81;152;590;304;7;162;0;
Rumblncyka;;2020;74,31;150;588;259;7;173;1;
Koroi;;2070;74,63;149;529;283;10;149;0;
Chinag;;1950;74,81;148;419;257;10;147;0;
Gordi;;1989;73,63;146;481;237;9;151;1;
Tarxbronze;;2005;74,38;146;524;242;3;178;3;
Elsa;;1879;73,44;146;598;318;10;146;4;
Lokosofia;;1651;73,25;145;485;248;13;142;0;
Ahnminhyuk;;2074;74,56;145;544;203;11;146;1;
Sorquasbro;;1933;73,75;145;544;279;11;150;3;
Alistin;Centurion;1925;73,31;145;563;234;15;132;3;
Atom;;1869;73,38;145;595;298;7;170;1;
Nurse;;2078;74,06;144;444;236;8;152;0;
Ruva;;2044;74,19;144;479;260;11;134;4;
Alistin;Centurion;1911;73,25;144;507;260;8;151;1;
Memsi;;1928;73,50;144;514;249;8;157;0;
Doden;;1968;74,25;144;557;259;17;112;0;
Korblue;;2080;75,06;143;428;237;18;101;1;
Chinajz;;1997;74,00;143;474;261;10;148;4;
Korflover;;2011;73,63;143;551;307;11;142;1;
Fredd;;2083;74,19;143;567;327;8;150;0;
Blade;;1930;74,25;143;576;265;9;156;4;
Jortis;;1974;73,94;143;581;301;16;106;1;
Mcboring;;1854;73,69;143;584;306;13;130;1;
Tenregri;;1965;74,38;143;591;283;9;147;2;
Erzaph;;1862;72,88;142;457;222;8;150;0;
Solida;Centurion;1982;72,81;142;506;202;9;148;0;
Korsera;;1903;73,81;142;515;220;5;171;2;
Miri;;1946;73,50;142;527;225;15;118;6;
Probinxano;;1981;74,06;142;540;221;16;113;9;
Korando;;2014;74,44;142;564;246;7;154;1;
Jean;;1985;73,50;142;573;200;11;134;4;
Hueputalo;;2003;73,38;142;574;246;12;130;1;
Chinaxf;;2002;73,88;141;289;114;4;179;0;
Hunulo;;1832;73,00;141;460;228;7;165;0;
Kira;;1811;73,88;141;528;200;12;134;1;
Sgpmobile;;1892;73,75;141;535;181;15;119;1;
Michyb;;1842;73,88;141;539;260;14;122;4;
Gamora;;1937;73,75;141;540;219;8;153;1;
Sgmobile;;1889;73,75;141;541;195;13;121;0;
Venan;;1207;73,06;141;550;252;13;136;0;
Chinawu;;1631;73,44;141;567;236;7;163;4;
Imas;;1820;73,44;141;569;226;14;120;1;
Ethekrum;;1944;74,75;141;580;205;13;118;1;
Zolmitripa;;1926;73,50;141;583;276;2;178;1;
Sandra;;1796;73,88;141;586;295;11;141;4;
Korida;;1989;74,50;140;537;229;12;138;0;
Moskvichka;;1943;74,00;140;566;239;19;104;0;
Zard;;1926;74,50;140;574;320;11;157;5;
Sexyass;;1776;73,44;140;588;236;11;154;3;
Zacod;;1897;72,56;140;596;218;10;153;2;
Pugg;;1905;73,50;139;464;194;10;141;2;
Letha;;1782;72,88;139;466;246;12;134;1;
Zonale;;1779;73,25;139;555;207;10;139;7;
Veches;;1429;73,56;139;575;282;0;188;5;
Beebronze;;1740;73,38;139;577;276;9;148;2;
Jentachip;;1937;73,56;138;303;143;20;102;1;
Dezon;;2007;72,81;138;463;204;12;136;2;
Ruchip;;2003;73,75;138;469;284;8;153;3;
Seshi;Challenger;1992;73,63;138;489;224;16;112;1;
Valkyrie;;1824;73,88;138;498;192;16;113;1;
Kseniy;;1849;73,94;138;526;304;9;147;4;
Vesi;;2031;73,69;138;532;206;10;142;2;
Sissi;;1782;73,00;138;536;243;14;121;3;
Korqueenys;;1875;74,31;138;552;235;10;142;1;
Korkhs;;1990;74,25;138;563;340;16;119;11;
Bebe;;1755;73,63;138;564;268;17;112;0;
Kori;Challenger;1890;73,56;138;568;235;9;147;4;
Chinamorge;;1931;73,75;137;370;182;4;179;1;
Hocel;;1974;73,69;137;425;188;19;97;6;
Nuka;;1357;73,44;137;447;213;16;114;0;
Alpheius;;1717;73,06;137;484;183;13;128;0;
Runsk;;1908;73,81;137;503;198;19;101;1;
Hagoz;;1915;73,50;137;530;180;15;119;0;
Mars;;1717;74,19;137;537;216;10;138;1;
Oicasada;;1648;72,81;137;558;217;17;107;0;
Wizardry;;1590;73,75;137;574;181;14;123;2;
Akali;;1904;73,25;137;576;222;16;110;4;
Sitri;;1406;72,69;137;578;269;18;103;4;
Magicman;;1980;74,31;136;375;160;9;147;1;
Nipsanhips;;1807;74,25;136;445;150;16;112;3;
Denali;;1907;74,31;136;476;153;10;145;2;
Mansaok;;1965;73,75;136;502;390;20;98;14;
Sailee;;1825;73,75;136;504;170;15;123;8;
Ruxiaomi;;1780;73,88;136;532;226;9;150;1;
Zoja;;1848;73,06;136;542;147;11;136;15;
Rati;Challenger;1928;73,75;136;542;306;6;162;2;
Varulle;;1198;72,88;136;585;182;12;128;2;
Arcidi;;1592;74,75;136;595;339;6;160;13;
Akolangto;;2031;73,38;135;368;203;12;150;11;
Edrel;;1753;72,94;135;432;162;9;152;3;
Nothi;;1766;72,94;135;449;159;13;129;1;
Nameless;;1123;73,19;135;468;244;11;146;0;
Drmelody;;1708;73,25;135;509;225;16;129;5;
Ashdonryu;;1816;73,75;135;576;304;14;133;16;
Alaverga;;1634;72,88;134;437;174;18;101;4;
Omomi;;1561;73,31;134;473;265;10;151;0;
Zili;;1707;73,00;134;511;280;11;139;1;
Niki;Challenger;1343;72,75;134;533;229;14;124;6;
Thanulo;;1841;73,13;134;537;349;16;119;13;
Ehat;;1606;72,63;134;558;305;4;170;12;
Bichito;;1813;73,13;134;562;236;10;140;3;
Lettuce;;1810;73,31;133;398;169;16;117;0;
Nibi;Challenger;1816;72,69;133;424;197;3;175;1;
Wizardmon;;1338;73,31;133;480;256;12;135;1;
Letha;;1899;74,00;133;485;219;9;146;4;
Tngus;;1781;73,94;133;497;201;10;141;3;
Knockup;;1913;74,19;133;525;183;10;144;3;
Brozu;;1937;73,44;133;535;234;10;134;3;
Iris;;1768;73,31;133;539;231;16;116;6;
Jhlee;;1840;72,56;133;540;229;13;128;5;
Jessy;;1996;73,81;133;545;293;9;157;8;
Natsumi;;1402;74,00;133;550;233;10;151;1;
Light;;1694;73,25;133;577;312;3;177;1;
Lishurze;;1828;74,00;133;588;236;10;150;3;
Kormoon;Challenger;1673;73,63;133;589;207;15;120;16;
Carol;;1010;73,38;133;590;186;7;157;15;
Power;;1883;73,63;132;363;159;15;116;1;
Ruskakun;;1909;72,88;132;408;149;16;115;4;
Banji;;1810;73,38;132;509;257;9;151;3;
Denicious;;1831;73,25;132;563;209;14;118;1;
Egrudnis;;1535;73,38;132;572;251;12;134;1;
Popooipop;;1425;73,38;132;585;221;6;160;2;
Osobaal;;1886;73,88;132;597;329;9;144;8;
Zeroa;;963;73,06;132;598;215;16;123;4;
Mrscyc;;1882;73,00;131;303;144;20;94;1;
Kbot;;1994;73,75;131;375;185;8;154;3;
Olek;;1565;73,25;131;428;162;11;145;2;
Bokruk;;1815;72,56;131;438;209;15;119;5;
Neli;;1424;72,88;131;440;145;15;114;2;
Burgas;;1761;73,44;131;465;158;18;101;1;
Oshart;;1430;73,50;131;469;203;20;93;2;
Ciul;;1714;74,31;131;486;107;13;124;2;
Nicezi;;2009;74,38;131;500;198;17;110;9;
Dryas;;1259;72,81;131;506;248;16;113;1;
Ergadas;;1716;72,94;131;511;188;19;103;11;
