Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Mask;;1989;74,69;159;556;277;4;175;2;
Korkyochon;;2026;74,81;159;566;363;6;167;0;
Burcekra;;2028;74,75;157;463;289;0;196;0;
Twocue;;2011;74,81;157;586;304;3;180;0;
Saplllll;;1976;74,50;156;499;285;10;148;0;
Kortwo;;2030;74,88;156;517;351;5;170;2;
Kort;;2039;74,75;156;517;0;8;157;0;
Chinaf;;2006;74,63;156;524;232;8;155;0;
Korxxx;;2036;75,19;156;544;0;9;149;0;
Koronasiba;;1962;74,25;153;556;361;6;169;1;
Ovchakupel;;1918;73,63;152;524;292;8;158;0;
Sssss;;1904;74,69;152;549;302;5;169;0;
Kinnu;;1945;74,69;152;584;412;7;158;0;
Korzzi;Warlord;1874;74,00;151;568;268;3;182;2;
Kori;;2012;74,63;150;431;227;14;140;0;
Autumnleaf;;1951;73,88;149;542;341;5;172;0;
Piperperri;;1875;74,81;149;546;316;0;193;0;
Zapper;;1839;74,25;149;562;405;14;126;1;
Travisdno;;1865;73,94;149;584;306;12;140;1;
Solida;Centurion;1982;73,88;148;577;307;8;150;2;
Chinafeng;Challenger;1929;74,31;147;353;160;11;143;1;
Alistin;Centurion;1908;73,38;147;506;255;7;158;1;
Andreotti;;1870;73,50;147;523;244;9;153;2;
Sauzer;;1883;73,13;147;534;225;13;126;2;
Balikklase;;1915;73,81;147;539;316;9;153;3;
Alistin;Centurion;1893;73,88;147;592;227;10;146;1;
Deffo;;1347;73,69;146;583;312;16;114;4;
Kurt;;1645;73,63;146;593;397;17;104;1;
Ruslate;;1865;73,81;146;594;224;17;116;3;
Scronk;;1835;74,25;146;596;434;11;138;8;
Korsoondae;;1994;75,00;145;317;145;3;183;3;
Kbot;;1956;74,13;145;482;255;6;176;6;
Korsera;;1904;74,13;144;441;216;3;180;2;
Sorquasgol;;1740;73,56;144;562;278;10;145;3;
Maako;Centurion;1852;73,31;144;563;327;8;163;3;
Kormila;;1763;73,13;142;504;193;9;146;3;
Discodask;;1717;73,75;141;379;44;11;142;1;
Rafers;;1771;73,06;141;444;199;9;150;3;
Shalava;;1611;74,13;141;476;230;15;125;1;
Esse;;1576;73,94;141;479;117;7;166;4;
Michyg;;1579;74,31;141;498;243;11;136;2;
Doden;;1917;73,94;141;536;215;15;115;2;
Volshebnik;;1969;73,31;140;362;165;15;122;0;
Mansaok;;1886;73,56;140;399;272;11;143;0;
Raica;;1585;73,44;140;480;195;10;153;2;
Arya;;1677;74,38;140;483;193;9;159;3;
Lircoz;;1559;73,06;140;529;325;10;152;4;
Ember;;1612;73,81;140;597;274;5;182;2;
Ketamine;;1865;73,63;139;526;269;9;146;9;
Mcboring;;1468;73,31;139;537;223;8;154;1;
Jathak;;1815;74,88;139;538;265;12;131;7;
Treena;;1718;72,81;139;599;214;22;83;3;
Jehra;Challenger;1370;73,38;139;599;242;12;132;9;
Tarlacgold;;1887;72,94;138;444;197;17;110;2;
Tatonri;;1808;73,25;138;525;256;12;138;2;
Turzuta;;1719;73,06;138;560;297;1;189;0;
Kira;;1740;73,81;138;579;331;7;156;5;
Korqueeny;Challenger;1564;73,56;138;580;273;15;113;0;
Riven;;1496;74,00;138;587;307;15;115;7;
Pipka;;1422;74,25;137;469;151;13;130;2;
Nomercy;;1764;73,94;137;513;289;10;143;7;
Lowkey;Challenger;593;72,81;137;568;284;6;156;2;
Bigpeepee;;1386;72,88;137;580;251;7;152;6;
Runsk;;1632;73,81;137;597;279;16;111;2;
Chinalx;;1857;73,81;136;425;189;20;98;3;
Osobaal;;1630;73,31;136;475;211;13;125;3;
Gelkymor;Centurion;1780;72,50;136;572;271;12;138;3;
Tsoufaklas;;1627;72,38;136;584;174;6;158;2;
Blaze;;1856;73,50;135;353;160;10;150;0;
Saja;;1714;72,75;134;355;159;15;122;3;
Moskvichka;;1665;73,06;134;427;176;18;110;1;
Zibitha;Challenger;1219;73,19;134;495;324;10;149;11;
Lazyslackr;;1819;73,88;133;351;179;13;135;1;
Alon;;1969;74,25;133;370;212;9;155;2;
Chinamorge;;1814;73,25;133;474;301;7;159;0;
Sahlazar;;1174;73,63;133;569;246;10;147;3;
Vixen;Centurion;1349;73,63;133;569;375;10;143;3;
Icut;;1295;72,25;133;597;226;19;93;2;
Kadi;Challenger;1590;73,44;133;598;232;9;143;4;
Jasmine;;1376;72,69;132;393;202;16;117;2;
Deltaslow;;1279;72,56;132;475;261;7;154;5;
Dextrina;;1435;72,88;132;481;172;14;124;4;
Zagor;Challenger;1828;74,25;132;508;239;15;124;8;
Otollin;;1518;72,81;132;565;296;18;122;6;
Thalura;;1454;72,50;131;326;105;12;131;0;
Betapepper;;1459;72,94;131;457;198;11;139;1;
Korkim;;1547;73,69;131;466;209;9;151;6;
Wooshy;;1111;72,50;131;499;0;9;153;0;
Korail;;1363;72,81;131;506;196;17;110;4;
Serenityg;Challenger;1624;73,56;131;509;177;14;119;7;
Korbanana;;1615;73,63;131;522;294;11;135;0;
Imin;;1555;73,69;131;535;340;6;163;1;
Marizian;;861;72,88;131;547;282;14;122;3;
Areshi;;1877;74,06;130;257;109;9;158;3;
Suki;;1838;72,69;130;260;126;10;152;1;
Jisu;;1754;73,75;130;336;157;11;140;1;
Mihaanb;;1536;72,75;130;363;193;11;150;3;
Erzeshas;;1531;72,56;130;436;202;12;137;2;
Schwifty;;1339;73,44;130;488;163;12;138;3;
Moji;;1029;73,06;130;492;129;10;145;2;
Blue;;1246;73,56;130;564;227;7;169;6;
Alerdi;Challenger;1235;73,25;129;417;161;10;142;4;
Bboy;;1452;73,19;129;429;221;22;82;0;
Dici;;1411;73,06;129;579;192;9;153;4;
Korkranis;;939;73,88;129;592;184;12;130;5;
Mena;;1432;72,75;129;593;284;9;154;5;
Dunra;;1335;73,44;129;596;245;7;157;5;
Korssd;;1331;73,06;128;403;189;18;105;2;
Mehyr;;1564;73,94;128;408;224;12;134;8;
Esazon;;1401;72,56;128;448;284;8;152;0;
Korkor;;1224;73,44;128;508;218;12;133;0;
Athak;;664;72,44;128;543;202;21;87;1;
Ikeji;;911;73,06;128;553;304;13;125;1;
Ibiza;;1696;73,06;128;568;341;5;171;3;
Kornana;;1680;73,25;128;572;346;11;139;3;
Reja;;1569;72,69;128;597;284;7;155;6;
Elve;;1529;72,63;128;598;217;23;79;6;
Dorkeci;;545;73,00;127;493;117;15;120;2;
Zola;;1310;73,31;127;520;278;13;121;0;
Fghydd;;843;73,69;127;585;159;13;133;2;
Kokrhel;;1226;73,19;127;591;176;13;122;1;
Ivra;;1383;72,81;126;319;88;4;176;4;
Carza;;1647;72,88;126;343;226;11;147;2;
Elmindreda;;1064;73,38;126;372;151;9;148;7;
Denicious;;1570;72,63;126;556;190;9;149;1;
Domo;;809;73,13;126;560;146;11;138;2;
Magicman;;1625;73,94;125;260;134;16;122;0;
Avegod;;1372;73,63;125;262;90;3;185;1;
Oshart;;1364;73,06;125;323;73;10;144;2;
Acahi;;1124;73,63;125;330;158;14;133;1;
Ithobe;;1145;73,75;125;363;111;13;129;2;
Magische;;1326;72,75;125;376;202;12;143;6;
Ihog;;844;72,50;125;395;140;17;117;1;
Temari;;1212;71,63;125;401;202;9;155;1;
Alora;;1671;73,38;125;426;105;13;137;9;
Argada;;1144;72,13;125;561;268;19;110;3;
Venus;;767;73,13;124;391;147;6;159;2;
Zudna;;1034;73,19;124;535;291;16;113;4;
Ozaca;;1557;73,00;124;548;369;15;127;10;
Gghki;;1531;72,31;124;559;229;12;142;5;
Brushfire;;1044;72,69;123;369;194;19;101;3;
Gogu;;1543;72,88;123;396;199;13;130;3;
Anna;;1127;74,00;123;438;235;18;105;1;
Troy;;1122;72,63;123;451;197;10;145;2;
Konni;;1417;74,25;123;457;233;22;86;4;
