Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Baipiao;;1980;74.75;161;406;84;2;181;6;
Chinacctv;;1971;74.75;161;444;160;20;92;1;
Nicorobin;;2035;75.00;161;530;116;13;135;7;
Blackjack;;1869;72.75;160;513;30;9;149;7;
Korasdf;;2019;74.63;160;571;126;12;139;16;
Tactician;Warlord;1964;74.69;159;359;69;19;97;2;
Umbradei;Warlord;2036;73.94;159;547;242;21;86;20;
Ojbk;;1949;74.56;159;590;90;12;134;5;
Champion;;1990;75.00;158;385;85;17;110;7;
Koroooo;;2068;74.81;158;513;103;11;131;3;
Kore;;2051;74.94;158;567;159;10;144;9;
Koroll;;2009;74.75;158;589;122;10;143;4;
Chinaxin;;2003;74.94;158;589;159;20;92;12;
Nemesis;;2038;74.63;157;579;144;30;45;11;
Hegemony;;2036;74.75;156;459;110;22;84;3;
Kormiinbo;;1966;74.69;154;534;131;19;99;17;
Ojikoz;Centurion;1950;74.06;151;568;205;14;123;3;
Ojerez;;1501;73.13;151;586;122;20;96;2;
Abner;;1991;74.13;150;573;131;15;115;8;
Chinayang;;2000;74.88;150;579;155;18;100;32;
Chinasimon;;1861;73.25;149;504;135;21;88;3;
Rommethebh;;2036;74.63;149;598;166;10;141;20;
Korrrrrrrr;;1764;73.00;147;530;157;15;121;6;
Kortetsuro;;1363;72.88;147;554;77;14;121;5;
Warhoo;;1946;73.63;147;557;104;15;114;14;
Hronos;;1842;74.00;146;562;111;18;100;5;
Kormazenda;Centurion;1856;73.69;146;577;76;11;138;7;
Korlollo;;1768;73.38;145;570;91;25;77;17;
Reigor;;1651;74.06;145;599;107;23;84;18;
Korhunt;;1797;73.69;144;583;157;10;143;17;
Korh;;1803;73.44;143;525;104;16;118;9;
Korsilver;;1551;72.94;143;566;129;11;137;6;
Onetwo;;1918;73.88;143;570;141;15;121;9;
Runadin;;1916;74.06;143;588;81;13;124;8;
Tajpan;;1933;73.75;143;590;115;16;113;13;
Korea;;1566;74.19;142;484;122;13;130;9;
Rodot;;1984;73.44;142;566;120;4;176;4;
Chinaaaaaa;;1374;73.75;142;574;90;12;137;15;
Koritaboon;;1329;73.19;142;579;85;6;163;3;
Youcoming;;1624;74.06;141;471;85;12;135;12;
Korhahama;;1545;73.13;141;559;113;6;164;17;
Torghal;;1686;73.63;141;591;113;17;108;7;
Kormang;;1290;73.00;140;489;106;12;134;12;
Etogi;;1485;73.44;140;526;94;21;92;7;
Caille;;1606;73.50;140;576;99;20;94;9;
Akilla;;1663;73.25;140;581;108;15;122;15;
Stallion;;1807;74.13;139;470;165;10;146;23;
Pppppp;;1512;73.44;139;487;112;18;104;7;
Nathiz;;1734;73.00;139;539;115;13;129;9;
Temp;;1619;74.00;139;541;143;22;85;10;
Karud;;1810;74.13;138;457;100;12;132;5;
Nitrosha;Challenger;1908;74.50;138;536;92;7;154;14;
Iamyusuf;;1619;73.75;138;553;99;15;119;8;
Cugida;;1679;73.44;138;560;105;21;82;3;
Zephyr;;1403;73.94;138;560;172;22;81;3;
Torum;;1506;73.75;138;562;102;13;128;7;
Gura;;1284;73.38;138;567;69;19;99;13;
Slonik;;1310;72.50;138;573;101;17;105;1;
Haidan;;1618;72.88;137;536;124;16;110;10;
Korsunmi;;1508;73.13;137;543;108;16;112;5;
Huligan;;1456;74.06;137;560;110;18;106;23;
Lilithsson;;1759;74.44;137;580;74;7;160;4;
Valkyrie;;1427;74.00;136;590;96;8;149;5;
Turgeonx;Centurion;1653;73.31;135;369;53;15;118;5;
Zuran;;1637;73.88;135;490;125;10;146;14;
Rami;;1758;73.56;135;507;90;13;129;13;
Pooty;;1147;74.25;135;515;105;12;131;6;
Agkara;;1597;73.00;135;529;172;11;136;23;
Belcebu;;1078;72.63;135;533;53;24;72;6;
Nerus;;1141;73.13;135;536;54;14;126;1;
Gidi;;1637;73.50;135;546;147;18;101;26;
Korengine;;1393;72.88;135;567;111;6;167;17;
Haddzzy;;1750;73.88;135;568;116;15;117;7;
Serdog;;1334;73.31;135;568;86;14;126;28;
Jraggun;Centurion;1703;74.19;135;573;120;12;133;15;
Jiraljiral;;1848;72.81;135;586;77;17;107;11;
Korminran;;1511;73.38;134;466;162;14;124;11;
Acali;;1438;73.19;134;474;108;16;107;5;
Vevaca;;1268;73.63;134;517;134;6;160;0;
Ithan;;1635;73.81;134;575;137;12;132;11;
Binnilli;;1548;73.00;134;578;94;11;140;13;
Ozed;;987;72.81;134;595;110;11;141;2;
Vame;;1811;74.06;133;319;81;6;160;2;
Pyssypelle;Challenger;1465;72.81;133;393;97;12;131;0;
Robotron;;1609;73.50;133;466;40;19;98;3;
Zxba;;1592;72.94;133;476;131;20;93;4;
Gaon;;1378;73.00;133;487;75;8;147;8;
Korgold;;1762;73.75;133;506;138;12;136;9;
Lunate;;1611;73.56;133;523;104;14;129;13;
Kuga;Challenger;1667;74.06;133;524;79;17;109;14;
Rubinovich;;1496;72.94;133;553;115;18;105;4;
Ibova;;1366;72.94;133;569;90;14;122;7;
Rochorca;;1110;72.50;133;574;105;14;114;5;
Hevri;;1446;72.88;133;592;104;14;137;22;
Evage;;1259;72.00;133;594;171;15;117;5;
Chinayzj;;1117;73.38;132;391;73;6;160;1;
Castani;;1509;72.88;132;441;83;9;151;3;
Redraven;;1017;74.06;132;451;58;19;100;3;
Bidrik;;1565;72.88;132;509;151;17;114;5;
Hita;;1291;72.75;132;517;140;9;150;17;
Svyznoy;;1683;72.94;132;535;117;16;110;5;
Again;;1224;73.13;132;537;109;13;124;5;
Noname;;1059;72.56;132;539;113;7;153;10;
Enox;;1716;73.19;132;541;104;21;90;13;
Ahbeng;;1741;73.63;132;542;91;14;123;6;
Ebol;;1519;73.25;132;544;115;6;160;9;
Korcred;;1492;73.56;132;570;87;13;127;2;
Zerobar;;1181;73.75;132;582;136;16;118;9;
Kekerun;;1759;73.56;131;440;120;17;106;3;
Korkyuu;;1572;73.19;131;451;100;16;111;17;
Llily;;1671;73.00;131;521;81;24;81;17;
Pifpaf;;1423;72.88;131;566;80;13;126;11;
Radag;;1355;73.63;131;577;99;19;98;2;
Deletable;;1383;73.06;130;392;86;18;106;2;
Maje;;1417;73.13;130;452;99;19;102;5;
Grimbounty;;1451;73.63;130;479;87;9;150;8;
Korjsg;;1125;72.06;130;487;153;14;123;10;
Sundacctv;;1244;72.75;130;528;115;11;140;3;
Purplesil;;1450;72.38;130;532;86;15;116;3;
Gollo;;948;73.13;130;537;121;12;134;15;
Vaseline;;1264;73.25;130;546;92;19;107;20;
Korjun;;1786;73.56;130;556;100;18;101;28;
Elantra;Challenger;1049;73.44;130;560;62;17;107;15;
Borcorda;;1499;73.94;130;565;104;21;87;23;
Gargos;;1142;72.94;130;575;113;13;128;7;
Kanre;;788;73.44;130;583;91;15;121;5;
Koroops;;1254;72.56;129;452;87;7;152;8;
Abrog;;1662;73.19;129;501;114;14;121;10;
Reek;Challenger;1166;72.56;129;588;133;20;93;10;
Spectre;;1285;73.81;129;591;236;18;103;8;
Zumag;;1424;72.75;128;430;55;14;115;2;
Kornilen;;1288;73.38;128;524;113;16;112;7;
Okeha;;809;73.56;128;546;93;25;70;26;
Afsok;;831;72.38;128;548;129;7;154;8;
Korjhpapa;;1566;73.31;128;564;127;10;141;7;
Osavad;;1279;72.56;128;598;85;3;175;8;
Prado;;937;73.63;127;502;90;17;103;5;
Hellboy;;1286;73.13;127;505;140;20;93;10;
Abrane;;1344;72.63;127;552;146;13;126;13;
Ercusa;;1169;72.50;127;565;144;11;137;10;
Kovrygka;;1376;73.19;127;577;69;15;119;6;
Shuzz;;1119;71.94;127;584;131;6;155;4;
Nogas;;816;72.88;127;593;106;16;114;5;
Egurce;;889;72.50;127;597;163;16;113;6;
Razi;;1134;72.38;126;377;78;22;77;6;
Tadrul;;919;72.94;126;394;49;25;73;14;
Sisehe;;1201;72.88;126;414;82;20;93;10;
Loja;;954;72.50;126;420;45;12;129;3;
Upgrade;;1139;72.56;126;426;105;10;141;6;
Ranna;;1477;73.31;126;481;90;16;115;0;
Ginger;;1244;72.94;126;497;72;12;134;4;
Tanya;;1032;72.31;126;525;125;12;127;3;
Obiz;;1129;73.13;126;534;98;12;134;2;
Kortomboy;;1205;72.69;125;358;41;17;115;10;
Flow;;1258;72.69;125;402;166;14;130;24;
Forestgump;;1500;73.50;125;403;116;15;119;14;
Titi;;986;73.63;125;411;55;14;122;11;
Madmax;;1098;72.50;125;445;115;12;144;10;
Vera;;1215;73.75;125;452;106;18;108;42;
Mint;;1230;72.88;125;452;86;26;70;40;
Porno;;1175;73.25;125;477;113;7;162;11;
Jibre;;597;72.50;125;479;96;17;113;8;
Mruni;;1606;73.00;125;494;135;11;143;15;
Yuung;;1528;72.69;125;496;109;12;134;3;
Nathi;;1408;72.88;125;510;105;17;115;24;
Luce;;742;72.75;125;547;130;13;130;3;
Event;;950;72.13;125;579;114;7;162;20;
Okiki;;1532;73.25;124;397;82;21;88;23;
Mima;;1571;73.19;124;438;133;12;129;4;
Rolli;;1098;73.19;124;448;169;22;85;6;
Agras;;1326;72.50;124;489;135;15;119;20;
Verken;Challenger;1046;72.50;124;522;150;13;134;10;
Grinch;;1635;72.94;124;532;202;15;114;10;
Amus;;1173;73.00;124;534;88;10;139;3;
Kormanim;;932;73.00;124;534;213;10;146;19;
Zukedna;;1054;73.00;124;543;246;17;102;6;
