Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Korhuntpt;;1659;73.69;141;445;169;18;107;5;android
Annie;;1587;72.31;140;585;172;9;150;16;steam
Silvana;;1562;72.38;136;441;135;14;124;4;android
Roam;;1665;73.44;134;390;124;22;93;2;ios
Zalestia;;1811;72.38;130;343;181;8;162;9;steam
Jaga;;2499;75.69;130;433;75;10;143;10;android
Dunra;;1615;73.19;128;502;235;11;139;5;steam
Koryun;;1510;71.19;128;531;273;11;142;9;android
Jessica;;584;70.63;126;592;171;14;129;14;steam
Gaby;;979;71.56;125;451;173;21;99;26;android
Belolicui;;1551;74.81;124;488;150;12;132;18;android
Sixx;;1487;72.25;123;530;142;13;141;40;android
Hellsolo;;924;70.94;123;573;189;12;131;3;steam
Korchu;;1466;72.69;122;366;171;5;168;8;android
Askaa;;1524;70.81;120;291;55;13;132;9;android
Xise;;1443;71.00;120;344;109;12;136;5;steam
Hivietnam;;1592;71.56;120;364;139;18;111;8;android
Jinunjuice;;1348;71.69;118;577;200;10;149;29;android
Yendor;;1004;70.75;117;476;142;22;87;11;android
Etokri;;805;70.69;115;492;132;9;148;7;steam
Korleeja;;1428;71.06;114;462;214;11;138;21;android
Zine;;901;72.38;112;595;343;12;137;6;steam
Silwerik;;674;71.50;111;312;103;13;127;2;steam
Forfun;;858;70.94;111;507;102;11;137;4;steam
Esetus;;472;70.63;111;516;112;15;124;6;steam
Ocanred;;787;70.38;111;526;168;11;140;2;windows
Atuthi;;736;68.19;111;528;138;15;119;15;android
Vurivri;;549;72.19;110;215;12;23;81;4;steam
Orgin;;1096;71.88;110;451;163;15;125;2;steam
Msdbzm;;1094;71.50;110;499;76;9;157;23;android
Karked;;1010;70.81;109;559;137;14;126;2;steam
Elisen;;807;70.63;109;589;222;20;91;8;android
Uill;;977;70.63;108;401;160;12;128;10;steam
Nari;;839;71.06;108;552;198;14;123;11;android
Dirdasa;;537;70.63;108;576;238;15;115;16;android
Etana;;466;70.25;106;532;156;9;149;12;steam
Grace;;644;70.88;105;434;128;10;152;8;ios
Cuca;;722;70.75;105;591;117;3;181;19;android
Ramah;;1173;71.13;104;385;149;15;120;13;ios
Donutboi;;972;71.44;103;386;129;13;129;11;steam
Caxapok;;893;70.63;103;398;184;14;127;2;android
Mizune;;537;70.50;103;416;171;23;82;25;steam
Zisoga;;644;70.56;103;516;190;12;136;4;android
Tarez;;846;71.19;103;538;141;16;112;11;ios
Reev;;735;67.88;100;221;90;11;146;2;steam
Kasumi;;238;70.44;100;264;56;13;139;4;steam
Vidi;;376;68.00;100;295;67;13;132;2;steam
Howard;;517;70.69;100;311;37;21;94;2;steam
Sira;;645;71.25;100;324;80;18;114;4;android
Jcsuprstar;;915;70.56;100;341;54;16;116;4;android
Keyvan;;407;71.06;100;381;114;14;127;4;steam
Hunter;;828;70.38;100;432;123;17;115;3;android
Aska;;814;70.56;100;464;220;6;173;4;android
Noel;;421;70.75;100;536;230;16;125;13;android
Dori;;373;70.56;98;355;103;6;160;2;steam
Bojame;;615;70.13;98;458;143;16;117;2;steam
Titi;;315;70.38;98;481;59;23;79;30;android
Bbeventzo;;511;70.50;97;376;107;8;157;8;steam
Broody;;499;70.69;97;421;155;9;146;0;steam
Calathien;;575;70.00;97;449;133;16;115;10;android
Vira;;373;70.56;97;519;197;13;131;10;steam
Yert;;532;70.94;97;587;238;7;165;16;android
Akrihe;;343;71.00;96;351;86;12;135;0;ios
Jesod;;385;70.56;96;508;201;7;155;3;steam
Lisander;;435;70.19;96;595;259;3;174;3;steam
Lego;;1187;72.38;95;90;14;14;126;0;windows
Dasha;;363;65.56;95;508;139;12;143;5;steam
Ashun;;408;70.44;95;524;186;15;125;6;ios
Oinksyboin;;413;70.81;95;580;216;10;143;24;ios
Nyannyan;;838;70.69;94;345;81;10;145;18;ios
Ennisin;;524;70.75;94;529;162;17;113;3;android
Biubiu;;354;70.56;94;560;306;13;130;5;android
Spring;;471;70.31;93;277;93;17;112;4;steam
Sades;;455;70.69;93;458;266;10;138;3;steam
Skiler;;394;70.56;93;463;171;7;160;12;android
Merlyn;;572;70.31;93;533;290;11;132;4;android
Nell;;370;70.31;93;588;141;13;125;4;android
Anreca;;264;70.44;92;294;81;17;112;1;steam
Figvam;;281;70.56;92;304;73;12;132;0;android
Nightbloom;;671;70.50;92;338;92;14;128;1;steam
Bimidi;;422;70.38;92;398;214;14;126;3;android
Event;;497;70.50;92;399;132;12;129;1;android
Goodcat;;328;70.44;92;402;222;10;147;6;steam
Lolmado;;431;70.50;92;429;155;10;143;2;steam
Azusiz;;399;70.81;92;563;301;16;110;8;steam
Tyla;;643;70.38;91;354;54;13;130;4;android
Azeph;;313;68.69;91;368;129;14;130;10;steam
Skadaddle;;332;68.63;91;531;224;13;135;22;android
Jacha;;321;68.00;91;573;272;7;161;3;android
Lewd;;581;69.13;90;179;35;9;149;3;ios
Esperas;;218;70.50;90;277;77;5;173;5;steam
Hamer;;571;70.44;90;287;64;14;132;10;android
Liutong;;461;68.06;90;300;70;11;147;8;steam
Wolf;;480;71.31;90;322;92;15;127;7;android
Valla;;458;70.50;90;407;139;14;128;8;steam
Conflicta;;347;70.50;90;423;163;8;161;5;steam
Odan;;382;70.00;90;435;91;11;142;3;android
Data;;974;71.31;90;471;94;15;115;3;android
Devrul;;362;70.44;90;492;154;13;141;0;steam
Barka;;291;69.44;90;503;139;10;152;2;steam
Wargaru;;712;70.69;90;511;213;17;122;13;steam
Dolum;;479;70.63;90;516;215;8;164;2;steam
Aroz;;376;70.56;90;533;160;13;134;17;android
Kiko;;230;70.88;89;387;181;12;131;1;steam
Satarion;;434;70.63;89;397;145;11;137;4;android
Raxjinn;;312;71.06;88;116;20;11;148;0;steam
Sosi;;318;70.50;88;330;114;5;171;2;steam
Kirrea;;267;70.13;88;374;125;13;129;4;steam
Tangtang;;279;70.44;88;374;134;13;133;6;steam
Senclu;;510;70.44;88;385;82;10;148;6;steam
Onricat;;550;70.88;88;406;128;7;159;17;android
Dishchan;;303;69.81;88;425;106;18;108;14;steam
Celin;;351;70.44;88;464;275;25;72;4;steam
Jpmikop;;303;68.63;88;484;200;12;136;1;ios
Zhudd;;288;70.00;88;496;186;13;131;2;android
Evisi;;263;70.06;88;533;255;11;143;6;steam
Zulota;;464;70.38;88;578;262;11;139;5;android
Flame;;229;65.38;87;300;74;10;145;9;steam
Jamit;;263;70.44;87;319;78;16;123;26;ios
Wocao;;472;69.31;87;346;103;26;65;5;ios
Krono;;277;66.88;87;468;195;3;179;7;ios
Kayden;;359;69.63;87;489;154;7;158;2;steam
Isannom;;408;70.13;87;545;263;18;105;19;steam
Ksandros;;738;70.69;87;574;155;24;82;17;android
Kongymm;;648;70.75;86;186;45;14;128;4;steam
Lone;;495;70.44;86;278;56;24;94;10;android
Kopa;;430;68.88;86;495;208;19;107;7;android
Babol;;287;70.56;86;546;311;25;87;16;android
Galzards;;682;69.75;85;238;22;20;99;1;ios
Orgithig;;285;70.06;85;324;118;7;196;2;steam
