Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Korgugugu;;2095;75.19;177;527;239;6;164;6;windows
Hegemony;;2051;74.56;172;512;142;7;159;7;android
Anbathebh;;2107;74.81;172;525;213;10;143;4;windows
Korgao;;2006;74.69;172;576;225;19;105;4;android
Rommethebh;;2050;74.75;171;570;160;20;93;7;android
Korm;;2101;75.13;171;578;234;15;121;7;windows
Kormaetel;;2106;75.00;171;591;152;18;114;5;ios
Korleganza;;2101;74.56;169;519;245;14;129;12;windows
Esse;;2007;74.50;168;397;191;13;134;1;windows
Whoisnext;;2001;73.88;168;532;257;10;145;3;ios
Magug;;1687;73.44;168;589;263;16;121;5;android
Timberwolf;;1911;74.56;166;522;121;8;152;10;ios
Korsonny;;2001;74.13;166;576;221;21;89;3;windows
Ioeues;;2057;74.06;163;543;232;17;109;6;android
Korfalbaek;;1985;74.75;163;581;231;13;128;7;android
Korl;;1999;74.50;163;583;259;11;141;15;android
Kornewbh;;2007;73.94;162;556;110;15;118;8;android
Korzzzzz;;2030;75.00;161;490;188;12;135;9;android
Ruchip;;2085;74.56;160;553;181;13;134;31;android
Korka;;1981;73.75;160;570;235;13;127;19;windows
Umbradei;Warlord;2034;74.25;159;502;337;13;133;129;windows
Phuong;;1933;73.56;159;536;272;20;92;25;android
Chinacy;;1996;74.81;159;537;270;12;133;24;ios
Cargadi;;1958;74.38;159;566;222;9;148;26;android
Doofus;;1991;74.38;159;580;287;8;161;45;ios
Casti;;2052;74.25;158;460;226;12;133;6;windows
Pootyt;Challenger;1904;74.63;158;560;232;20;100;8;ios
Gundam;;2017;73.63;158;591;247;15;117;13;android
Believe;;1871;73.88;157;495;211;6;160;10;steam
Dnomyarx;;2028;74.19;157;559;223;4;172;16;ios
Kufre;;1979;74.81;156;493;148;8;153;4;steam
Rumas;;1962;73.19;156;511;169;16;114;14;ios
Chinaad;;1791;74.00;154;481;212;17;109;19;ios
Karyna;;1869;73.31;154;482;163;13;125;4;ios
Adolin;;1648;73.31;154;570;277;17;108;12;ios
Korgw;;1659;73.81;154;580;292;15;118;30;android
Ennuruz;;1948;73.94;154;590;310;22;82;28;android
Kormovess;;2003;74.06;153;425;182;10;144;8;ios
Bingo;;1928;74.63;153;464;219;18;103;3;android
Lini;Centurion;1811;74.25;153;530;234;15;114;7;windows
Coco;;2012;74.31;153;566;127;5;168;8;ios
Koren;;1989;73.56;153;572;271;8;157;11;ios
Wasted;;1881;73.31;153;593;226;19;104;10;windows
Celene;;2025;74.06;152;405;194;22;86;17;android
Reev;;1570;73.88;152;441;157;15;121;20;steam
Swampdonky;;1948;73.38;152;497;181;12;134;19;android
Tillandsia;;1887;74.38;152;553;245;16;108;7;android
Reigor;;1666;73.88;152;557;241;17;110;25;android
Svyznoy;Challenger;1960;73.94;152;567;176;9;145;1;windows
Imoshi;;1921;74.00;152;568;224;8;152;5;android
Korwind;;1864;74.44;152;587;198;13;130;10;ios
Roque;;1990;73.75;152;597;177;20;95;22;android
Chinajie;;2075;75.19;152;597;245;12;137;35;android
Korpang;Challenger;2020;73.94;151;447;183;13;128;13;android
Fireworks;;1966;73.50;151;496;166;7;158;11;android
Tajpan;;1965;74.19;151;498;113;19;98;10;windows
Ejome;;1858;74.19;151;504;138;11;142;13;steam
Lilithsson;;1914;74.38;151;568;176;9;149;5;android
Bdodecij;;1896;74.38;150;454;194;14;126;26;ios
Monmon;;1929;73.25;150;461;171;10;147;16;ios
Rathi;;1838;73.31;150;560;212;12;134;16;ios
Torumm;;1713;73.94;149;453;238;13;128;7;android
Fenrir;;1925;73.44;149;527;175;15;122;5;android
Asakhani;;1938;72.75;149;537;283;9;148;34;windows
Korhunttt;;2000;74.25;149;547;221;7;161;14;android
Miranda;;1823;72.63;149;563;173;14;121;2;windows
Douchebag;;2007;73.88;148;366;155;14;122;6;ios
Hronos;Centurion;1948;73.38;148;399;208;8;155;9;windows
Zanoza;;2075;73.69;148;452;214;14;128;6;android
Zanitha;;1975;74.19;148;459;234;10;144;10;steam
Kornigimi;;1979;73.63;148;460;167;17;112;11;android
Onetwo;;2023;74.31;148;523;220;13;123;7;android
Pyssypummi;;1932;73.75;148;533;167;18;100;3;steam
Gabriella;;1491;72.25;148;549;235;12;137;12;ios
Natsu;;1991;72.69;148;572;234;8;148;6;android
Jemimah;;1541;74.38;148;575;233;15;118;7;android
Jologs;;2004;72.31;147;432;170;9;148;1;android
Aloris;;2037;74.00;147;470;206;15;120;27;android
Hotpotato;;1793;73.06;147;503;253;19;114;24;android
Karas;;1916;73.69;147;513;215;20;98;15;android
Erdehe;;1609;73.19;147;558;176;15;119;15;windows
Grimshot;;1904;73.56;147;572;228;9;147;22;windows
Moana;;1860;73.13;147;576;243;16;111;19;steam
Rucimi;;2020;73.94;147;588;175;12;132;14;android
Hehehehe;;1916;74.00;146;331;74;25;84;10;android
Lodotha;;1963;73.63;146;551;168;14;126;11;android
Azabi;;1957;73.38;146;576;186;12;138;20;android
Keheke;;1323;72.88;145;452;148;16;120;20;steam
Goodday;;1708;73.25;145;522;178;9;148;22;android
Korsoksok;;1997;74.06;145;554;257;10;147;26;android
Grit;;1271;72.94;145;570;185;17;112;14;android
Udud;;1581;72.88;145;582;219;14;127;19;android
Boom;;1771;73.81;145;585;207;12;141;30;android
Binold;;2037;75.06;144;221;85;9;152;2;windows
Maje;;1702;73.75;144;375;186;9;145;4;android
Roam;;2021;74.50;144;423;206;18;101;4;ios
Blue;;1584;73.88;144;508;225;20;95;24;android
Lazypewpew;;2001;74.06;144;542;176;15;118;7;android
Supremee;;1446;72.94;144;565;180;20;93;6;windows
Silmaril;;636;73.25;144;584;282;9;147;4;windows
Chinazm;;1886;74.31;143;417;174;14;118;11;ios
Ashin;;1506;73.50;143;436;193;11;134;1;ios
Ozaz;;1642;73.88;143;442;216;21;95;5;ios
