Osobaal,,1866,72.94,135,480,3
Ateg,,1207,72.5,121,341,2
Stormcall,,1038,72.94,109,455,3
Magikus,,767,67.88,108,434,1
Rathel,,627,71.63,105,397,5
Gruba,,653,71.06,100,281,2
Nims,,1272,70.44,99,124,0
Banewiz,,326,69.94,97,449,13
Teseg,,938,70.81,93,205,3
Myxe,,426,70.81,92,443,2
Icul,,266,71.13,91,503,0
Silentclap,,469,70.69,90,222,0
Causekey,,420,70.25,90,240,1
Ernie,,783,70.44,89,375,1
Katiebug,,337,70.31,88,572,0
Kikret,,347,70.56,85,405,8
Enit,,249,70.5,84,549,4
Dudraz,,248,69.56,83,435,2
Mebem,,335,70.31,83,447,0
Zhaoshixi,,338,70.44,83,516,6
Maps,,219,68.94,82,374,0
Hekkate,,220,69.5,82,496,2
Avarose,,224,70.19,82,549,5
Goose,,305,70.44,81,570,9
Rafrinni,,549,67.19,80,260,0
Irina,,274,64.38,80,294,0
Jisha,,201,70.5,80,304,3
Alessia,,195,59,80,310,1
Hana,,514,70.5,80,417,6
Tubri,,464,71.06,80,472,32
Gama,,692,70.44,79,77,0
Chaotikbdd,,204,71.13,79,474,3
Krystal,,262,69,78,527,6
Aldur,,279,66.19,77,407,0
Robin,,624,70.88,77,443,3
Halina,,421,70.25,77,481,9
Luna,,191,70.31,77,523,0
Baom,,221,69.44,76,287,0
Koshat,,172,63,76,340,6
Azzope,,188,71,75,297,11
Krystal,,182,70.44,75,335,6
Temi,,172,70.19,75,370,0
Vegreja,,171,66.88,75,428,12
Delfinavcp,,298,68.31,74,466,9
Koto,,534,70.63,73,278,0
Rashodni,,203,70.25,73,518,1
Jinysb,,350,70,73,543,16
Emukrim,,223,69.06,72,378,8
Negnel,,275,68.56,72,432,2
Charlini,,329,68.56,72,477,0
Yennifer,,239,70.44,72,499,30
Gene,,315,70.13,71,531,2
Chentmag,,177,64.44,71,573,4
Rezothi,,122,69.69,70,304,0
Kakacpaka,,117,63.13,70,358,9
Carku,,209,67.88,69,361,3
Allishem,,188,69.25,69,461,3
Luba,,158,70.94,68,290,4
Aysan,,210,70.25,68,407,1
Lacrizon,,370,67.13,68,430,3
Vurce,,239,69.56,68,524,2
Gold,,107,67.88,68,528,4
Spaw,,186,64.75,67,295,2
Barbusoi,,145,65.75,67,346,3
Systina,,149,69.19,67,349,9
Labal,,129,69.25,67,410,1
Szuhai,,488,68.19,67,451,0
Lyly,,145,68.94,67,458,24
Sharmel,,176,70.38,67,482,0
Segs,,166,68.25,67,568,32
Donnugi,,214,65.56,66,328,1
Roban,,329,71.06,65,209,11
Hatepowa,,313,68.13,65,234,3
Brook,,147,67.88,65,235,0
Diji,,198,67.88,65,272,1
Ovrura,,116,63.38,65,286,8
Ergiz,,211,67.44,65,297,0
Darin,,144,68.94,65,308,2
Zaja,,231,59.81,65,382,6
Olal,,190,64.25,65,560,10
Elaine,,199,69.56,64,417,2
Cale,,252,64.19,64,424,1
Zobe,,208,67.81,64,439,4
Ufiel,,311,69.06,64,567,1
Gohug,,189,70.56,64,586,15
Poronga,,196,68.81,63,293,0
Shmyga,,183,69.56,63,364,0
Saltooh,,260,68.19,63,387,6
Abele,,284,71,63,460,0
Lady,,185,68.06,63,490,7
Banghino,,160,69.5,63,562,0
Burti,,314,69,62,399,3
Mariah,,192,66.5,62,416,1
Orcik,,128,67.06,62,491,19
Ezurce,,411,69.94,62,526,5
Jeke,,226,70.13,61,278,1
Arinre,,164,66.38,61,310,3
Sedod,,203,69.63,61,333,9
Wizfoo,,296,70,61,404,0
Archon,,128,66.44,61,435,3
Gija,,261,70.19,61,442,10
Aczia,,125,68.63,60,212,0
Umizu,,322,70.5,60,229,0
Omega,,153,65.56,60,234,0
Dedded,,225,68.94,60,275,2
Mithe,,210,69.31,60,287,4
Odad,,202,70.5,60,333,7
Dakeke,,116,63.06,60,430,0
Ejekumaga,,309,70.19,60,445,8
Songoku,,159,64.63,60,479,12
Zane,,121,56.75,59,402,0
Bavira,,251,67.75,59,408,1
Enrezas,,134,68.19,58,338,1
Lily,,104,62,58,352,2
Wlaniu,,113,64.56,58,385,0
Pansenkop,,186,67.63,58,433,3
Arahni,,169,68.63,58,544,3
Zephrah,,74,64.13,57,280,4
Vushinne,,189,67.69,57,296,4
Kloete,,124,66.56,56,340,0
Icinran,,206,70.19,56,493,3
Mage,,98,67.94,55,288,0
Onrufrit,,157,68.44,55,369,0
Omik,,125,65.5,55,384,9
Jini,,301,69.06,55,402,32
Hace,,100,62.75,55,402,2
Waertelas,,115,67,55,437,11
Agolaz,,106,67.81,54,353,2
Tybi,,106,59.31,54,495,4
Gilbert,,244,69.25,54,514,4
Ethoji,,125,67.94,54,551,10
Dashi,,67,65.63,53,390,1
Albedo,,171,70.38,53,395,10
Edig,,301,67.44,53,406,0
Gunravi,,161,68.56,53,406,6
Argograz,,150,61.06,53,439,0
Vasha,,220,68.44,53,445,8
Coin,,121,68.19,53,476,1
Sirdaza,,180,67.44,53,528,6
Cavun,,200,66.38,53,529,5
Yoyo,,214,70.38,53,590,4
Ikid,,46,65.56,52,143,1
Melian,,129,67.13,52,259,0
Amityty,,214,56.44,52,300,0
Hutag,,168,63,52,325,0
Psykofilia,,88,66.56,52,338,3
Ggwang,,190,69,52,422,0
Amuca,,68,53.94,52,484,2
Coaie,,154,51.6,52,549,2
Kihedi,,206,69.81,51,190,1
Ihut,,259,69.81,51,303,4
Joki,,440,66.25,51,312,1
Oknftw,,124,67.63,51,357,3
Cieslikova,,43,62.56,51,375,8
Tisum,,114,61.31,51,401,0
Zalla,,134,62.06,51,424,9
Jilla,,185,70.5,51,549,20
Tohi,,201,69.87,51,597,6
Mobrkms,,62,63.94,50,177,1
Aricanis,,128,68.69,50,202,0
Murce,,116,65.13,50,227,0
Imuni,,304,69.19,50,261,13
