Irina,,1774,74.38,128,416,2
Linine,,1670,71.56,127,482,7
Madalena,,1727,71.13,125,438,2
Yashi,,543,75.38,122,491,3
Fengziooo,,687,74.75,122,546,4
Garen,,1032,71.25,120,361,0
Enya,,681,72.13,118,406,0
Obis,,1144,72.31,117,382,1
Lanve,,542,73.44,117,386,2
Zero,,1293,72.5,116,535,24
Lanne,,715,73.13,112,431,1
Braggi,,1207,70.69,112,483,2
Matamune,,1093,70.63,111,445,1
Ddiaval,,1381,72.75,110,101,0
Irina,,1265,70.81,110,271,0
Mahala,,1293,71.75,110,273,1
Yyyy,,975,70.69,110,357,0
Hevek,,601,71.31,110,362,2
Juniomegae,,451,71.81,110,541,1
Scarlet,,1033,71.5,108,407,5
Azis,,674,70.69,108,485,0
Dgangels,,1190,70.81,107,311,2
Chinahdd,,648,71.25,107,350,3
Xenoville,,511,72.06,106,483,20
Insolente,,481,70.81,106,538,4
Tagom,,857,71.06,105,270,8
Raccoon,,1060,70.88,105,365,1
Ashig,,655,70.81,105,401,0
Rolli,,306,70.56,104,315,3
Vilgar,,703,70.44,104,512,4
Chinakz,,1228,72.19,103,195,1
Druzhina,,708,70.88,103,568,4
Ggasylum,,429,71.38,103,598,7
Bara,,543,71.38,102,399,2
Hope,,376,70.31,101,428,6
James,,570,70.44,100,317,0
Krudeon,,774,70.63,100,337,1
Chinanb,,437,70.44,100,338,7
Soulz,,322,68.94,100,356,2
Cotomi,,569,70.94,100,463,16
Ardide,,683,70.38,100,473,1
Chinays,,440,71.94,99,245,0
Onrimoz,,525,69.88,99,267,1
Krudeon,,741,66,99,494,3
Vichi,,389,69.5,99,569,21
Naff,,662,70,98,531,17
Laba,,357,71.13,98,576,1
Thewall,,468,70.38,97,431,6
Juniverse,,252,70.5,97,525,8
Sadhya,,346,70.94,97,585,10
Sword,,452,70.31,96,367,10
Roland,,628,70.88,96,425,1
Pewpew,,276,70.31,96,494,2
Tenras,,767,70.63,96,509,1
Zofre,,310,70.5,96,556,9
Wssd,,707,58.81,95,287,1
Hical,,324,70.38,95,337,4
Zitar,,240,65,94,332,3
Milo,,474,70.44,94,362,4
Eventke,,593,70.75,94,399,0
Imuz,,256,69.19,94,568,20
Stronghold,,329,69.5,93,407,1
Kodokbizer,,263,70.5,92,358,0
Tallyho,,285,69.81,92,384,5
Emerza,,737,71.06,92,435,12
Ikrez,,498,70.63,92,437,5
Gezel,,337,69.69,91,469,4
Edgnooooob,,427,69.25,90,149,0
Anrin,,632,70.44,90,179,0
Tibi,,231,70.38,90,204,3
Gojira,,320,70.31,90,248,3
Viket,,604,71.44,90,271,1
Usuikun,,357,66.94,90,360,0
Chinaby,,312,70.44,90,408,0
Hard,,405,68.75,90,412,13
Rebecka,,479,70.38,90,426,0
Ziras,,491,70.38,90,443,0
Tailor,,577,70.5,90,462,0
Inuriz,,208,69.38,89,466,7
Moura,,463,70.31,89,497,1
Gegrod,,256,69.19,89,525,4
Lenrohe,,258,72.44,88,244,1
Turti,,450,70.31,88,432,2
Jollylok,,540,70.56,88,493,2
Sura,,488,69.94,88,527,2
