Goat,"War Hero",1983,74.44,178,535,1
Korqwer,,2031,74.69,177,578,6
Korhs,,1990,74.63,175,542,43
Vega,,1870,73.31,174,563,29
Chinagua,,2005,74.69,174,596,24
Korxxxx,,1994,74.75,173,564,8
Korhanwha,,2011,74.88,172,476,3
Catheji,,1965,73.94,172,540,3
Korong,,1960,74.44,172,570,8
Rommethebh,"War Hero",1948,74.19,171,526,6
Korandopam,,1929,74.31,170,523,6
Umbradei,"War Hero",1909,73.94,170,559,53
Koryuki,,1893,73.94,168,494,1
Imtired,,1936,74.31,168,598,3
Phuong,,1847,73.25,163,505,4
Karyna,,1904,73.31,163,521,5
Hellbound,,1862,73.13,163,595,7
Kornoje,,1713,73.94,162,495,10
Umit,,1951,73.38,162,498,12
Chinakkk,,1782,74.56,162,543,17
Dobodni,,1764,73.69,162,588,13
Ednaga,,1869,74.06,162,592,10
Chinacc,,1902,74.5,162,592,14
Gdodecij,,1885,74.56,160,576,29
Gummerjoru,,1606,72.81,160,585,11
Dave,,1813,74.44,159,518,15
Korpavane,,1761,73.25,158,555,2
Rafers,,1846,73.5,158,576,14
Dnomyarx,,1812,73.44,158,581,4
Korma,,1796,73.88,157,428,7
Ruchip,,1966,74.13,157,515,16
Korviiiii,,1832,73.63,157,534,13
Cusha,,1895,73.19,157,542,31
Korlu,,1742,74.13,157,545,18
Micasa,,1820,74.31,157,587,26
Krseptone,,1727,73.5,156,426,1
Hronos,,1725,73.69,156,506,14
Gunra,,1844,74.31,156,512,11
Hecaz,,1810,73.13,156,537,13
Abner,,1832,74,155,475,23
Puffy,,1841,73.44,155,500,23
Korkkk,,1618,72.81,155,580,13
Irzin,,1548,73.81,154,490,26
Esem,,1794,73.38,154,572,41
Okko,,1749,73.88,153,363,2
Castani,,1908,73.56,153,420,9
Alvo,,1798,73.44,153,491,13
Korboa,Challenger,1709,73.69,153,548,9
Roque,,1867,73.44,153,548,10
Anne,,1490,73.81,153,555,13
Pootyd,Centurion,1389,74.19,153,594,11
Adolin,,1386,73.38,153,596,14
Ashoota,,1834,73.5,151,420,4
Korsoksok,,1784,73.5,151,422,10
Korbs,,1549,73,151,492,12
Jithet,Challenger,1432,73.63,151,548,17
Kormoves,,1862,74,151,576,35
Nguyen,,1305,72.69,150,378,18
Dihes,Centurion,1714,72.69,150,497,6
Devaha,Centurion,1455,73.13,150,534,33
Korhuntj,,1891,74.19,149,535,35
Ecolok,,1175,73.06,149,586,22
Vaura,,1849,74.13,148,439,10
Reigor,,1614,73.06,148,449,17
Korail,,1491,73.31,148,469,4
Kortoto,,1592,73.25,148,503,3
Aloris,,1947,73.69,148,508,19
Douchebag,,1828,73.38,148,553,8
Goldguy,,1708,73.63,148,556,24
Huchani,,1649,73.19,148,592,18
Korf,,1616,73.75,147,493,12
Wwwxxx,,1586,73.13,147,506,4
Promaxis,,1775,74.44,147,531,17
Chamomile,Centurion,1713,73.38,147,564,5
Korhuntd,,1675,73.56,147,570,18
Nitrosha,Challenger,1831,74.56,147,599,39
Myname,Challenger,1523,74.13,146,355,6
Esheba,,1229,72.94,146,380,3
Korkai,,1739,73.44,146,460,13
Dovaca,,1636,73.44,146,520,17
Jemima,,1621,73.44,146,537,4
Pottapyssy,,1545,72.81,146,541,7
Higed,,1438,73.63,146,567,22
Igaz,,1344,73.31,145,405,29
Lilithjr,,1588,74.06,145,462,30
Hosa,,1032,73.19,145,515,4
Binguo,,1498,73.5,145,547,33
Deletable,,1282,73.38,145,577,29
Kornimi,,1579,73.19,144,405,9
Maje,,1631,73.19,144,414,12
Jijim,,1275,72.75,144,471,16
Korkaras,,1691,73.69,144,502,30
Treia,,1813,73,144,555,45
Torum,,1437,73.31,144,591,29
Zanitha,Challenger,1823,73.69,143,447,2
Jjdooho,Challenger,1472,72.69,143,463,12
Onetwo,,1590,73.31,143,465,9
Potatoii,,1512,72.38,143,498,5
Iman,,1218,72.69,143,510,1
Korggom,Centurion,1709,73.19,143,520,6
Riventres,,1761,74.13,143,540,16
Althalus,,1588,72.88,143,544,2
Bangbumgun,,1588,73.81,143,548,17
Emiz,,1492,72.63,142,486,15
Greta,,1278,72.69,142,534,8
Sicarius,,1488,73.81,142,542,23
Chemnitz,,984,74.06,142,566,12
Rute,,1174,73.25,141,276,3
Witchy,Challenger,1561,73.63,141,346,12
Hilvlnoob,,978,73.69,141,408,6
Npnp,Challenger,1479,72.75,141,431,9
Kimi,,1353,72.69,141,442,16
Sevrem,,1156,73.44,141,500,3
Popo,,1271,72.94,140,388,20
Evrom,,1076,74,140,390,17
Morukgold,,1662,72.63,140,436,11
Nada,,1296,72.69,140,479,21
Zzzzz,,1361,73.38,140,515,44
Exdivchyna,,970,73.44,140,524,33
Menun,,1560,73.44,139,287,4
Kormax,,1559,73.19,139,441,5
Sijorde,,1936,73.94,139,458,7
Nicebsc,,1819,72.94,139,483,14
Utun,,1531,73.13,139,534,19
Jinx,Challenger,1682,73.19,139,547,35
Ebaluk,,1161,72.69,139,580,20
Guinevere,,1417,73.38,139,584,75
Rumujug,,1478,73,138,423,21
Ezboys,,1064,72.88,138,451,12
Melone,,1810,73.63,138,453,2
Lola,,1673,73.19,138,456,9
Kornikred,,1425,74,138,460,8
Jali,,1275,73.63,138,477,6
Vegak,,736,73.25,138,479,7
Willzbs,,1417,73.94,138,481,10
Hmxi,Challenger,1350,72.94,138,483,8
Pleiades,,1060,72.94,138,507,12
Ariseama,,1773,73.38,138,548,3
Varcolac,,552,72.19,138,548,11
Vorvyn,,1707,73.31,138,549,4
Roma,,1361,72.69,138,563,12
Achilles,,1467,73.38,138,570,6
Kargiola,Challenger,1514,73.63,137,329,15
Moana,,1809,73.38,137,412,14
Nekhbet,,607,72.94,137,435,4
Jabe,,1149,73.06,137,488,16
Anrimis,,852,72.69,137,567,14
Hekit,,1377,73,136,298,10
Korpang,,1722,73.81,136,357,6
Vash,,1527,73.44,136,385,6
Mutid,,1291,73.5,136,411,2
Chinagf,,1739,73.69,136,420,9
Toonanb,,928,72.88,136,501,1
Hewby,,1256,73,136,531,3
Chinazm,,1446,73.75,135,385,21
Emidnig,,1360,73.44,135,389,3
Goname,,793,73.06,135,416,10
Xxxgnsxxx,,1071,73.38,135,462,5
Elishe,Challenger,1207,73.06,135,475,5
Imivrus,,1368,71.69,135,489,6
Paladin,Challenger,1589,74,135,536,22
Bamblamb,,1306,72.69,134,501,5
Awalor,,1140,72.69,134,505,20
Fyre,,1473,72.19,134,507,58
Zabrorgi,,1335,73.06,134,510,17
Repeat,,1426,72.94,134,513,5
Hili,,1431,73.31,134,517,16
Angel,,1726,73.25,134,525,38
Zodes,,1239,73.13,134,536,29
Zulus,,909,72.88,134,539,8
Kihuthi,,1154,73.06,134,552,3
Toma,,1256,73.31,133,316,12
Dabi,,1315,72.88,133,376,8
Cilloje,,1186,72.44,133,383,7
Mece,,561,73.25,133,409,2
Worm,,1344,72.88,133,410,7
Pewpewpew,,1735,73.13,133,435,16
Lartesha,,1250,72.25,133,455,7
Aukara,,1889,73.06,133,462,20
Koralgol,,1696,73.31,133,463,8
Ideg,,1251,74.75,133,467,10
Wolverine,,1012,74.19,133,470,19
