Tregisibal,,2070,75.19,162,586,0
Chinahjjjj,Champion,2074,75.19,157,499,0
Korternium,,2040,74.88,157,537,0
Erak,,1969,74.69,157,540,0
Korduddnd,,2056,75.31,157,557,3
Korbig,,2038,74.88,157,572,2
Chinanabi,,1967,74.56,157,585,0
Anba,Champion,1949,74.44,157,594,2
Chinax,,2039,74.94,156,515,0
Chinafeng,,1989,75,156,556,1
Korzz,,1980,74.25,155,596,2
Kormansaok,,1961,74.06,154,572,2
Korn,,2003,74.81,150,432,0
Effortless,,1961,74.13,150,509,0
Kormansaok,,1904,74.38,150,580,5
Travisdno,,1892,73.25,149,479,0
Noxp,,1681,72.94,149,556,0
Sauzer,,1905,73,149,556,1
Maako,,1927,74.31,149,584,1
Alistin,Centurion,1899,73.56,148,544,1
Chinalxlx,,1903,74.19,148,545,1
Chinakkk,,1994,74.69,148,546,3
Alistin,Centurion,1892,73.63,148,548,0
Monty,,1904,74.13,148,558,1
Solida,Centurion,1993,74.19,148,565,1
Efiona,,1924,74.06,148,592,1
Ladydee,,1941,73.81,147,566,2
Kormerican,,1990,74.56,146,513,5
Shkura,,1902,73.94,146,517,0
Sssss,,1856,73.75,146,546,1
Korneroli,,1952,74.44,146,583,5
Sorquasgol,,1809,72.94,145,492,1
Mage,,1870,74.44,145,576,5
Lazyone,,1886,74.19,144,563,0
Ebudkkf,,1939,73.38,144,567,4
Runoob,,1859,74,144,568,4
Cuccipucci,,1825,73.81,143,374,1
Lacoz,,1733,73.81,143,520,1
Mahara,Challenger,1681,74.19,143,554,1
Saebyeok,,1939,74.38,142,497,3
Baipiao,,1970,75.25,141,262,0
Lopo,,1674,73.19,141,536,0
Blue,,1732,73.5,141,549,0
Goldfinger,,1607,73.13,141,552,4
Sosochkaa,,1961,72.75,141,561,2
Milton,,1765,73.63,141,579,3
Delman,,1809,73.63,141,590,2
Pikok,,1616,74.19,141,596,5
Boolka,,1708,73.31,140,432,3
Michyg,,1516,73.88,140,536,0
Pisces,,1740,74.06,140,552,9
Losmeanb,,1814,74.56,139,448,0
Vine,Challenger,1555,73,139,532,3
Doden,,1901,74,138,446,2
Balthazar,,1595,73.19,138,582,3
Smehra,,1489,73.44,137,511,3
Orkiit,,1740,73.25,137,532,0
Icechoco,,1406,73.94,136,480,6
Darkli,,1572,73.06,136,487,0
Ohat,,1867,73.31,136,501,2
Korkim,,1632,73.94,136,508,4
Gira,,1270,73.06,136,524,0
Osobaal,,1684,73.75,136,553,11
Twinkle,Challenger,1606,74.06,136,587,2
Damaz,,1703,72.88,135,300,4
Bobert,,1566,73.38,135,339,1
Moskvichka,,1868,72.81,135,386,2
Azbuka,,1560,73.5,135,567,3
Runsk,,1727,73.25,134,518,1
Bumbamyboy,,1330,72.5,134,522,5
Gugi,,1614,73.56,134,593,5
Sica,,1946,73.44,133,414,4
Specktrale,,1425,72.56,133,418,7
Kokrhel,,1338,73.25,133,447,2
Onnudis,,816,72.31,133,487,0
Sorceress,,1645,72.5,133,509,1
Kortngus,,1594,73.56,133,550,5
Vasy,,1244,72.81,133,558,3
Alamode,,1372,72.56,133,565,5
Dellod,,1533,72.63,133,575,2
Korcyper,,1502,73.5,133,599,2
Ichaz,,816,72.13,132,412,0
Amaliaa,,1677,72.69,132,436,3
