Chinadv,,2037,75.19,159,590,1
Koronecue,,2090,75.19,158,537,0
Byroad,,2040,75.06,158,542,1
Korkazuya,,2080,75.13,158,550,0
Chinahebi,Challenger,2016,75.13,158,554,2
Chinadoll,"War Hero",2036,75.19,158,557,0
Korbong,,2088,75.31,158,559,0
Synthshark,,2067,74.94,158,563,1
Korpink,,2075,75.25,158,596,1
Chinayang,,2039,75,156,527,6
Chinahehe,,2101,75.31,156,573,5
Defender,Challenger,2047,74.94,155,507,0
Lovemansa,,2060,74.88,155,554,0
Korsb,,1985,74.75,153,506,0
Korrior,,2022,74.06,153,515,0
Rushy,,1994,73.94,153,532,0
Sacrifice,,2042,74.88,153,555,1
Chinalj,,1987,73.81,153,594,0
Poison,,1897,74.38,153,598,1
Mrdovenb,,2011,74.63,152,578,5
Nashira,,2018,73.94,151,547,0
Korshark,,1842,73.63,151,574,3
Beauty,,1987,74.19,150,471,1
Kingcrimsn,,1990,74.19,150,522,0
Delta,,1971,74.56,150,527,0
Xxxxxxxx,,1891,74,150,582,1
Akaritsu,,1974,74.25,149,592,2
Greenpeace,,1902,74.06,148,507,2
Primavera,,1998,73.69,148,526,3
Korjun,,2012,74.44,148,545,1
Runr,,1969,74.13,148,572,1
Korlol,,1903,74.06,148,580,2
Rufedya,,1919,72.94,148,592,2
Marlboro,,1817,73.88,147,495,1
Ladygodiva,,2017,74.06,147,558,1
Koriiiiii,,1829,73.63,147,561,4
Jobby,,1984,73.56,147,567,1
Eustachy,,1881,74.06,147,580,1
Iboke,,1932,73.94,147,582,3
Kefirchik,Centurion,1961,73.75,147,585,6
Johnna,,1918,74.5,146,333,0
Kadikoy,,1986,74.38,146,480,1
Tarbabagld,,2010,73.81,146,489,1
Nipsanhips,,1914,73.5,146,526,0
Jeremygtw,,1954,73.69,146,536,1
Freddy,Challenger,1913,74.06,146,553,1
Nocaki,,1947,73.38,146,598,4
Chinayeye,,1879,74.06,145,323,0
Sixteen,,1951,74.63,145,531,2
Korpedora,,1873,73.88,145,538,1
Vncovit,,1707,73.06,145,547,0
Anna,,1827,73.63,145,557,0
Gmolder,,1926,73.5,145,577,0
Korhun,,1963,73.81,144,490,0
Nefre,,1971,73.56,144,546,2
Hana,,1973,73.56,144,576,6
Niyajiubb,,1921,73.88,144,585,4
Leena,Centurion,1875,73.81,144,595,0
Ederce,,1937,74.06,143,413,0
Korbudd,Centurion,1996,73.81,143,442,1
Arrestor,,1748,74.19,143,474,1
Kita,,1921,73.88,143,477,4
Ennelag,Challenger,1769,73.81,143,484,2
Ollekas,,1984,74.25,143,486,1
Korcs,,1810,73.81,143,489,1
Atoa,,1914,73.63,143,508,1
Higreko,,2002,73.94,143,511,3
Fixbugs,,2012,73.88,143,531,1
Oppa,,1940,73.63,143,546,3
Melongdi,,1895,73.88,143,554,3
Chinaxin,,1895,74.56,143,560,2
Bogram,,1732,73.81,143,572,1
Talos,,1489,73.63,143,596,3
Karabas,,1892,73.88,142,503,2
Allegog,,1880,73.63,142,514,0
Bugrking,,1898,73.69,142,546,5
Vorpatril,,1907,73.88,142,560,1
Dona,,1887,73.44,142,565,1
Pain,,1959,73.5,142,574,2
Matrempit,,1522,73.06,142,592,0
Arzavi,,1921,74.38,141,316,2
Netzkie,Challenger,1972,73.44,141,407,0
Chinahiv,,1882,74.06,141,432,3
Korpop,,1821,73.38,141,442,0
Runeprob,,1993,73.5,141,465,3
Etas,,1917,74,141,484,1
Korxxx,,1847,72.75,141,501,5
Kordarjee,,1850,73.44,141,547,3
Prcnice,,1936,74.63,141,552,5
Korori,,1815,73,141,567,5
Kurdapya,,1904,74.06,141,585,1
Cnkirkim,,1973,74.25,140,312,1
Chica,,1924,73.19,140,366,0
Tototo,Challenger,1954,73.25,140,374,0
Archonei,,1904,74.06,140,387,0
Janata,,1623,72.69,140,393,0
