Aaron,,1513,73.13,138,553,0
Eholi,,1250,71.81,130,426,2
Cynvalas,,1338,73,126,583,1
Amby,,1385,72.81,125,346,2
Jesi,,1294,72.63,121,458,0
Svinpik,,1344,72.75,120,386,2
Ghia,,1287,73.25,119,402,3
Anbgoldie,,1226,72.63,119,540,9
Rujie,,728,71.88,118,486,0
Rari,,1018,72.19,118,556,3
Rezan,,1062,71.38,118,580,2
Serkus,,519,72.63,117,433,3
Slugger,,1162,70.88,117,443,3
Newbie,,832,70.75,117,577,2
Elkraven,,1414,73.06,115,493,12
Complotist,,1055,71.75,115,518,3
Peenus,,633,72.06,114,549,5
Inoka,,970,71.19,114,549,3
Coldnips,,1147,72.06,114,582,13
Andrzej,,1123,72.56,113,420,4
Boges,,944,72.75,113,439,2
Augra,,557,73.94,113,524,4
Kordosa,,812,71.88,113,580,0
Otaz,,646,71.69,113,599,3
Sujinchen,,985,72.13,111,440,2
Bufrik,,1289,71.44,111,513,11
Bede,,458,71.38,111,570,0
Shea,,899,71.38,110,299,2
Hoyohoyo,,1355,72.81,110,303,2
Tyshabelv,,615,70.63,110,321,2
Ekupsbasa,,925,72.44,110,336,1
Event,,769,72.63,110,398,0
Torcuz,,1220,72.06,110,407,6
Inribis,,835,71.69,110,550,4
Player,,700,71.56,110,589,5
Core,,1220,72.88,110,593,8
Alexia,,1125,72.5,109,489,2
Vennirzi,,437,70.81,109,567,7
Lyanna,,400,70.88,108,469,3
Anaxime,,613,71.31,108,516,3
Zadiris,,1128,71.94,108,523,4
Irodrit,,916,71.56,108,530,1
Zonra,,1307,71.5,108,599,4
Dirtbag,,345,70.88,107,379,1
Enrachoz,,409,71,107,494,2
Hyeyoung,,582,72.38,107,533,0
Cosette,,504,70.81,107,553,4
Marw,,511,71.25,107,587,6
Tion,,608,69.56,107,597,4
Lomecio,,972,73.38,105,189,0
Umbrielle,,763,72.44,105,448,3
Ebrem,,316,71.56,104,404,4
Psycha,,492,70.94,104,552,0
Peter,,602,72.31,103,429,4
Kormage,,948,73,103,445,4
Virine,,1036,73.44,103,450,0
Killar,,327,70.75,103,535,1
Korhiso,,634,70.81,102,417,3
Deha,,496,71.06,102,471,3
Bufrem,,484,70.88,102,501,1
Octavia,,418,71.5,102,526,6
Hellhound,,589,71.81,102,537,6
Ajes,,304,71.25,102,557,2
Haha,,754,72.13,101,275,0
Murzeg,,347,72.44,101,466,2
Ezit,,1119,71.5,101,525,0
Pipeclean,,333,69.5,101,580,4
Meteor,,773,71.38,100,229,0
Enoja,,444,70.88,100,281,1
Giliz,,1147,72.31,100,336,2
Tamar,,561,71.31,100,429,9
Amoriz,,299,71.19,100,436,3
Ohan,,667,71.63,100,475,0
Caelene,,387,70.5,100,517,5
Gandalf,,858,71.06,100,553,12
Dedmoroz,,253,70.75,100,560,13
Daffy,,876,73.13,100,584,10
Jeruhi,,725,72,99,256,2
Madge,,805,71.38,99,342,0
Onnudil,,533,72,99,394,0
Sahra,,432,71.88,99,419,2
Mefidius,,335,70.63,98,320,6
Lordiha,,351,70.56,98,354,0
Txotxete,,623,71.56,98,410,1
Aset,,309,71,98,451,1
Warlock,,858,70.94,98,471,1
Loche,,433,72.31,98,490,1
Sogedre,,341,69.63,98,520,1
Dingbat,,337,67,98,576,3
Kasi,,492,71.63,97,319,0
Saka,,316,71.44,97,347,4
Aruve,,328,72.19,97,458,8
Stellalum,,550,70.69,97,467,0
Hobin,,683,71.31,97,479,1
Dublin,,268,71.06,97,486,0
Lada,,425,71.94,97,497,0
Koming,,767,72.31,97,517,0
Thotwo,,302,70.88,97,520,3
Xoviousxxx,,531,70.75,97,568,5
Illerge,,575,71.31,96,356,5
Sunrin,,880,71.44,96,383,3
Sorini,,363,70.69,96,413,6
Will,,389,71.56,96,419,0
Eliti,,378,70.75,96,429,8
Agrig,,274,72.38,96,450,1
Mebe,,628,72.19,96,453,1
Atlas,,853,72.75,96,463,2
Zelem,,560,71.38,96,488,0
Abraventt,,320,70.94,96,510,5
Chen,,419,70.81,95,198,0
Anirt,,312,68.56,95,227,1
Vanneza,,365,71.5,95,430,1
Allicik,,526,73.06,95,462,2
Acomi,,347,71.63,95,463,4
Ballil,,679,72.56,94,185,1
Prepucio,,452,70.63,94,452,3
Adreje,,274,71.06,94,459,0
Ibrin,,331,71.19,94,492,2
Nechut,,323,70.44,94,504,1
Magic,,263,71.94,94,533,1
Irure,,647,70.63,94,539,4
Sari,,461,70.5,94,540,8
Onemas,,304,70.88,93,335,5
Gabson,,332,70.44,93,363,2
Skuld,,668,71.81,93,374,1
Lisander,,570,71.06,93,394,0
Esoz,,451,72.19,93,407,18
Sabra,,674,71.88,93,414,2
Zerocool,,585,71.56,93,467,5
Kuzan,,952,71.25,93,468,7
Hadod,,669,71.75,93,549,0
Kujus,,297,71.38,93,587,0
Gilafri,,621,71,92,306,0
Eros,,1112,71.31,92,332,0
Joris,,629,70.63,92,386,1
Humi,,383,68.5,92,422,18
Bystorm,,618,66.63,92,431,1
Teshem,,799,71.69,92,498,0
Jehuli,,675,71.63,92,544,20
Leejs,,153,68.38,91,242,0
Qalunar,,399,71.69,91,408,1
Takrid,,646,67.69,91,426,11
Miami,,293,70.75,91,444,0
Koza,,283,70.69,91,519,3
Ovin,,287,72.63,91,522,1
Zetoz,,292,65.19,91,569,0
Amathe,,641,72.63,90,146,0
Exodus,,572,69.69,90,189,1
Varti,,357,63,90,206,0
Belizanb,,503,67.19,90,212,1
Wiktoria,,379,68.88,90,283,0
Oshaze,,325,71,90,303,0
Asufri,,679,70.75,90,304,4
Othichot,,319,70.88,90,304,4
Binna,,265,71.81,90,329,0
Bofres,,300,70.94,90,330,5
Eruva,,174,70.44,90,331,0
Odena,,260,71.19,90,336,0
Dedral,,221,70.25,90,346,1
Ajudan,,503,69.44,90,360,2
Mage,,454,71.19,90,379,1
Lorenzaa,,380,67.19,90,380,5
Vokrad,,551,70.13,90,380,1
Toned,,267,71,90,432,3
Cliss,,311,71.19,90,467,1
Rawlianna,,962,71.69,90,486,0
Nieren,,295,70.81,90,554,10
Epig,,575,70.5,90,570,5
Lutitha,,256,70.44,90,582,8
Chaser,,442,71.5,89,342,4
Cabren,,481,69.75,89,377,5
Artemis,,238,68.81,89,449,5
Ertedned,,267,70.75,89,463,0
Ezirdi,,585,70.56,89,566,3
Avircod,,416,70.56,88,324,11
Cigam,,304,71.31,88,455,6
Tito,,258,72.56,88,459,4
Ecuca,,203,67.75,88,483,0
Sitha,,422,70.31,88,536,4
Marlin,,271,70.75,88,544,3
Naizi,,368,70.63,88,545,27
Athis,,279,70.81,87,353,1
Skebe,,281,72.25,87,376,2
Hozan,,330,70.94,87,381,2
Tool,,708,71.63,87,396,1
Duva,,495,70.31,87,400,2
Temporia,,226,70.06,87,425,3
Atheca,,215,70.56,87,435,7
Avethim,,397,69.69,87,497,0
Vixen,,673,70.44,87,519,5
Bozaz,,424,66.69,86,377,0
Yennifer,,301,70.88,86,430,1
Lilol,,197,69.94,86,510,15
Sanoja,,212,70.81,86,531,3
Elsa,,317,68.69,86,540,8
Iseult,,288,70.94,86,550,6
Ooooo,,438,69.88,86,563,0
Bobby,,612,70.69,86,594,0
Zavi,,375,70.88,85,267,1
Radnyzir,,306,68.38,85,269,2
Hekiz,,581,71.06,85,287,1
Konis,,362,70.56,85,308,0
Nebug,,622,71.25,85,372,0
Zanun,,404,70.13,85,382,7
Amila,,339,71.13,85,397,21
Shamill,,252,70.44,85,398,2
Nafri,,393,69.19,85,420,2
Zaza,,373,69.69,85,428,7
Sergo,,528,70.88,85,438,0
Ruguga,,605,71,85,467,4
Acom,,437,69.88,85,472,1
Likudra,,548,71.25,85,511,2
Boni,,381,71.13,84,275,0
Arurgim,,341,60.75,84,289,2
Zida,,260,70.25,83,339,7
Benni,,188,70.44,83,501,4
Xrieg,,364,70.13,83,517,4
Donrirde,,247,68.56,83,577,0
Atavan,,251,71.63,83,596,4
Pinki,,188,70.25,82,358,2
Marce,,423,70.75,82,379,4
Dalisa,,308,71.5,82,459,0
Jugdish,,212,70.25,82,500,16
Carrier,,248,70.31,82,524,0
Cirke,,202,68.38,82,527,5
Maeve,,504,72.81,81,312,1
Dumbledore,,546,70.81,81,351,4
Erkeli,,379,68.38,81,399,4
Diga,,204,69.13,81,411,10
Arya,,393,69.19,81,419,0
Evrig,,197,68.81,81,486,6
Abim,,339,71,81,495,7
Evena,,287,70.81,81,538,15
Fghtt,,318,70.94,81,561,12
Ashekag,,588,70.56,81,585,0
Rulas,,371,70.63,81,591,3
Ethala,,569,70.56,80,168,1
Krolex,,176,67.56,80,254,4
Justsuj,,340,62.69,80,262,0
Guzul,,393,70.19,80,359,0
Eratha,,437,71.13,80,359,4
Ordath,,469,70.5,80,409,10
Hosalut,,458,70.38,80,425,2
Yaldawaof,,270,70.31,80,580,1
Kerkiz,,173,71.38,79,390,0
Agul,,442,68.13,79,404,1
Osala,,385,69.13,79,491,4
Piplio,,200,62.56,79,494,0
Zulinka,,212,70.63,79,518,1
Zuha,,184,70.44,78,355,0
Lale,,223,68.63,78,364,11
Tutul,,225,68.81,78,420,1
Mietbud,,199,70.38,78,446,0
Takusia,,363,70.31,78,483,0
Terryt,,302,70.06,78,486,5
Kotbarn,,294,70.63,78,497,5
Ellie,,385,70.38,78,525,1
Illel,,193,70.69,78,532,0
Morgana,,146,69.13,78,584,1
Kuthurgi,,115,70.56,77,330,3
Kugri,,213,70.5,77,435,1
Esote,,416,70.44,77,477,0
Jigetha,,256,70,77,555,0
Hithirda,,212,70,76,238,3
Losiz,,432,70.38,76,515,4
Riva,,164,67.88,76,523,11
Omagun,,252,70.63,75,212,0
Ifrigruz,,203,68.13,75,224,0
Wizzo,,579,71,75,232,0
Hisuk,,480,66.81,75,253,1
Doom,,185,71.19,75,278,9
Irijad,,742,70.25,75,283,10
Deadlie,,194,70.88,75,320,4
Cleo,,237,69.81,75,356,2
Lampiao,,220,70.31,75,465,15
Hizame,,218,69.38,75,499,11
Nola,,363,70.31,74,247,5
Viciz,,237,70.44,74,360,0
