Korzzi,,1942,73.69,147,556,5
Korindiana,,1957,73.63,143,413,1
Cimorte,,1839,73.44,138,441,2
Nmsl,,1399,72.56,135,367,0
Chinamlc,,1360,72.31,135,397,0
Mahe,,1514,75.44,135,468,1
Zaya,,1712,73.13,133,533,3
Ynameshort,,1913,72.56,133,570,2
Kogrushi,,1321,73.38,132,447,1
Chinabbss,,1513,73.56,132,558,4
Achezim,,1323,74.19,130,302,1
Dzik,,1448,71.94,130,419,1
Imun,,1692,73.38,128,530,2
Wengler,,1891,73.31,128,579,3
Datat,,1907,74.5,127,398,2
Egem,,1660,72.63,126,385,2
Zoevent,,835,73,126,395,0
Inarze,,1604,72.44,126,514,7
Tian,,985,72.88,126,537,1
Luna,,1779,72.63,126,557,3
Kahen,,1280,72.38,126,594,10
Jesa,,1751,72.31,125,314,0
Thorny,,1759,73.38,124,276,1
Girl,,1337,72.38,124,435,4
Hoba,,1617,72.56,123,413,1
Isograz,,1093,71.75,123,486,3
Irtik,,416,72.56,123,584,3
Kris,,1489,72.06,122,266,2
Slaay,,931,72.69,122,474,3
Edgkevi,,1083,72.81,122,493,4
Mkmkk,,715,71.81,122,580,0
Ailiniai,,1127,73.06,121,265,2
Lilith,,816,71.56,121,506,0
Beata,,1349,72.38,121,514,5
Brave,,1786,72.44,121,534,4
Alucard,,907,72.38,121,548,3
Orergig,,699,72.88,121,568,6
Daribinjai,,1117,71.63,121,570,4
Voidwar,,1919,73.44,120,221,2
Sejjang,,1177,71.88,120,253,0
Vincent,,1234,71.56,120,419,0
Avim,,1041,74.06,120,432,1
Ikas,,476,72.81,120,438,2
Feelgood,,932,71.56,120,449,9
Mathashi,,1168,72.25,120,477,2
Montvild,,1435,70.31,120,479,0
Cunom,,717,72.44,120,509,14
Irdon,,1335,72.63,120,516,21
Sleezywood,,1431,73.44,119,257,0
Huge,,1256,72.44,119,587,6
Dewalt,,469,72.19,119,595,2
Aluna,,679,71.56,118,368,3
Chinaxh,,1063,72.25,118,426,3
Youdie,,632,71.25,118,470,4
Likidsplit,,1169,74.19,118,484,1
Korsangun,,1606,73.13,118,496,5
Vuval,,1387,72.06,118,549,0
Floki,,1034,73.5,118,562,7
Musia,,351,70.94,118,565,10
Tigglytoes,,1414,71.5,117,312,2
Palicies,,1153,72.94,117,369,5
Vema,,1000,72.81,117,440,0
Igrathe,,688,71.81,117,461,7
Revre,,816,70.69,117,465,1
Toma,,1446,72.31,117,470,3
Htiduj,,498,72,117,542,3
Bortud,,951,71.31,117,566,19
Rona,,1200,71.38,116,341,2
Tuzak,,775,72.38,116,363,2
Adid,,1377,71.81,116,463,5
Kedrolle,,799,71.75,116,475,2
Hide,,1213,71.69,116,476,5
Erendil,,1370,72,116,520,0
Rerdas,,563,72.94,116,534,1
Achila,,377,71.13,116,582,4
Ivathom,,1967,73.75,115,161,2
Kokalyna,,1151,72.44,115,220,1
Phoenicia,,834,72.56,115,265,0
Chinatayi,,1044,72.44,115,306,0
Eventy,,980,72.81,115,340,0
Kormoon,,1113,71.88,115,347,2
Zubi,,493,73.31,115,348,0
Agribad,,1045,71.75,115,353,12
Supergirl,,588,72.5,115,375,0
Lira,,774,71.56,115,378,1
Karti,,928,72.75,115,379,1
Tyres,,999,72.19,115,383,0
Spanky,,627,72.75,115,400,3
Pete,,828,71,115,407,0
Irerget,,655,72.38,115,454,28
Tynaxus,,1549,72.88,115,460,4
Aardvarko,,1236,72.88,114,428,0
Kici,,1276,71.31,114,561,2
Lohim,,574,69.75,114,562,0
Pocalishus,,434,71.81,114,599,13
Ojun,,1072,72.25,113,285,0
Thanos,,745,71.63,113,423,2
Leonheart,,308,70.88,113,463,0
Morfey,,1435,71,113,469,15
Omebi,,723,71.31,113,499,5
Viemminh,,779,71.94,113,505,2
Hebrin,,1236,72.13,113,535,4
Matilda,,1006,72.5,113,543,0
Mixel,,602,71.56,113,555,7
Porororopa,,1087,71.44,113,570,3
Ertaji,,1158,72.56,113,573,5
Butha,,1037,72.38,113,587,11
James,,1218,72.31,112,301,5
Amamok,,1153,71.31,112,309,3
Grafd,,1411,73.06,112,313,1
Hanren,,1119,72.81,112,378,5
Angelwrtwo,,677,71.94,112,438,15
Silka,,868,72.5,112,439,4
Gizelle,,815,72.13,112,440,2
Gaga,,900,70.88,112,465,5
Koba,,550,71.63,112,480,6
Vutagi,,1007,71.56,112,528,3
Cavre,,337,72.81,112,537,3
Esig,,673,70.56,112,599,4
Newhero,,1256,73.13,111,338,3
Ogod,,446,71.44,111,350,1
Kugemi,,482,72.44,111,390,3
Irgodre,,419,70.94,111,410,1
Kegiz,,585,71.31,111,412,2
Nithok,,330,72,111,447,5
Ishuthi,,1027,71.69,111,470,0
Ruok,,852,72.13,111,503,6
Bespa,,1215,70.13,111,516,0
Ballbag,,716,72.38,111,529,3
Zare,,485,70.56,111,533,4
Valan,,759,72.63,111,552,3
Rodin,,949,72.69,111,571,13
Joluva,,528,71.06,111,573,3
Kothok,,392,72.5,111,586,9
Braaap,,320,71.5,111,588,4
Ircuci,,1106,71.94,110,230,1
Eventress,,567,71.38,110,237,0
Cadiba,,709,71.06,110,249,0
Lizabeth,,820,71.63,110,253,0
Korrus,,1229,72,110,261,2
Pserni,,993,73.13,110,262,6
Etum,,825,72.5,110,279,1
Vugija,,935,71.19,110,280,1
Msfubar,,1098,72.5,110,281,0
Erges,,806,71.44,110,302,2
Aliz,,480,72,110,303,0
Iliger,,411,72,110,319,0
Ardegam,,634,71.06,110,323,1
Timbou,,562,71.81,110,326,0
Akodrum,,676,71.25,110,332,0
Artmagica,,1167,71.75,110,334,1
Goni,,513,70.5,110,342,1
Irdit,,508,71.75,110,356,0
Itake,,753,71,110,357,5
Korego,,1112,71.63,110,359,5
Blufferb,,1121,70.94,110,361,5
Trash,,752,68,110,365,4
Larkat,,522,68.13,110,371,7
Vesuve,,548,70.75,110,375,2
Lucy,,918,71.5,110,377,0
Raci,,1015,70.63,110,386,2
Izus,,672,70.06,110,388,1
Asaba,,346,71.88,110,392,2
Rueast,,1188,71.56,110,400,13
Georgeous,,496,71.44,110,402,1
Fabian,,865,70.75,110,405,3
Chinazj,,1299,72,110,408,4
Rheka,,883,60.5,110,410,1
Holi,,526,71.06,110,412,10
Name,,369,71.19,110,413,0
Honra,,840,71.25,110,421,0
Ibiti,,811,72.06,110,439,0
Lilla,,553,71.81,110,453,1
Bluurp,,542,72.5,110,453,1
Tokriza,,547,72.38,110,461,1
Ebut,,409,71,110,462,0
Oboha,,565,72.63,110,470,2
Yagodka,,846,71.94,110,481,0
Huhete,,312,70.63,110,504,0
Rizela,,872,70.69,110,508,1
Izul,,439,70.63,110,540,0
Veka,,694,70.88,110,548,7
Jeni,,537,72.06,110,556,0
Merza,,683,71.19,110,556,2
Korjwar,,329,70.88,109,409,1
Lastead,,1178,70.81,109,412,24
Michisige,,593,72.19,109,436,4
Mirzi,,306,72.25,109,444,5
Korpuma,,564,71.81,109,470,5
Dashefra,,328,71.13,109,501,0
Bohae,,509,70.44,109,505,1
Rickless,,988,70.88,109,569,23
Icorci,,438,70.88,109,577,3
Andaga,,516,71,109,596,2
Vezim,,672,71.56,109,597,5
Teva,,463,70.75,108,399,12
Gigag,,1039,71.25,108,438,1
Icum,,504,71.06,108,500,5
Calle,,687,71.94,108,515,0
Sakurka,,1002,71.44,108,576,2
Boroda,,1010,71.31,108,578,1
Gamog,,530,70.56,108,584,1
Kissiv,,519,71.88,108,585,3
Razor,,703,70.75,108,587,2
Rege,,866,71.25,107,455,5
Icevral,,642,71.56,107,527,6
Rogue,,311,70.69,107,569,2
Erkulil,,485,71.88,107,584,13
Hilil,,1017,71.56,106,359,4
Suci,,1105,72,106,386,16
Mazi,,426,70.69,106,407,1
Tona,,403,71.44,106,449,1
Vuthuga,,389,71.56,106,453,0
Hokage,,373,68.69,106,524,0
Cenol,,444,70.25,106,527,2
Duga,,577,71.19,106,553,5
Avriz,,604,71.44,105,163,0
Cata,,865,72.13,105,200,2
Barky,,1105,72.19,105,205,0
Klon,,1212,72.81,105,215,0
Kohta,,736,70.94,105,219,0
Korend,,573,72.56,105,229,0
Plonk,,888,70.81,105,241,1
Karton,,791,72,105,246,5
Kolli,,379,71.38,105,260,1
Sija,,430,72.5,105,279,0
Slagg,,282,71.19,105,279,4
Nikkakoy,,526,70.5,105,290,2
Chupona,,1040,71.38,105,304,0
Fizzy,,469,70.81,105,312,1
Korbaba,,854,71.38,105,315,12
Leged,,323,71.56,105,317,0
Zaka,,411,71.88,105,345,1
Azune,,446,71.06,105,346,0
Enus,,386,71.06,105,352,0
Bosaki,,1079,71.69,105,352,3
Amus,,396,70.63,105,379,4
Sirci,,851,70.38,105,399,0
Maxi,,699,71.63,105,420,1
Ctop,,458,71.88,105,431,0
Amiti,,730,70.56,105,507,0
Wazax,,330,70.63,104,356,1
Virdum,,786,72.19,104,446,3
Odiveg,,590,70.38,104,480,13
Ishela,,453,71.75,104,508,8
Sanjuro,,392,70.56,104,572,1
Young,,617,71.69,103,352,0
Kavelu,,381,70.13,103,400,0
Deza,,253,71.13,103,440,3
Speroraw,,317,70.44,103,458,14
Obuk,,584,71.56,103,497,1
Bele,,363,70.88,103,504,4
Ligoz,,593,70.5,103,506,5
Ifruk,,331,70,103,513,3
Fukk,,378,71.63,103,536,9
Vumus,,286,70.13,103,554,7
Yooa,,832,66.56,103,582,8
Sinrarta,,257,70,103,584,12
Tizaz,,725,70.69,103,594,4
Korea,,451,71.56,102,266,4
Boki,,342,68.19,102,402,2
Zisak,,772,71.63,102,405,4
Thedude,,1031,71,102,405,3
Buram,,386,70.56,102,415,6
Gothusha,,337,70.38,102,426,3
Schuttb,,318,68.38,102,426,6
Prototype,,309,70.56,102,441,0
Maka,,596,70.88,102,479,10
Hese,,701,72.75,102,494,1
Apop,,530,71.81,102,494,4
Idnik,,432,70.25,102,497,7
Bonovi,,475,71.06,102,515,3
Erzotha,,414,71.06,102,515,1
Manul,,652,70.94,102,518,3
Hina,,265,70.88,102,524,7
Tashokra,,461,71.75,102,536,5
Validri,,506,71.13,102,550,4
Campeador,,270,71.44,102,585,11
Marco,,308,70.94,102,592,7
Grumfgrumf,,358,70.81,102,596,9
Vali,,657,70.88,101,202,6
Mito,,419,70.31,101,434,2
Reji,,305,70.56,101,443,3
Gumuna,,378,71.06,101,446,2
Othisan,,274,68.5,101,474,10
Odrefri,,335,70.88,101,478,2
Ziti,,343,71.69,101,504,3
Joan,,481,70.19,101,526,2
Burge,,655,70.81,101,561,5
Athatha,,365,71.69,101,570,4
Zibert,,723,71,101,580,10
Odee,,727,71.81,100,141,5
Norterge,,582,70.81,100,193,0
Koral,,729,70.19,100,200,0
Setage,,487,71.88,100,224,0
Anala,,173,70.94,100,236,5
Omot,,344,70.88,100,249,0
Hara,,250,70.44,100,277,1
Cedri,,701,71.5,100,281,0
Ellisiemme,,858,71.13,100,281,0
Biggus,,262,70.5,100,289,0
Ruikis,,433,71.69,100,306,0
Heys,,200,71.31,100,311,4
Sexiness,,272,70.19,100,312,0
Korfaker,,363,70.19,100,323,4
Nime,,872,71.06,100,325,0
Btop,,338,70.31,100,346,0
Cnlqc,,822,70,100,348,14
Zesha,,284,69.19,100,359,0
Subod,,333,70.69,100,367,1
Tremaine,,655,71,100,371,5
Event,,514,70.81,100,378,0
Godofgod,,243,69.69,100,382,1
Basily,,687,71.38,100,388,0
Lola,,774,70.81,100,398,0
Evila,,242,69.56,100,401,0
Justice,,626,70.88,100,405,0
Tyron,,263,70.88,100,406,0
Avrili,,346,69.19,100,413,1
Myhero,,266,68.56,100,432,2
Zici,,282,71.25,100,434,0
Jekrik,,648,70.5,100,446,2
Lite,,277,70.63,100,446,16
Beta,,568,70.5,100,476,8
Dobby,,691,70.75,100,476,0
Secret,,296,70.31,100,495,14
Joooa,,448,69.44,100,504,1
Enzaa,,576,71.13,100,510,2
Dorian,,237,70.63,100,517,1
Yanqing,,259,70.69,100,538,0
Valkyrie,,230,70.25,99,267,2
Nate,,298,71.19,99,332,0
Goldie,,490,72,99,394,3
Leksa,,326,70.63,99,410,2
Shalltear,,538,70.69,99,497,9
Ozirgaz,,587,69.5,99,548,7
Dadooey,,226,70.94,98,312,1
Lagasa,,306,68.06,98,409,4
Shmalli,,333,70.19,98,468,7
Qwertz,,225,69.13,98,491,7
Jack,,463,69.81,98,523,5
Enrared,,295,70.5,98,533,1
Smiir,,590,70.38,98,551,9
Sptwelve,,294,69.13,98,588,7
Atuz,,247,70.19,98,589,8
Xiera,,280,69.81,97,309,2
Mididuck,,304,70.75,97,316,2
Zagoja,,248,71.13,97,354,2
Emedusa,,432,70.63,97,394,0
Allod,,244,70.81,97,416,15
Odnug,,687,70.81,97,418,5
Yyyy,,272,70.63,97,461,4
Ketch,,290,69.88,97,467,3
Evid,,711,71.19,97,471,3
Socen,,327,71.5,97,474,1
Igor,,670,71.44,97,478,0
Nutella,,316,70.56,97,512,1
Acuz,,335,68.5,97,520,1
Dannodi,,279,70.81,97,527,2
Dima,,251,70.38,97,543,15
Nalithe,,375,68.19,97,549,2
Artedna,,382,72.63,97,565,3
Godi,,427,71.06,97,589,3
Korrelly,,592,70.56,96,256,0
Ikrite,,652,71,96,362,14
Kelluchi,,904,72.06,96,426,1
Eeha,,354,70.56,96,438,2
Duke,,413,70.94,96,457,1
Joze,,551,70.44,96,479,1
Ircovon,,383,70.81,96,495,7
Azavi,,380,68.25,96,518,6
Gallie,,314,70.69,96,560,2
Jazzpaws,,471,70.94,96,584,2
Baca,,778,71.69,95,200,0
Etos,,749,72.5,95,235,0
Gknight,,235,71,95,241,2
Ayreva,,395,72.25,95,275,0
Rove,,750,71.19,95,282,1
Libel,,361,70.38,95,304,2
Hevece,,676,69.75,95,320,0
Amelia,,634,70.69,95,356,2
