Mothe,,1706,74.63,143,572,13
Shouf,,1771,72.56,142,422,10
Mejon,,1620,73.75,137,505,19
Pronoob,,1217,72.81,135,395,19
Diesel,,1252,72.13,131,500,11
Noises,,1170,70.44,130,495,11
Just,,902,71.25,122,478,7
Itivitka,,544,71.19,122,566,13
Lebron,,528,70.88,121,455,1
Edgnoone,,1657,73.81,120,257,6
Enehi,,616,71.31,118,399,12
Samaz,,453,73.88,116,266,3
Sikran,,1234,71.44,116,331,5
Ethul,,1063,72.63,116,352,6
Nightstar,,987,70.94,116,580,12
Goldmoon,,659,71.19,115,297,4
Termiona,,273,70.38,114,437,40
Talarico,,888,70.69,113,387,0
Hunter,,1081,71.5,113,396,0
Ocigi,,627,72.06,113,436,0
Sophie,,849,71.5,113,459,16
Dakine,,466,70.19,113,530,10
Suki,,443,70.44,113,530,1
Burcerze,,2091,72.31,112,260,19
Shouf,,784,73.31,112,286,9
Omedam,,590,70.44,112,381,7
Hellovn,,675,70.44,112,412,20
Missme,,513,70.44,111,397,1
Gibrik,,478,70.5,111,501,14
Aken,,552,70.56,111,512,3
Zwaargun,,618,70.69,110,269,7
Ezmidsf,,906,70.5,110,382,8
Fredric,,613,70.88,110,467,2
Zagret,,650,70.44,110,514,12
Ahethi,,426,70.69,110,526,8
Gathosha,,984,71,110,547,5
Nidal,,1103,70.31,110,548,16
Kyky,,1321,70.38,110,552,2
Sati,,963,71.13,109,355,1
Greg,,487,68.13,108,575,5
Ortadi,,387,70.75,107,302,3
Vash,,621,70.63,107,536,3
Duckling,,918,71.25,106,338,10
Crischuwis,,353,70.56,106,451,3
Savok,,359,70.44,106,455,3
Narurzi,,613,70.75,106,526,13
Arcochi,,529,70.56,106,556,7
Doge,,1400,72,106,559,6
Tine,,761,70.88,106,571,11
Bima,,455,70.56,105,245,3
Cahik,,454,70.5,105,246,8
Allisi,,583,69.25,105,258,1
Lllllll,,725,69.88,105,268,3
Dzik,,932,71.06,105,345,2
Verka,,457,70.44,105,430,4
Lolok,,1002,70.75,105,438,14
Skaar,,758,70.56,105,461,9
Rugar,,561,71.31,105,496,9
Ozzy,,707,70.63,105,564,12
Violet,,573,70.88,104,316,2
Zagra,,303,67.94,104,439,26
Azazelo,,511,70.63,104,447,6
Frenkie,,445,70.63,104,551,42
Iteza,,401,70.81,104,594,7
Iutv,,658,72.38,103,332,4
Toma,,1023,70.13,103,375,7
Drrrrrrrr,,411,70.44,103,376,7
Erdasa,,528,70.56,103,447,2
Morituri,,490,70.69,103,499,3
Cozil,,384,70.56,103,503,38
Voci,,298,70.5,103,507,8
Sares,,498,70.25,103,535,4
Osake,,637,71.19,102,347,6
Rerce,,793,74,102,382,4
Eliza,,387,70.69,102,419,0
Purplins,,673,68.69,102,463,14
