Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Korhs;;2051;75.00;175;463;188;23;96;23;windows
Korrarara;;2014;74.56;175;529;102;8;161;10;windows
Anbathebh;;2066;75.00;174;576;293;6;161;14;windows
Gace;;2074;74.75;173;561;243;14;128;7;windows
Nobody;;1928;73.94;173;563;273;15;123;3;windows
Edgkhan;;2001;74.81;173;593;229;10;146;8;ios
Korando;;1995;74.13;172;569;252;12;135;10;android
Korde;;2095;75.13;172;578;207;20;98;14;windows
Rommethebh;;2033;74.56;172;587;257;18;105;9;android
Umbradei;Warlord;2005;74.44;168;558;278;13;129;10;windows
Keve;;1606;73.25;166;537;145;11;139;4;android
Korla;;1962;73.94;163;546;276;15;118;4;windows
Chinazss;;1996;74.81;162;532;209;15;124;13;ios
Korl;;1879;74.31;162;581;252;4;169;12;android
Phuong;;1909;73.50;162;582;297;21;90;13;android
Iamnotcool;;1941;73.81;161;398;164;19;101;2;windows
Achooooooo;;1975;74.00;161;480;202;7;157;14;ios
Bena;;1914;74.25;161;492;139;18;104;3;android
Kornewbh;;2000;74.06;161;523;101;19;100;10;android
Orika;;1923;74.38;161;557;162;8;152;13;android
Edgseven;;1829;74.31;161;594;206;14;123;2;android
Chun;;1986;74.06;160;549;136;8;157;13;android
Zxba;;1914;73.94;159;563;305;14;121;34;ios
Sdodecij;;2027;74.56;158;538;211;7;158;8;ios
Pootytt;;1749;74.75;158;554;209;17;109;8;ios
Xxxxxxxxxx;;1760;73.94;158;576;237;11;142;11;ios
Love;;1995;74.19;158;581;246;13;128;7;ios
Hronos;Challenger;1940;74.25;158;586;210;21;92;20;windows
Phantombh;;1780;73.63;158;587;230;7;159;16;android
Korviii;;1970;73.75;158;590;306;8;154;7;android
Torpe;;2004;72.50;158;596;240;9;147;2;android
Esahad;;1982;74.06;157;569;216;12;138;38;android
Ruchip;;1984;74.00;157;574;241;9;150;30;android
Karyna;;1916;73.50;156;433;158;12;136;3;ios
Adace;;1773;73.81;156;469;183;9;147;7;android
Dnomyarx;;1977;73.38;156;471;153;13;129;7;ios
Valla;;1891;73.56;156;506;201;17;109;13;windows
Vinditius;;1985;74.50;156;519;175;18;102;1;android
Svyznoy;Challenger;1734;73.75;156;526;185;7;155;6;windows
Casttani;;1986;73.44;155;493;245;10;148;29;windows
Gunra;;2050;74.19;155;511;207;12;133;19;android
Lilithjr;;1737;74.38;154;488;220;14;124;53;android
Rerelele;;1829;73.56;154;490;197;17;110;6;steam
Korsi;;1810;74.13;154;552;227;20;97;29;ios
Adolin;;1437;72.69;154;554;218;7;156;9;ios
Darkratos;;1523;73.25;154;571;183;13;124;9;android
Korkw;;1458;73.00;154;592;226;12;134;32;android
Korpang;;1941;74.06;153;535;193;14;124;13;android
Nguyen;;1819;73.38;153;580;250;22;86;18;ios
Kounijiwa;;1664;74.06;153;589;205;14;127;15;android
Razi;;2013;74.88;152;380;143;18;106;9;windows
Onetwo;;1949;73.81;152;514;190;16;115;20;android
Korsoksok;;1925;74.38;152;539;252;18;102;29;android
Roque;;1889;74.31;152;554;201;17;111;19;android
Pyssypyssy;;1883;73.31;152;599;138;14;123;6;steam
Zoga;;1881;74.13;151;471;174;11;136;1;android
Andy;;1934;73.56;151;508;223;7;158;9;android
Korkaras;;1893;73.69;151;512;152;16;115;15;android
Maje;;1682;73.44;151;521;166;12;135;16;android
Grimshot;;1929;74.19;151;543;138;7;157;6;windows
Korhuntqr;;1957;73.94;151;554;139;8;155;4;android
Tajpan;;1894;73.81;151;570;185;16;113;13;windows
Douchebag;;1834;73.69;150;407;191;20;102;30;ios
Noamore;;1834;73.88;150;503;175;19;112;41;android
Hoya;Challenger;1967;73.81;150;579;267;6;164;16;android
Turgeon;Centurion;2015;73.44;149;458;235;11;132;9;ios
Torum;;1557;73.75;149;536;225;16;115;13;android
Pewpewpew;;1965;74.38;149;565;170;18;105;3;android
Geommeooe;;1411;72.31;149;575;271;12;137;32;android
Roam;;2005;74.69;148;419;172;15;118;16;steam
Korinroji;;1640;73.94;148;472;187;11;140;3;android
Nimissibal;;1875;73.56;148;483;197;7;157;11;android
Boom;;1716;73.63;148;497;269;11;140;7;android
Hboss;;1726;72.44;148;513;199;12;144;15;android
Greenspeed;;1727;74.44;148;513;194;9;150;7;android
Yuung;;1496;73.31;148;523;229;20;93;16;android
Vnhoan;;1740;73.00;148;526;208;13;130;8;android
Artemis;;1919;73.50;148;528;193;8;154;9;windows
Jemimah;;1828;73.38;148;538;210;13;120;1;android
Nitroshka;Challenger;2001;74.56;148;560;243;15;115;9;ios
Fisherskp;;1715;73.88;148;569;228;16;110;5;android
Leaguess;;1951;73.75;148;571;279;16;115;8;android
