Hoji,,1778,73.44,141,418,2
Ghork,,1384,72.63,130,451,3
What,,1182,72.81,128,393,0
Geoviah,,1569,72.44,128,573,6
Novosky,,1468,71.31,125,592,13
Bbbb,,1228,72.69,123,387,4
Raran,,1570,72.88,121,490,7
Hiji,,1300,72.81,120,302,0
Lashanra,,1600,72.56,120,435,0
Bobag,,1204,73.31,120,522,4
Anbysil,,1613,74.06,119,381,2
Morkag,,963,72.81,118,536,1
Sanguine,,1529,72.63,117,464,0
Nieren,,615,72,117,500,2
Beji,,583,73.13,117,542,13
Maga,,911,71.44,116,494,5
Gretta,,1036,73.5,116,524,1
Zakka,,956,73.13,116,541,1
Chinasu,,1281,72.56,116,591,6
Yanfei,,1060,72.44,115,313,1
Itaki,,1139,72.75,115,359,1
Monica,,1293,71.81,115,389,1
Ivume,,1509,72.44,115,405,4
Cugi,,878,72.88,115,437,0
Suzyq,,1071,72.69,115,536,3
Loge,,1567,72.81,115,593,17
Eeeeew,,1219,73.25,114,491,5
Questoria,,1147,72.19,114,546,3
Ferris,,1268,71.94,113,390,3
Kordosa,,851,71.94,112,418,3
Swartkat,,852,72.63,112,483,1
Tigerpizz,,1210,72.25,112,587,2
Runemaster,,1397,72.19,111,373,0
Amorphis,,693,71.81,111,420,0
Rutina,,666,71.69,111,465,5
Frozenhell,,834,72.19,111,484,3
Maggiemae,,1198,72.56,111,506,4
Wings,,805,71.56,111,537,9
Xoviousxx,,590,71.19,111,541,9
Bystorm,,542,71.5,111,547,6
Viki,,1111,74.13,111,571,4
Malachite,,1175,73.19,111,594,3
Angelica,,1689,72.44,110,202,2
Mayari,,1177,72.44,110,269,1
Corgarde,,1156,73.69,110,308,2
Ojalled,,1074,71,110,322,1
Abrina,,429,71.94,110,365,0
Shea,,1043,72.38,110,371,2
Hela,,984,73.63,110,372,7
Tyshabelv,,560,71.13,110,423,2
Xeno,,792,70.94,110,425,2
Rija,,1020,72.69,110,438,0
Junimi,,1088,72.06,110,481,2
Jeza,,367,70.63,110,488,2
Ivameg,,768,70.94,110,514,5
Alexia,,1011,72.44,110,528,1
Gekek,,735,70.94,110,557,7
Renseianb,,1183,72.38,109,348,1
Acet,,1342,72.5,109,383,6
Hehe,,1319,71.81,108,405,7
Fullie,,367,71.63,108,461,4
Madge,,1175,72.31,108,506,7
Ravi,,1186,72.56,108,561,2
Event,,833,72.44,108,566,2
Amby,,1159,72.31,108,594,6
Morgana,,788,72.31,107,434,4
Octavia,,519,71.5,107,508,8
Neel,,1050,72.06,107,526,4
Lunar,,457,72.63,107,538,0
Ircam,,858,71.69,107,538,2
Riruca,,597,71.25,107,542,3
Cungus,,402,71.19,107,548,5
Yxvj,,893,70.81,106,271,0
Edin,,454,70.75,106,378,1
Humi,,392,71.13,106,433,1
Aruna,,1243,72.75,106,551,9
Vexevius,,422,72.19,106,593,8
Nohopeone,,966,71.88,105,182,0
Greyformed,,1241,73.38,105,333,0
Idergom,,1036,72.5,105,351,2
Antictra,,893,71.75,105,353,0
Diepewpew,,1453,72.63,105,362,7
Eludeg,,473,70.5,105,389,3
Hermoine,,760,71.38,105,443,7
Player,,579,71.69,105,548,6
Shivathree,,803,72.25,104,495,3
Overlord,,495,70.56,104,568,4
Emodom,,347,72.25,103,390,2
Tigun,,767,71.75,103,422,1
Kuci,,789,72.56,103,491,0
Ravarze,,392,70.31,103,498,1
Tafra,,887,72,103,500,0
Elaka,,602,71.25,103,558,3
Ashallil,,481,72.94,102,386,1
Evola,,821,72.25,102,438,2
Orkuva,,609,72.63,102,464,2
Eshonra,,1003,72.13,102,485,1
Likkill,,341,70.94,102,510,1
Mihibra,,845,70.38,102,521,2
Phlatus,,495,72,102,533,0
Zosi,,346,71.75,102,588,2
Luvrod,,898,71.06,102,589,0
Lartana,,480,71.25,102,592,2
Dira,,619,71.31,101,435,1
Emly,,928,73.56,101,463,0
Jicet,,298,72.5,101,510,2
Jasiu,,1043,72.13,101,511,9
Anaxime,,684,70.63,101,530,1
Surzom,,961,72.44,101,537,3
Anbtwan,,1363,72.31,100,99,0
Turarda,,824,71.63,100,227,0
Gemmy,,1528,72.69,100,234,5
Olerak,,881,72.56,100,234,2
Okim,,963,71.25,100,282,5
Vunaba,,1321,72.5,100,286,1
Zize,,346,71.5,100,290,5
Pewpew,,967,71.25,100,339,6
Shuji,,980,71.75,100,340,12
Miena,,446,71.81,100,380,0
Idurel,,772,71.06,100,387,5
Plusa,,776,71.19,100,406,2
Edobi,,899,71.06,100,411,9
Gyuixzo,,626,70.63,100,427,5
Aurus,,538,70.75,100,450,4
Sabi,,578,71.38,100,535,22
Sarmagchin,,621,71.38,100,580,1
Xehanort,,379,71.06,99,445,2
Ircoz,,370,70.94,99,471,0
Hami,,438,71.56,99,513,0
Coli,,714,71.75,99,539,4
Libas,,701,70.75,98,406,0
Julio,,650,71.63,98,491,2
Sorcerss,,336,70.5,98,510,1
Icon,,705,71.06,98,557,1
Boudica,,828,72.19,98,561,6
Nuva,,421,70.69,97,407,8
Mezinri,,312,71.56,97,486,1
Knallhut,,576,71,97,490,1
Hinata,,740,70.31,97,537,6
Roza,,732,71.25,97,552,3
Frostfyre,,358,71.31,97,568,4
Derek,,652,72.75,97,577,5
Rasgard,,510,70.75,97,586,2
Ebigud,,370,69.13,97,591,0
Diloche,,247,71,96,332,4
Kepyas,,640,71.19,96,366,8
Temp,,353,71.69,96,376,1
Kasa,,359,71,96,457,6
Helati,,428,72.38,96,493,1
Wizard,,297,70.5,96,494,3
Petre,,914,71.06,96,524,1
Queenpin,,364,71.19,96,566,14
Kucurca,,1021,72.5,95,208,0
Snowbrood,,724,71,95,254,0
Alikra,,736,71.63,95,295,0
Sapiens,,600,71.69,95,319,1
Mleeja,,647,71.31,95,327,3
Emom,,367,71.31,95,353,0
Ohibim,,762,70.94,95,365,4
Will,,762,71.69,95,367,0
Kuve,,835,71.63,95,473,0
Gikre,,739,70.56,94,535,5
Seze,,270,71.56,94,582,12
Yennifer,,328,71.13,94,594,25
Subola,,741,69.63,93,345,0
