Dabrol,,1470,72.81,139,370,5
Jutha,,748,74.94,139,506,19
Burning,,1102,72.75,135,481,29
Nike,,949,72.44,133,529,18
Vampiremu,,490,75.19,133,564,2
Ololo,,2036,75.69,132,349,16
Resi,,1280,74.13,132,437,18
Trigun,,1271,73,131,478,14
Hahahasol,,1681,72.81,130,470,15
Isae,,1231,73.13,130,525,27
Liotla,,1397,70.75,129,521,8
Arirang,,1545,73.06,128,427,12
Gabang,,817,70.88,128,500,5
Cyaana,,922,71.31,127,507,22
Odok,,1727,71.63,126,381,13
Mikasa,,1601,72.25,124,465,13
Lybin,,1519,70.63,124,546,75
Karas,,818,71.25,123,494,1
Hegelotl,,1003,71.69,123,596,0
Quandary,,721,71.19,122,579,16
Acuji,,1021,73.69,120,315,8
Danye,,1575,72.44,120,406,8
Whisper,,902,71.19,120,407,14
Moka,,984,70.94,120,415,9
Zajome,,1771,71.25,120,483,17
Rasputina,,1561,72.38,120,497,25
Finn,,620,71.31,120,556,30
Madlax,,1297,72.38,119,372,19
Pewpewpew,,1896,72.81,119,391,64
Neotib,,563,71.13,119,597,27
Achati,,1250,71.5,118,414,8
Jessica,,836,71.19,118,432,4
Death,,933,70.5,118,527,13
Xxxxx,,758,70.81,118,539,11
Gonnot,,1170,72,117,361,14
Ggul,,897,71.25,117,374,4
Oknftw,,1055,72.88,115,334,13
Luvi,,1095,71.44,115,448,8
Babochka,,601,70.63,114,429,24
Lmftrc,,716,70.56,114,459,8
Solstice,,818,71.5,114,510,14
Ednanra,,987,71.63,114,522,18
Dhfgrn,,795,71.06,114,584,14
Ennek,,834,71,113,328,4
Kylor,,656,70.56,113,532,14
Zula,,767,71.44,113,534,5
Argobe,,965,70.44,113,545,5
Berdume,,500,70.56,113,546,10
Hohe,,1248,72.31,112,276,2
Hikreg,,800,70.81,112,508,4
Azelan,,715,70.5,112,544,18
Sertuz,,460,70.88,111,367,2
Rizak,,1367,71.44,111,429,21
Teva,,978,71.13,111,455,3
Begenni,,598,70.69,111,500,4
Adruvi,,605,69.63,111,571,5
Saraaazzk,,501,71.06,111,591,12
Kataxenna,,1617,73.25,110,275,3
Iguthi,,1412,72.38,110,276,3
Lazarus,,866,70.75,110,286,3
Agozi,,1162,71.94,110,307,19
Tirgi,,929,71.25,110,391,17
Peanut,,827,71.19,110,427,2
Sunday,,1033,70.63,110,429,14
Ohullez,,781,72.25,110,499,2
Honeybee,,532,70.88,110,549,14
Ardulace,,429,69.44,110,580,6
Lucifer,,550,70.81,110,581,5
Jalom,,330,70.25,109,114,3
Athena,,635,71,109,582,14
Pukimak,,437,70.56,109,584,4
Megrum,,680,70.56,108,469,6
Ardulace,,659,70.38,108,479,7
Artove,,478,70.75,108,515,6
Nusirke,,519,70.25,108,557,9
Ihitham,,1026,70.88,107,414,6
Persejorma,,613,70.38,107,524,12
Debeja,,1070,71,107,556,4
Bomos,,666,70.5,107,567,6
Isari,,673,70.94,106,389,4
Izil,,482,70.69,106,473,3
Ekaz,,538,71.06,106,511,8
Thebullet,,784,71,106,562,8
Kuncrut,,546,70.44,106,571,2
Biks,,689,70.5,105,274,2
Itel,,410,70.63,105,300,9
Doze,,297,70.81,105,433,4
Karenyaegr,,1023,70.88,105,439,6
Igrodnit,,447,71.69,105,580,16
Asas,,851,71.44,104,361,10
Demoreal,,557,70.44,104,385,7
Ogim,,502,70.88,104,412,5
Abcd,,807,70.75,104,592,22
Baidaya,,502,70.94,103,351,1
Tobin,,940,71.19,103,416,7
Scolios,,705,71.69,103,459,3
Ohakri,,394,70.94,103,516,4
Ithon,,715,70.81,103,530,11
Dafoe,,423,71.06,103,553,0
Hidi,,647,70.63,103,563,36
Lalaal,,501,70.94,103,591,13
Raffoon,,506,70.88,102,419,7
Nirdad,,369,70.19,102,457,25
Atun,,617,70.31,102,518,20
Croco,,431,71.13,102,564,5
Cibone,,792,71,102,566,25
Yorlady,,403,70.69,102,598,9
Tirilla,,369,70.5,101,394,10
Athena,,907,70.63,101,483,7
Alen,,442,70.69,101,490,4
Hertiz,,660,71.38,101,515,25
Michele,,721,71.19,100,214,1
Ellos,,880,70.56,100,248,0
Babycakes,,409,70.5,100,312,6
Hadrhune,,337,69.94,100,348,5
Javrubra,,310,69.44,100,352,9
Osizid,,349,70.63,100,365,3
Excercia,,667,70.38,100,415,11
Lerdeke,,476,69.81,100,430,5
Rema,,533,67.13,100,442,8
Ronarona,,442,71.13,100,456,4
Rare,,428,70.38,100,461,15
Obardi,,363,71.56,100,511,24
Bounty,,532,70.44,100,526,12
Bordo,,425,70.38,100,532,8
Miinh,,359,70.94,100,563,6
Mare,,526,70.06,100,564,24
Throwaway,,370,70.69,100,570,26
Massacre,,351,70.31,100,578,12
Calet,,385,67.19,100,582,16
Zailene,,403,70.56,99,433,2
Zufrik,,388,70.44,99,448,1
Abrel,,508,70.5,99,448,3
Soca,,406,69.19,99,498,17
Ahod,,401,70.75,99,567,3
Royall,,322,70.31,98,417,11
Beca,,636,70.25,98,425,4
Ruits,,478,70.81,98,429,9
Zomus,,418,70.56,98,501,30
Virgaba,,376,73.75,98,527,4
Izaz,,893,71.5,98,540,7
Meizi,,355,70.31,98,552,4
Irehi,,459,69.69,98,589,3
Leonardo,,306,71.56,98,591,4
Linda,,638,70.38,97,315,1
Kethiz,,1020,72.5,97,358,4
