Korg,,2007,74.69,178,580,8
Blackjack,,2012,74.25,177,543,16
Hmmmmmmmmm,,2146,75.19,177,589,6
Kornovice,,2120,75.13,176,578,8
Raee,,2094,74.94,176,599,3
Risa,,1991,74.5,174,464,9
Umbradei,"War Hero",2040,74.19,173,545,3
Chinagua,,2040,75,173,564,5
Kormaetel,,2083,75,173,568,10
Korjoro,,2004,74.75,171,575,4
Korvip,,1774,73.5,169,584,14
Epicromme,,2100,75.44,168,595,10
Vlookup,,2032,74.63,166,575,8
Koreaerok,,1918,73.25,165,578,12
Korevent,,2024,74.06,165,598,17
Korlu,,2036,73.81,164,583,16
Atazit,,1996,74.31,162,581,25
Torgal,,1550,73.56,161,365,1
Chinacc,,2041,75.25,160,526,23
Korhiji,,1981,73.81,159,485,12
Sadlooser,,1964,74.13,159,513,7
Suvugi,,1880,73.94,158,448,1
Dnomyarx,,2050,74.19,158,506,2
Enat,,1970,74.06,158,556,11
Adolin,,1916,74.06,158,562,5
Korhuntop,,2020,74.19,158,584,26
Sauzer,,1970,72.94,158,587,6
Nanizi,,2022,73.5,158,591,14
Kornoje,,2004,74.13,157,429,11
Happy,,2033,74.94,157,462,21
Roque,,2050,73.88,157,495,16
Abner,,2086,74.31,157,502,20
Nguyenn,,1818,73.5,157,514,10
Korha,,1921,73.56,157,518,24
Hronos,,2046,74.25,157,525,21
Zivruta,,2004,74.56,157,528,25
Eread,,1817,73.69,157,529,12
Schultz,,1879,73.31,157,538,13
Korna,,2006,73.88,157,544,23
Gunra,,1994,73.31,157,547,27
Svyznoy,,1883,73.38,157,553,10
Dejil,,1572,73.88,157,560,8
Goodman,,1994,74.44,157,562,21
Hannal,,1896,73,157,576,10
Sosoarta,,1727,73.69,157,584,12
Korka,,1990,73.81,157,588,11
Phuong,,1974,73.75,156,369,3
Dikri,,2000,74.56,156,408,5
Promaxis,,1955,74.38,156,510,11
Torumm,,1738,74.13,156,513,5
Korkong,,1880,72.69,156,530,7
Ruchip,,2014,74.38,156,561,21
Akilla,,2044,74.31,156,561,7
Guches,,1950,74.06,156,573,7
Korimin,,2028,74.63,155,513,22
Pootytt,Centurion,1927,74.25,155,562,46
Slonik,Centurion,1636,73.56,154,505,8
Movements,,2002,74.38,154,511,28
Logan,,1519,73.31,154,567,8
Regi,,1983,74.06,154,581,30
Yusufkral,,2000,74.06,153,515,9
Kingkongyo,,1768,73.56,153,518,23
Zanitha,Challenger,2013,73.81,153,523,16
