Wildfire,,2160,75.38,162,547,0
Chinahjj,,2125,75.38,159,536,0
Korternium,,2100,75.13,158,556,0
Anba,,2101,74.81,158,596,0
Chinax,,2035,74.88,157,552,1
Kornewyear,,2108,75.13,157,565,0
Korwinter,,2147,75.31,157,587,1
Kortwo,,2100,75.19,156,499,0
Tuhushe,,1911,74,156,505,0
Lithut,,1979,74.56,156,527,0
Chinanewbe,,2026,75.19,154,535,0
Korzz,,2101,74.94,154,590,1
Oksusu,,2078,75.19,154,594,1
Kormansaok,,2070,74.75,154,597,4
Koreaidol,,2006,74.69,153,542,0
Kinnu,,2012,74.63,153,594,3
Travisdno,,2079,74.44,152,531,0
Bananafree,,2048,74.5,152,578,1
Hegemony,,2092,75,152,595,3
Ladydee,,2027,74.19,151,568,1
Lolo,,1962,73.88,149,599,1
Shalava,Centurion,2053,74.19,148,544,0
Alistin,Centurion,1981,74.06,148,553,0
Alistin,Centurion,1990,74.25,147,556,0
Dogi,,1920,73.94,147,589,4
Gracekelly,,2028,73.63,146,453,3
Korneroli,,2080,74.13,146,516,3
Ruvasy,,1906,73.94,146,576,3
Kathe,,2080,74.06,145,584,1
Ganesha,,2071,75.25,144,418,1
Korkim,,1970,74.44,144,473,1
Iridium,,2063,74.13,144,512,4
Darklight,,1904,74.25,144,586,6
Baipiao,,2017,75.13,143,292,4
Sssss,,1880,73.25,143,456,2
Ojek,,1968,73.94,143,489,0
Soccer,,1995,74.06,143,499,2
Solida,Centurion,1985,73.38,143,562,1
Tonto,,1790,73.81,143,562,3
Michyb,,1939,74.31,143,564,4
Sothedne,,1785,73.06,143,574,1
Doden,,2009,74.31,142,450,2
Renseianb,,1903,73.5,142,470,2
Chinakkk,,2072,75.19,142,490,7
Curiango,,1655,73.75,142,496,2
Ebul,,1932,74,142,506,1
Orion,,2005,74,142,523,3
Dimple,,1980,73.75,142,568,1
Blue,,1899,74,142,573,5
Orkyt,,2009,73.5,142,574,0
Dagou,,1764,72.75,142,581,0
Kokrhel,Centurion,1885,73.75,142,595,3
Orcas,,1964,74.44,141,397,1
Brozander,,1717,73,141,452,3
Rethos,,1525,73.25,141,493,0
Metelica,,2028,73.56,141,506,0
Lazybanana,,1977,73.06,141,515,0
Albus,,1906,73.81,141,582,1
Kormobile,,2093,74.56,140,357,0
Monty,,1702,72.69,140,399,1
Star,,2052,74.56,140,399,10
Ivra,,1708,73.81,140,469,4
Pikok,,1942,74.13,140,568,5
Githira,,1930,73.44,139,386,0
Twinkle,,2015,74.38,139,499,3
Bromanpl,,1890,74.13,139,522,2
Qclone,,1953,74,139,538,2
Jathi,,1966,73.5,139,560,4
Ekas,,1908,73.63,139,563,1
Boop,Challenger,1961,73.69,138,454,3
Teja,,1799,73.5,138,478,6
Zaph,,1559,73.06,138,503,2
Joce,,1937,74.25,138,508,0
Bumblewasp,,1919,73.44,138,587,1
Ecahi,,1163,72.94,138,589,2
Hecate,,1765,73.44,138,593,6
Hahi,,1535,73.69,138,597,1
Okenun,,1815,73.44,137,431,0
Korkor,,2004,74.56,137,528,10
Beebronze,,1907,73.56,137,531,1
Erdogad,Challenger,1805,73.63,137,564,1
Rhiri,,1662,73.44,136,427,1
Kaartky,,1565,72.75,136,441,1
Kortngus,,1904,73.06,136,465,2
Yennefer,,1903,73.81,136,488,4
Zombie,,1918,73.25,136,493,6
Jisa,,1541,72.13,136,493,2
Aaawwaa,,1934,73.19,136,520,3
Inninuk,,1933,73,136,557,7
Lennibom,,2020,74.25,136,567,4
Cranberry,,1891,73.56,136,572,3
Riti,,1661,74.75,136,585,1
Bronzer,,1577,73.44,136,590,5
Quickie,,1277,72.5,135,314,0
Narmagebro,,1983,73.69,135,385,2
Korsoksok,,1764,73.56,135,399,6
Losmeanb,,1907,75.06,135,437,7
Nurse,,2031,72.75,134,247,0
Icone,,1611,73.63,134,474,8
Azog,,923,73.19,134,564,3
Tyre,,1638,73.94,134,599,2
Heaven,,1647,73.75,133,499,12
Ebrik,,1324,72.75,133,528,3
Molly,,1786,72.75,133,550,2
Epig,,1637,73.13,133,589,10
Zizi,,1257,73.38,133,597,11
Korkor,,1871,73.56,133,597,14
Solbnb,,1879,73.69,132,291,1
Tonette,,1622,73.69,132,448,3
Saty,,1450,74,132,502,1
Irgujum,,895,73.75,132,584,5
Breezz,,1542,72.75,131,299,0
Ezana,,1093,73.19,131,318,2
Inazume,,1883,73,131,442,6
Jate,,1673,72.69,131,451,0
Santa,,1942,73.56,131,452,2
Konbronze,,1873,74.44,131,468,13
Fern,,1260,72.69,131,475,8
Korpascom,,1881,72.88,131,507,2
Wong,,1825,73.19,131,508,3
Troy,,1409,73.13,131,536,3
Zephanie,,1855,73.81,131,553,4
Zeus,,1948,72.88,131,591,4
Tecel,,1713,73.81,130,237,0
Nicotine,Challenger,1819,73.25,130,265,3
