Winyo,,1937,73.38,137,550,3
Swiftbit,,1854,73.25,130,454,6
Rene,,1111,70.25,127,553,0
Twinkmagd,,779,71.38,127,570,8
Akrik,,1713,73.5,126,563,10
Koko,,1708,73.44,123,327,0
Artemusii,,1927,73.94,123,498,5
Novedex,,1432,73,123,514,14
Kodira,,1107,71.5,122,541,3
Shantilly,,1259,72.75,121,399,5
Andrzej,,1836,73.44,121,461,7
Amuji,,1166,71.56,121,468,2
Hero,,1183,72.5,120,373,3
Ihave,,1296,72.44,120,385,1
Mergal,,1243,72.63,120,399,3
Nunus,,1403,71.63,120,403,4
Hypathia,,1621,72.5,120,454,8
Sohe,,750,72.19,120,522,1
Dese,,767,71.44,120,576,4
Duncan,,1247,73.13,119,326,4
Vodnus,,1359,73.13,119,351,1
Allesi,,1607,72.81,119,493,11
Xoviousxxx,,1280,72.19,118,508,6
Maige,,1329,73,118,544,0
Giupina,,1130,71.38,117,368,5
Surzis,,1765,73.13,117,398,3
Ilud,,567,72.19,117,520,0
Esum,,1065,71.94,116,337,3
Megrin,,529,72.31,116,429,3
Egare,,691,73.5,116,479,0
Lige,,789,71.31,116,504,1
Jaina,,1286,71.06,116,521,4
Rerki,,404,71.94,116,590,8
Zeppelin,,751,72.56,115,360,3
Ivolin,,893,70.94,115,362,2
Juststuff,,827,71.81,115,403,0
Gandalf,,1276,72.19,115,434,0
June,,866,72.69,115,523,2
Shixi,,1478,72.75,114,209,4
Nute,,1193,72.38,114,397,6
Mollywhop,,604,72.75,114,471,1
Okeval,,985,71.63,114,496,6
Anaxime,,1104,71.63,114,541,10
Bystorm,,1121,72.19,114,559,3
Player,,754,72.13,114,570,8
Speut,,563,71.69,114,571,5
Enote,,1103,72.13,114,576,1
Shadess,,868,72,113,343,1
Ciruz,,533,72.13,113,528,7
Orion,,1316,72.19,113,568,1
Casimir,,970,71.44,113,570,4
Cacny,,954,72.63,113,572,3
Tiazorra,,742,72.44,113,580,5
Gesiz,,1424,73.31,112,425,2
Ekobri,,511,71.56,112,482,5
Widerman,,612,72.06,112,514,1
Abecak,,948,72.75,112,516,2
Buzzard,,630,71.88,112,522,2
Golloka,,1225,71.75,112,587,1
Event,,781,72.75,112,598,6
Jaza,,1038,71.75,112,599,4
Toon,,1213,73.75,111,403,6
Kovach,,718,70.69,111,412,4
Lukaz,,1238,71.69,111,433,3
