Guci,,2022,74.75,138,586,2
Korrr,,1957,73.88,135,342,0
Sesama,,2005,74.25,135,397,0
Vkwr,,1705,72.5,135,556,1
Rordedra,,1931,73.44,135,579,0
Ragnar,,1977,73,133,421,6
Zachi,,1822,72.25,133,552,2
Anakinn,,909,73.38,132,571,4
Anna,,2002,73.25,132,596,5
Bluesky,,1978,73.44,131,411,4
March,,2036,73.5,131,460,14
Protoss,,1773,72.56,131,492,1
Ratheve,,1846,72.75,131,553,3
Lifeihao,,1830,72.81,130,231,0
Noname,,1921,73.19,130,330,0
Eggg,,1947,72.69,130,347,0
Gogoing,,1747,72.38,130,411,1
Kingseven,,1782,73.06,130,489,0
Kirci,,865,72.88,130,526,7
Seconded,,1931,73.88,129,449,3
Irina,,1911,71.5,128,386,0
Chinadayu,,1770,72.31,128,557,4
Cola,,970,74.81,127,406,2
Niji,,1853,73.56,127,464,7
Chinaxixi,,1477,72.06,127,494,1
Furiosa,,2051,72.44,127,513,2
Tisus,,1813,72.19,127,541,2
Salsasweat,,1341,73.44,126,501,2
Zuli,,775,72.63,126,511,6
Dini,,892,73.25,126,529,3
Kordia,,1713,73.25,126,532,10
Troiy,,495,71.88,126,575,6
Korsein,,1726,72.88,126,580,6
Gerenal,,1775,73.06,125,256,6
Larzimi,,1630,72.75,125,260,0
Titchbits,,910,71.5,125,350,0
Irregular,,507,72.25,125,390,1
Bruh,,1053,73.38,125,395,0
Okarzos,,1007,71.81,125,400,1
Hitnazty,,1799,72.06,125,473,1
Loca,,1354,72,125,476,4
Docaka,,1767,71.44,125,490,1
Bangbang,,864,71.69,125,523,12
Cafe,,1816,73.31,124,504,2
Maruv,,615,73.06,124,564,1
Chinakz,,1830,72.38,123,220,1
Cide,,1018,71.69,123,399,1
Arira,,815,72.75,123,447,1
Katinni,,1453,72.19,123,485,3
Apach,,1254,71.88,123,519,2
Korend,,653,72.38,123,533,4
Metaverset,,1096,73.13,123,556,5
Xmasballs,,1123,71.63,123,557,6
Ashas,,794,71.44,123,568,3
Farmexp,,888,73.69,122,517,14
Zena,,1193,71.25,122,540,3
Carrier,,689,71.31,122,593,2
Korsangoon,,1419,72.69,122,596,10
Riha,,1891,72.13,121,376,4
Chinawang,,983,72.31,121,377,2
Bronze,,1546,71.44,121,424,4
Zacko,,1013,71.31,121,471,3
Devus,,1713,72.38,121,500,1
Arkovrod,,1455,72.88,121,525,3
Grunt,,1525,72.69,121,533,2
Caramon,,965,71.56,121,549,5
Izatut,,1124,72.31,121,557,0
Hina,,1003,72.56,121,562,3
Coconut,,1206,71.5,121,586,5
Judith,,634,72.81,121,592,2
Aberdonian,,667,72.31,121,598,1
Good,,1700,73.13,120,163,0
Demolition,,1698,72.19,120,257,5
Azot,,1406,73.13,120,259,2
Metaversej,,1036,72.63,120,297,1
Thor,,795,71.38,120,302,2
Amis,,1429,72.69,120,322,0
Haci,,1687,72.44,120,329,5
Ganrut,,1132,71.69,120,337,2
Hobod,,1370,71.38,120,341,2
Xiaomio,,1320,72.25,120,354,0
Orzuri,,1238,72.88,120,363,0
Zurdi,,850,72.88,120,370,10
Lana,,585,72.5,120,373,1
Erdisaz,,1347,72.38,120,373,0
Vivian,,1149,71.81,120,386,1
Catspaw,,764,73.56,120,386,0
Applepie,,768,73.31,120,392,0
Shehurc,,1486,72.81,120,400,9
Bkmmm,,892,72.38,120,401,0
Koreakkk,,947,72.19,120,413,0
Lokaz,,874,72.88,120,418,1
Martin,,778,71.69,120,420,1
Arkit,,1820,71.69,120,422,17
Obis,,952,72.94,120,432,4
Benskor,,728,72.69,120,437,2
Bukeme,,1270,73.44,120,452,12
Ranasha,,847,71.63,120,454,2
Wangtao,,1547,73.13,120,455,15
Mutos,,925,71.31,120,457,4
Slammitt,,1397,74.13,120,464,0
Obele,,615,72.63,120,465,7
Avarti,,800,72.88,120,472,3
Baker,,796,71.63,120,476,0
Test,,1113,72.06,120,487,5
Dalathi,,1184,71.38,120,489,1
Nirti,,1896,72.75,120,500,28
Aben,,981,72.63,120,504,0
Della,,536,73.19,120,530,1
Sunisi,,1214,71.63,120,539,0
Sunyoung,,548,71.63,120,574,8
Saidkoo,,509,72.25,120,574,2
Ishorgez,,1591,73.88,119,367,1
Dewalt,,469,73.38,119,373,2
Data,,1708,73.25,119,396,2
Blufferc,,1734,71.63,119,421,4
Mariuana,,1452,71.63,119,425,3
Kordosa,,1179,72.25,119,477,2
Lanum,,1062,71.63,119,500,2
Ozuba,,939,71.25,119,531,3
Shdhwk,,913,71.69,119,559,2
Akinek,,890,71.81,118,444,1
Enebin,,437,71.56,118,455,4
Blinkwago,,1014,73,118,499,4
Porororopa,,1128,71.69,118,510,3
Irugem,,1264,72.13,118,511,2
Lotto,,635,71.44,118,524,2
Arkemi,,537,71.13,118,543,2
Caze,,706,72.56,118,555,4
Krit,,792,73.13,118,580,5
Tankkerray,,1251,70.75,117,326,1
Zzzz,,1249,71.75,117,418,4
Balbes,,557,72.06,117,443,0
Milla,,1389,72.31,117,457,13
Dokarke,,614,72.44,117,490,3
Bluesky,,1403,72.5,117,529,4
Herkules,,573,71.38,117,531,6
Ejortun,,744,72.19,117,561,2
Schwp,,1172,71.19,117,564,14
Retug,,1510,72.19,117,569,3
Titan,,1209,72.06,117,585,4
Arzukral,,510,71.69,117,599,3
Korkor,,952,72.06,116,417,3
Sety,,547,72.56,116,434,2
Nuki,,584,71.88,116,449,3
Boss,,814,72.63,116,478,0
Lightness,,641,71.63,116,497,0
Eisenberg,,626,71.31,116,504,2
Ejudred,,1106,72.13,116,515,6
Cifreg,,572,71.56,116,519,0
Iron,,628,71.94,116,534,6
Bobo,,1006,71.56,116,569,4
Vuval,,1497,72.63,116,580,3
Wttrashfr,,903,73.38,116,582,0
Kethin,,1150,71.13,116,583,16
Turok,,931,71.94,116,597,3
Katherina,,1429,73,115,208,0
Kagarino,,949,71.63,115,208,6
Kili,,1675,72.31,115,240,1
Tokos,,1105,71.5,115,241,6
Duncaniiii,,1304,72.56,115,261,3
Lenni,,1622,72.25,115,270,0
Olale,,668,71.5,115,272,4
Mkay,,1236,72.19,115,301,0
Ovalet,,1356,72.31,115,308,0
Azorge,,773,71.5,115,313,1
Wally,,1016,71.69,115,322,1
Tarce,,841,72.88,115,327,0
Bobina,,453,71.06,115,354,1
Mimics,,664,73.06,115,356,0
Izurka,,727,72.56,115,367,5
Serrgio,,699,72.19,115,372,0
Dodo,,1172,72.31,115,375,2
