Ovela,,1190,72.56,117,536,2
Zhoujielun,,1204,72.13,116,542,7
Devas,,375,70.88,107,530,12
Faffy,,1022,70.88,106,527,0
Luja,,585,72,104,457,14
Loury,,429,71,103,593,6
Icewave,,468,71.31,102,435,12
Frosticle,,631,70.75,100,531,5
Odisi,,557,71.25,100,542,2
Humanoid,,523,71,100,544,9
Ostard,,611,69.81,98,559,5
Sirqiu,,602,69.88,97,523,2
Ding,,595,70.56,96,412,3
Tecushi,,424,70.19,96,581,3
Igad,,849,71.25,95,309,1
Anrobi,,588,71.56,95,320,0
Ivola,,569,71.19,95,340,1
Samgratte,,289,70.25,93,471,1
Necracious,,366,71.25,93,484,4
Spamdalf,,413,70.81,93,595,4
Kris,,511,71.06,91,386,1
Rikksi,,548,70.94,91,479,8
Zagic,,277,70.38,91,520,4
Fire,,421,69.38,91,581,7
Emily,,600,72.31,90,246,3
Sezi,,539,70.69,90,347,2
Ailir,,447,70.31,90,362,2
Kenre,,482,70.69,90,377,0
Lifriti,,381,71.63,90,414,3
Starscream,,685,70.5,90,437,2
Asha,,394,70.5,90,491,0
Cusi,,303,70.5,89,432,7
Amirkes,,291,71.13,89,540,6
Junruni,,412,69.88,89,586,3
Joschy,,433,70.56,88,505,1
Okim,,446,70.56,88,513,5
Dref,,301,70.44,87,496,6
Dobri,,629,70.75,86,507,0
Syngaia,,741,70.69,85,329,0
Akashi,,583,69.88,85,477,20
Suzi,,322,70.38,85,538,2
Reda,,387,70.25,85,581,2
Boobfart,,228,65.31,84,559,7
Dekrishi,,223,66.5,84,565,4
Magekaktys,,377,70.44,83,385,0
Omelas,,455,70.38,83,409,0
Jathide,,419,69.81,83,448,27
Takethat,,525,71.06,83,515,4
Test,,262,70.69,83,532,4
Saga,,509,71.38,82,432,3
Wazzupevnt,,246,70.31,82,482,0
Ochul,,225,69.81,82,495,15
Simply,,366,67.25,82,567,5
Faxe,,379,70.94,81,388,7
Othek,,618,72.25,81,418,4
Bucha,,309,70.25,81,515,7
Ercorok,,442,70.13,81,520,5
Wickjohn,,224,70.44,80,151,14
Tihe,,629,70.88,80,226,0
Zhokage,,279,69.44,80,283,0
Tugri,,505,70.75,80,372,1
Kira,,374,69.88,80,376,0
Piatos,,232,67.81,80,412,5
Boble,,876,71.19,80,496,1
Ishumi,,356,68.19,80,550,8
Orgig,,755,71.38,79,59,0
Kara,,233,70.31,79,490,4
Cabrit,,311,68.25,79,567,6
Saturas,,167,70.5,78,361,2
Ecos,,404,70.75,78,417,9
Akosiae,,581,70.44,78,450,12
Vikrann,,198,70.31,78,581,6
Isheti,,407,69.13,77,291,2
Sohara,,204,66.75,77,293,5
Idris,,396,68.81,77,419,3
Sodra,,182,69.94,77,426,0
Hunter,,228,69,77,482,8
Blaster,,167,69.31,77,499,7
Roji,,245,70.38,77,504,9
