Chinakokro,,1780,73.88,140,403,5
Otova,,1284,73.06,133,524,1
Baba,,1330,73.5,133,579,2
Ares,,1806,72.5,131,517,5
Copoka,,1233,71.31,122,589,3
Ohak,,1302,71,121,380,2
Pepper,,1304,72.06,121,469,6
Metaversem,,1000,72.88,120,313,0
Piernikk,,846,74.19,120,327,1
Warcry,,1214,71,120,490,2
Typhoon,,2031,73.19,119,131,2
Lorik,,1976,73.75,119,148,2
Mezistoo,,1784,71.19,119,461,26
Chcl,,1542,71.25,118,462,5
Soso,,1051,70.5,117,557,1
Onnel,,931,71.75,117,599,12
Leona,,1162,71.19,116,515,2
Warmirus,,1144,71.19,115,459,3
Redmachine,,997,70.63,115,489,3
Serenity,,770,70.44,113,372,2
Dalt,,1216,71,113,466,3
Memek,,2486,72.81,113,552,1
Yoyo,,492,73.25,112,457,5
Zena,,1197,71.06,112,504,3
Ojad,,620,71.56,112,522,3
Kavat,,845,70.75,112,526,3
Dtro,,1387,71.81,111,333,8
Gasim,,333,71.56,111,460,4
Testggg,,1358,70.5,111,505,11
Maze,,1092,70.5,110,328,0
Adonra,,994,72.75,110,351,11
Josin,,491,70.81,110,397,3
Rokam,,720,70.88,110,422,0
Fokjobiden,,1186,70.81,110,472,1
Deacon,,914,70.63,110,485,0
Ennuce,,878,70.69,110,512,2
Dejavu,,770,70.75,108,458,2
Barsarsky,,444,70.44,108,554,2
Joremoya,,893,70.63,108,565,2
Hhhhh,,425,70.44,108,569,6
Eshila,,646,70.63,107,500,3
Pusher,,428,70.56,107,537,5
Bugrodna,,410,70.44,107,558,9
Buhas,,734,70.5,106,448,4
Louloute,,494,70.19,106,454,0
Cuma,,718,70.88,106,524,3
Babarian,,436,70.31,106,531,7
Wdnmd,,1020,70.69,105,139,0
Cangus,,673,70.56,105,415,1
Seshi,,1009,71.06,105,487,5
Milovri,,368,70.75,105,532,23
Lilith,,777,70.88,104,469,1
Aret,,681,70.81,103,442,6
Rage,,857,70.69,103,450,8
Tede,,346,70.38,103,583,12
Sinnig,,291,70.81,102,430,0
Salamandra,,747,63.38,102,457,1
Monchito,,290,70.44,101,390,5
Yoohoo,,658,70.63,101,419,1
Jacekk,,740,70.88,101,590,8
Yolo,,1406,73.18,100,133,11
Avasha,,468,72.25,100,178,0
Baldass,,878,70.69,100,222,1
Kinokiller,,921,71.19,100,267,0
Rage,,586,70.44,100,297,6
Azalynn,,531,71.5,100,319,0
Dofros,,822,70.63,100,415,2
Enot,,672,70.44,100,441,6
Legusa,,542,70.19,100,474,8
Bigtex,,783,70.56,99,400,13
Kita,,608,70.44,98,452,1
Esherci,,413,71.69,98,520,0
Risa,,399,69.69,98,534,3
Ives,,712,70.19,98,560,7
Mocbim,,360,70.31,97,475,4
Zircol,,301,69.44,97,567,3
Athena,,406,70.56,96,596,6
Egiroz,,444,70.44,95,178,4
Cert,,407,68.44,95,393,0
Lianxiang,,360,70.69,95,395,1
Queenyuna,,247,70.13,95,418,8
Ituz,,423,70.56,95,419,0
Lojit,,290,70.94,95,437,0
Mmfjke,,622,70.75,95,459,3
Raja,,299,70.31,95,529,45
Zvezdec,,462,70.5,94,501,5
Chris,,349,70.19,94,568,2
Avran,,259,68.31,93,468,5
Mommy,,256,70.56,93,498,0
Wojnarek,,480,70.94,93,530,1
Koja,,342,71.25,92,176,1
Eterza,,309,70.56,92,415,3
Paijoko,,2386,73,92,418,0
Evaza,,270,70.38,92,480,5
Albri,,306,70.69,92,525,10
Noha,,424,71,92,585,4
Mokri,,538,70.44,91,172,0
Mariel,,678,70.44,91,531,4
Lebug,,254,70,91,537,3
Sexkerara,,400,68.06,90,169,0
Revxx,,759,70.56,90,232,3
Eternium,,535,65.06,90,283,5
Duvine,,408,68.81,90,313,0
Sumin,,821,70.38,90,322,2
Ejothan,,267,68.88,90,356,0
Kuman,,531,70.69,90,383,0
Seni,,380,70.06,90,403,0
Xaviuss,,280,70.56,90,436,5
Eventdude,,411,66.94,90,454,5
Ardedek,,375,70.69,90,467,1
Ares,,265,67.56,90,492,12
Mecha,,500,70.63,89,454,4
Madranri,,431,70.19,89,502,12
Lenes,,191,72.5,88,395,2
Eketi,,316,70.44,88,554,1
Baphomet,,475,65.88,88,568,5
Saberus,,311,70.19,87,471,1
Sakcheez,,202,70.63,87,485,1
Steel,,292,70.69,87,573,2
Egaral,,640,70.19,86,379,0
Doom,,474,72.13,86,380,1
Atas,,225,67.69,86,593,6
Vugad,,309,64.31,86,598,3
Berserker,,577,70.44,85,219,0
Edem,,249,70.44,85,275,0
Leupold,,441,70.5,85,308,0
Vennes,,293,69.13,85,309,1
Bqsna,,349,70.56,85,318,1
Anros,,183,69.94,85,320,6
Maomao,,421,69.06,85,415,0
Liza,,259,70.44,85,475,8
Mahell,,538,70.13,85,552,0
Xiaov,,369,70.44,84,370,6
Sadna,,224,69.19,84,437,2
Anubis,,206,70.38,84,451,0
Luna,,258,70.69,84,491,3
Kihari,,505,69,84,595,1
Velajuel,,222,70.44,83,464,0
Kleaver,,469,70.19,83,494,3
Massi,,215,68.75,82,261,4
Wondo,,258,69.56,82,361,0
Goda,,374,70.25,82,392,1
Cristo,,369,65.94,82,403,0
Optimus,,367,69.88,82,431,3
Oshisa,,254,70.25,82,497,2
Eson,,234,68.25,82,521,1
Bodnulli,,369,70.38,82,564,4
Dexter,,328,70.31,82,591,2
Sonny,,299,70.19,81,256,2
Windsor,,178,68,81,358,2
Ekrita,,239,70.31,81,420,7
Evans,,426,62.63,81,529,0
Zuze,,492,70,81,539,2
Hartat,,264,67.75,81,580,3
Loki,,160,70.63,80,194,0
Uangrd,,483,70.44,80,215,0
Sabi,,239,70.44,80,243,0
Rugoza,,296,70.25,80,252,3
Abuji,,158,66.88,80,265,0
Ojaset,,264,69,80,327,1
Zadiz,,199,66.81,80,328,0
Pepe,,298,71.44,80,334,0
Acuz,,399,69.06,80,339,0
Daddy,,228,70.38,80,365,1
Anlonzoi,,200,67.5,80,373,0
Tokyo,,216,70.25,80,391,0
Pharaoh,,359,70.5,80,434,1
Baron,,176,64.19,80,477,3
Echuk,,249,69.19,80,488,0
Banamba,,225,69.13,80,499,0
Klug,,208,68.44,80,534,1
Bidouille,,234,69.19,80,564,0
Caitlin,,489,69.94,80,572,1
Freegirl,,314,68.25,79,85,0
Sihum,,180,70.38,79,269,1
Ihak,,316,67.31,78,386,1
Mevog,,269,63.63,78,473,2
Ichoce,,388,65.06,78,477,26
Kadni,,224,69.06,78,491,0
Nazette,,255,67.5,78,568,3
Nove,,307,69.31,78,581,7
Maririn,,357,70.38,78,590,9
Shubakaz,,245,69.31,78,599,6
Navrurki,,193,70.25,77,397,1
Ragreister,,388,65.75,77,425,7
Revog,,246,69.81,77,503,0
Tesas,,231,68.44,77,562,5
Away,,2405,72.19,77,572,0
Ochek,,239,68.69,76,310,0
Pain,,266,68.63,76,405,2
Hurcegi,,282,70.44,76,454,0
Tousaka,,331,70.06,76,512,1
Silwyna,,214,68.5,76,524,1
Iveg,,152,62.06,75,265,1
Evita,,212,70,75,271,0
Ojunra,,250,68.69,75,286,0
Slycez,,193,70,75,299,2
Philby,,372,69.56,75,358,0
Nimsui,,284,67.69,75,395,0
Chinawxl,,332,70,75,425,0
Eret,,185,69.13,75,428,0
Kinarte,,253,70.13,75,476,1
Enak,,234,69.56,75,486,0
Drago,,429,69.06,75,527,0
Krall,,405,70.25,73,345,0
Suti,,296,69.69,73,390,1
Casha,,246,70.19,73,398,4
Odnulog,,234,69.19,73,479,3
Narzike,,451,70.44,73,505,2
Zopa,,346,70.38,73,540,3
Megeta,,267,70.81,73,577,1
Zenet,,235,60.56,73,583,9
Auriel,,194,61.69,73,592,12
Flaptter,,196,65.56,72,221,2
Jama,,169,63.44,72,411,2
Tjirp,,182,66.56,72,461,1
Pantoja,,150,64.75,72,468,0
Cirilla,,402,70.5,72,485,0
Stomps,,340,70.69,72,538,0
Arxiolo,,176,68.69,71,229,2
Morgana,,182,68.81,71,295,3
Athuvuk,,174,65.69,71,295,2
Arzoji,,224,65.44,71,319,1
Monos,,164,66.56,71,385,17
Lilith,,205,66.69,71,474,1
Juvent,,152,70.56,71,494,5
Vatom,,186,68,71,518,2
Pace,,162,57.69,70,111,1
Supermin,,351,70.25,70,185,0
Sakrametum,,316,70.25,70,265,4
Tirla,,325,69.69,70,281,0
Eventt,,170,69.94,70,337,0
Abral,,259,68.69,70,369,0
Aristocrat,,204,70,70,378,0
Krawitel,,175,66.69,70,393,0
Aceka,,217,66.5,70,431,0
Bortas,,268,66.56,70,461,0
Dakota,,313,69.44,70,491,0
Ozed,,157,69.13,70,544,27
Rama,,227,70.13,69,249,0
Lada,,202,63.75,69,301,0
