Chinahjj,,2090,75.25,159,476,0
Korrrrrrrr,,2137,74.5,159,523,0
Eheguk,,2060,75.13,158,522,0
Korcamping,,2076,74.75,157,533,2
Kormansaok,,2099,75.13,157,552,1
Kornnn,,2100,75.19,157,577,1
Shifty,,2108,74.69,156,461,1
Blacksmith,,2130,75.13,156,478,2
Korwinter,,2120,75.19,156,482,0
Chinafeng,,2022,75.13,156,492,0
Korino,,2068,75,156,539,1
Guitarman,,2022,74.69,154,576,2
Broccoli,,2005,74.38,151,556,2
Olabra,,1902,74.13,149,392,3
Vanguard,,2063,74.44,149,460,0
Sssss,,2001,73.88,149,514,2
Sauzer,,1914,73.19,149,589,3
Alistin,Centurion,1964,73.5,148,518,0
Travisdno,,2018,73.88,148,528,4
Bettybp,,1995,73.44,148,561,1
Cindyshine,,1953,73.5,148,562,0
Runoob,,1961,74.13,148,567,1
Kurtizanka,,2001,73.88,148,582,0
Kormansaok,,1981,74.38,148,587,1
Alistin,Centurion,1958,73.88,147,524,1
Solida,Centurion,1938,74.13,147,540,4
Lolo,,1912,73.56,147,573,6
Sorquassil,,1851,73.25,147,599,2
Nurse,,2030,73.81,146,491,1
Dogi,,1859,73.69,145,479,2
Delman,,1978,73.81,145,544,3
Bananapeel,,1926,74.19,144,526,1
Silvermage,,1801,73.69,144,571,4
Nukem,,1813,73.63,143,539,2
Narmageslv,,1968,74,143,560,1
Blue,,1848,74.25,143,572,2
Fatmizzo,,1935,73.94,143,574,0
Rihe,,1976,73.88,142,313,0
Korneroli,,1964,73.88,142,353,1
Pikok,,1902,73.94,142,508,1
Darkmatter,,1822,74.25,142,545,2
Ogigi,,1882,73.38,142,558,3
Korsoon,,2006,74.94,141,358,1
Nure,,1670,73.13,141,489,1
Orkiit,,1905,73.88,141,538,4
Renseianb,,1911,73.06,141,562,14
Brook,,1955,73.69,141,578,2
Korssbong,,1910,73.44,141,583,11
Jukaki,,1941,74.25,141,583,7
Twinkle,,1953,74.75,140,499,3
Kortngus,,1917,73.88,140,525,5
Joshurzi,,1786,73.69,140,550,0
Protein,,1855,73,140,553,9
Losmeanb,,1874,74.81,140,579,11
Rurgi,,2003,73.31,140,591,2
Caramelo,,1563,73.88,139,460,2
Rivenbis,,1808,74.31,139,474,4
Heriel,,1731,73.13,138,509,0
Oshat,,1882,73.69,138,555,7
Ivra,,1615,73.56,138,559,1
Sorcerer,,1897,73.38,138,562,2
Chinawyl,,1821,74.06,137,494,2
Lenzlbenzl,,1870,73.81,137,535,2
Ordoz,,1373,72.75,137,536,2
Osobaal,,1963,74.25,137,561,3
Niceguy,,1938,74,137,564,3
Beesilver,,1732,73.44,137,573,3
Eshok,,1313,72.88,137,573,5
Saras,,1613,73.56,137,582,5
Thaighetto,,1908,72.75,136,385,3
Bikati,,1634,74.69,136,469,0
Ocechin,,1950,74.5,136,483,8
Frieren,,1676,72.5,136,509,9
Vizez,,1852,73,135,308,2
Lowkey,,653,73.63,135,497,2
Mushroom,,1467,72.75,135,508,1
Zeus,,1847,72.94,135,517,0
Bumblewasp,,1629,72.5,135,536,3
