Korloveru,,1860,73.25,145,355,18
Fury,,1715,72.75,143,448,12
Burning,,1740,73.94,141,343,9
Amitha,,1059,71.81,138,547,1
Madrox,,1684,73.13,137,548,35
Balda,,691,73.75,137,548,13
Osis,,1257,72.56,136,369,12
Faunol,,914,73.38,134,490,40
Osuda,,866,72.31,133,499,4
Falarianka,,616,71.69,133,571,4
Oconre,,1524,71.5,132,520,31
Ochila,,835,72.56,132,530,8
Laha,,1671,72.63,131,378,12
Chinaran,,1578,72.56,131,458,4
Forty,,474,71.56,131,533,5
Orzadal,,1404,72.88,131,592,22
Nasil,,950,73.19,130,376,18
Rupemoht,,863,71.75,130,397,13
Money,,787,71.25,130,498,13
Zembutz,,1547,72.19,130,542,35
Louis,,569,71.5,128,550,2
Ihivul,,827,72,127,426,11
Phetw,,1252,71.75,127,434,0
Sakai,,778,72.75,127,531,9
Kylor,,828,71.63,127,532,22
Hesi,,918,72.44,127,544,16
Cavitoshka,,804,71.06,127,567,14
Sycylijkaa,,862,71.06,125,584,21
Hema,,920,71.19,125,591,23
Volta,,1090,71.56,125,591,38
Atus,,421,73.31,124,400,25
Obug,,857,71.94,124,444,28
Event,,833,71.13,124,584,25
Jeanjr,,927,71.88,123,334,3
Nirti,,1038,72.5,123,387,4
Tywin,,788,72.06,123,468,4
Nahiji,,1012,71.06,123,469,2
Kitty,,1327,73.44,123,475,6
Rudna,,1101,72,123,492,2
Emes,,601,72.31,123,508,14
Silveress,,485,71.56,123,543,2
Sednache,,682,71,123,588,5
Renata,,1543,72.19,122,321,6
Irod,,559,70.63,122,501,17
Busebri,,849,71.75,122,555,51
Shifu,,576,71.5,122,560,27
Artesia,,819,72.31,122,585,46
Pewpew,,1528,73.31,121,346,2
Sosi,,1583,73.25,121,372,1
Cothenne,,1343,73.06,121,419,12
Ethen,,889,72.06,121,544,8
Biosss,,932,71.56,120,308,2
Dexter,,720,71.75,120,312,6
Okna,,640,71.63,120,316,1
Isem,,759,71.56,120,325,8
Avrudit,,609,72.25,120,329,5
Tetas,,1306,72.56,120,341,3
Kirci,,766,71.44,120,345,6
Ranzard,,1763,72.75,120,353,6
Scolios,,687,72.63,120,408,8
Joca,,669,72.63,120,455,8
Princess,,834,72.38,120,472,5
Cozus,,663,71.94,120,473,18
Othanel,,794,71.94,120,475,11
Kgyyh,,900,71.19,120,488,27
Watchina,,1200,71.19,120,491,18
Gura,,1018,72.5,120,504,27
Derika,,1287,72.94,120,513,49
Howdyho,,657,72.25,120,528,11
Obralen,,1435,72.88,119,284,11
Evangili,,1256,72,119,291,12
Hahe,,1249,72.69,119,292,7
Haxx,,1086,72.56,119,310,1
Angela,,1258,71.94,119,382,2
Suthitha,,850,71,119,465,12
Trandul,,979,71.25,119,495,8
Tananda,,1345,72.75,119,539,54
Neofire,,1454,72.5,118,371,1
Cherashea,,1490,71.94,118,376,7
Luckycloud,,1113,71.56,118,378,12
Driada,,663,72.06,118,405,6
Detha,,1097,72.75,118,417,9
Nuvi,,597,72.06,118,417,2
Aire,,809,71.19,118,461,7
Zandra,,513,72.06,118,472,2
Veshi,,944,71.69,118,488,7
Femto,,1179,72.5,118,490,7
Korgug,,790,72.13,118,495,21
Starscream,,761,71,118,505,1
Asile,,808,71.44,118,511,23
Teshinra,,943,72.13,118,536,17
Lete,,436,71.44,118,561,27
Itova,,760,71.81,118,572,4
Angle,,592,72.56,118,592,4
Piffpaff,,1237,71.5,118,598,8
Ekishok,,503,71.44,117,356,9
Zpoot,,631,71.69,117,374,6
Dreamer,,596,71.06,117,378,2
Itone,,1152,72,117,393,5
Vuval,,983,72.06,117,403,4
Ginri,,1402,72.88,117,410,18
Kakasi,,595,71.5,117,457,15
Remoto,,662,71.31,117,478,1
Zergi,,479,71.69,117,524,4
Kallori,,780,70.88,117,542,2
Ajilun,,656,72.13,117,545,14
Kapostefo,,646,71.69,117,565,35
Erkinak,,674,71.31,116,487,4
Raza,,480,70.63,116,515,17
Nika,,971,71.25,116,522,3
Dookiesan,,568,70.69,116,564,9
Boda,,930,71.75,116,570,2
Karabao,,385,70.38,116,581,1
