Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Kill;;1375;71.75;154;419;186;12;139;20;steam
Angel;;1769;73.00;152;574;134;9;142;2;steam
Bbang;;1494;73.38;148;589;258;12;131;6;android
Otherzim;;1210;73.00;146;544;195;10;140;7;steam
Vvputin;;1578;74.13;143;370;164;16;117;16;steam
Stilllearn;;1698;73.50;143;554;288;7;163;2;steam
Lushe;;1969;74.06;142;518;195;10;142;12;steam
Odrol;;1848;73.06;140;415;156;17;115;9;android
Davalka;;869;71.63;139;571;280;11;136;20;steam
Lyll;;1419;73.50;138;449;130;12;132;5;android
Alena;;1177;73.38;138;505;180;15;118;2;android
Dona;;1457;72.50;136;469;125;21;93;21;steam
Zekra;;1928;73.75;135;428;165;13;141;11;windows
Raepshot;;1854;73.56;135;468;207;15;123;15;ios
Aceni;;680;72.69;135;545;161;9;153;4;steam
Ravenclaw;;834;72.44;135;569;234;16;120;26;steam
Ingrid;;1188;73.19;134;486;219;12;132;9;windows
Ticofra;;1123;71.69;134;529;256;16;116;15;steam
Gmolder;;1760;73.31;133;379;148;7;163;6;android
Baongu;;981;72.06;133;390;159;19;100;5;android
Corona;;1676;73.31;133;471;234;11;138;7;steam
Valdy;;1842;71.94;133;478;188;20;95;6;steam
Horde;;945;72.81;133;566;114;6;157;5;android
Mando;;1611;73.06;132;384;145;18;104;10;ios
Hihello;;1462;72.75;132;459;141;13;137;37;android
Ferrat;;1435;72.00;132;463;208;16;116;21;steam
Lorelai;;903;73.81;132;524;196;13;129;6;android
Basit;;1204;72.94;131;508;109;22;83;22;android
Kross;;727;72.56;131;527;138;19;95;7;android
Nasi;;1265;73.25;131;544;181;18;107;9;steam
Eggnog;;1118;72.94;131;563;144;12;131;4;ios
Bobe;;521;71.94;131;593;194;11;142;23;android
Duanes;;1162;73.94;130;313;102;22;88;8;steam
Tamat;;668;71.81;130;450;243;15;121;7;steam
Dodaba;;1041;72.94;130;454;210;9;158;3;android
Iajjj;;932;71.88;130;469;190;11;143;14;ios
Ruse;;1356;72.75;130;478;201;16;123;27;ios
Killakill;;912;71.75;130;484;162;13;129;23;steam
Tami;;831;72.56;130;510;176;10;145;14;steam
Miul;;769;73.19;130;514;161;9;150;7;windows
Boki;;1016;72.31;130;518;281;14;133;25;android
Phelonius;;889;72.69;130;538;163;9;156;9;steam
Tempdude;;661;73.38;130;541;132;18;107;7;android
Iucky;;1113;72.06;130;568;213;9;167;16;ios
Nadjel;;652;71.44;130;570;159;14;128;14;ios
Evrusok;;814;72.38;130;583;199;14;130;17;android
Amadri;;852;71.94;130;587;297;20;99;19;android
Lallonni;;1496;72.50;129;520;275;16;115;23;steam
Lorus;;876;71.56;129;520;276;18;104;18;ios
Athashim;;1033;72.56;129;542;207;14;122;6;android
Makunochi;;1462;71.94;129;547;293;12;137;29;steam
Korsera;;1769;72.69;128;425;140;16;113;11;android
Killer;;774;72.69;128;453;141;13;126;28;android
Tabraz;;1297;73.25;128;489;185;14;124;3;android
Louloute;;712;72.56;128;497;208;10;140;4;steam
Dohiz;;1482;72.69;128;511;254;14;132;4;steam
Duhe;;956;71.81;128;580;287;17;109;9;android
Vavi;;544;72.38;128;584;303;19;101;9;android
Omobril;;960;71.69;128;596;211;11;141;10;steam
Mikrove;;716;72.81;127;413;157;16;111;9;android
Gogosing;;653;71.75;127;475;188;14;131;28;android
Tina;;486;71.00;127;521;216;6;160;8;android
Rotega;;692;72.75;126;436;190;15;118;6;steam
Imbbong;;1547;72.63;126;441;203;10;144;6;android
Sylvanas;;1124;72.44;126;487;134;13;131;3;steam
Kasuha;;896;71.81;126;488;158;7;159;4;ios
Alaniele;;1764;73.81;126;513;112;15;118;3;steam
Ebronnen;;1093;71.00;126;513;113;19;97;6;android
Sparkyanb;;665;71.75;126;518;173;16;117;31;android
Lolkek;;1118;71.31;126;562;102;18;109;22;ios
Foxrain;;799;72.00;126;598;190;12;135;2;android
Ysuni;;1689;73.44;125;274;79;18;107;9;android
Shaitana;;504;72.00;125;408;130;6;164;4;windows
Steve;;1323;72.44;125;474;83;12;141;7;ios
Dream;;1327;72.88;125;487;154;5;180;5;android
Rangeryao;;765;72.25;125;529;269;16;126;9;steam
Haylazadam;;715;72.31;125;564;195;13;133;14;steam
Lune;;705;71.50;124;530;150;13;130;36;android
Vichi;;1474;72.25;124;598;222;24;78;28;ios
Raven;;1104;72.00;123;435;179;16;116;9;android
Onnis;;1636;72.31;123;440;229;13;136;5;android
Aria;;778;72.06;123;445;170;15;119;10;android
Drake;;1383;73.25;123;460;165;13;131;8;windows
Olithi;;1457;71.63;123;483;152;9;148;18;android
Gavok;;874;71.81;123;519;211;14;133;16;android
Koko;;1510;72.56;123;533;198;18;107;10;android
Shootylucy;;700;72.75;123;536;164;17;110;4;ios
Bichass;;501;71.38;123;576;150;9;143;10;android
Riska;;556;71.63;123;585;218;9;151;12;android
Kebi;;684;72.63;123;588;267;7;157;14;steam
Blue;;701;72.50;123;597;225;16;117;14;android
Nazeater;;972;72.25;122;446;122;16;116;17;ios
Splooge;;550;71.81;122;544;200;8;158;14;windows
Verzok;;875;73.13;122;561;83;17;111;8;android
Athetus;;1201;71.81;122;571;76;12;140;19;ios
Ithotul;;767;71.19;122;588;224;6;172;18;steam
Calamity;;984;72.13;122;590;275;12;140;29;steam
Atuz;;444;71.50;122;590;175;16;112;11;android
Thecondor;;1068;72.81;121;389;75;11;143;8;ios
Zevrun;;1305;71.50;121;393;144;12;131;4;android
Musehe;;827;72.69;121;395;123;14;134;16;android
Pewpewpew;;660;71.94;121;440;110;21;91;19;android
Bena;;612;70.81;121;467;192;14;125;14;android
Nijjang;;1449;72.81;120;192;21;19;101;5;android
Achuk;;634;72.44;120;279;71;12;134;6;steam
Vevid;;1219;72.13;120;306;107;13;136;11;ios
Valoshi;;689;72.19;120;341;90;9;154;15;steam
Diablo;;607;72.00;120;392;161;13;135;11;android
Alice;;1162;72.56;120;392;119;6;162;1;android
Maki;;774;71.56;120;438;103;16;120;5;ios
Zirge;;607;71.31;120;456;185;12;139;9;android
Vashiska;;729;70.81;120;477;207;4;176;35;steam
Bakrod;;569;72.13;120;483;142;20;95;15;android
Jigi;;768;72.06;120;485;134;13;139;24;steam
Ertita;;1279;73.13;120;489;222;17;120;5;steam
Jillerki;;637;70.81;120;501;217;12;143;0;android
Muir;;705;71.69;120;521;151;16;125;9;windows
Jenny;;957;72.50;120;543;138;15;123;1;android
Bude;;613;71.50;120;543;110;19;102;9;android
Onot;;1108;72.88;120;548;175;9;151;26;android
Orzechiz;;1012;72.81;120;566;249;13;129;6;android
Puse;;1514;71.44;120;571;197;12;137;18;ios
Szzioo;;753;72.00;120;583;157;18;107;14;android
Inrokol;;523;71.13;120;585;166;6;174;29;ios
Merkug;;892;71.44;120;593;254;10;152;12;windows
Jurge;;1034;72.56;120;594;246;14;131;3;steam
Holyzy;;1904;72.69;119;287;157;6;168;26;steam
Stomcall;;1696;73.13;119;300;69;14;119;9;android
Koragac;;1067;72.56;119;353;179;9;158;8;android
Zothos;;912;72.38;119;392;157;25;76;18;android
Xander;;1540;72.75;119;509;210;10;139;26;android
Lukate;;1135;71.94;119;530;122;12;133;1;android
Cath;;735;72.50;119;531;137;18;104;9;steam
Ellete;;854;72.50;119;536;213;9;148;16;android
Itagus;;536;72.00;119;580;188;16;117;12;android
Darklight;;1310;72.63;118;397;221;9;152;5;ios
Hero;;876;71.25;118;417;120;18;109;5;ios
Ohot;;674;72.19;118;434;118;7;162;4;steam
Shadow;;466;71.94;118;441;153;6;168;6;ios
Aira;;1340;71.63;118;444;157;19;101;0;ios
Ichekrek;;687;70.94;118;459;156;11;138;12;android
Killazi;;1098;72.13;118;470;177;13;130;9;android
Donag;;808;70.75;118;482;239;12;136;3;ios
Onoza;;687;71.25;118;485;183;13;128;10;android
Bodidi;;990;71.25;118;494;166;12;135;11;android
Chinak;;1291;72.75;118;507;245;22;87;39;windows
Mario;;941;72.81;118;532;231;18;105;5;android
Nekrus;;555;72.44;118;541;181;19;105;32;ios
Ibig;;646;71.44;118;548;214;13;127;11;amazon
