Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Ikude;;1116;73.94;138;395;188;12;136;6;steam
Blaise;;1253;72.81;134;501;245;7;159;22;android
Helios;;1647;73.56;132;330;105;9;149;13;android
Dennis;;1606;73.13;132;404;138;8;155;13;ios
Sexypoopoo;;1453;72.06;132;444;166;18;105;12;steam
Uaterser;;1348;71.13;132;522;234;21;87;6;windows
Romy;;1233;73.81;131;429;94;10;149;20;android
Inris;;1554;71.88;131;521;158;9;152;7;steam
Yaoge;;1545;71.63;130;405;174;9;155;6;ios
Zombi;;1437;71.56;130;427;168;18;111;13;steam
Zeez;;1000;72.13;129;593;219;11;139;8;ios
Silvlex;;878;72.31;128;377;189;13;130;7;steam
Juju;;1284;72.38;128;478;238;14;122;2;android
Galak;;1360;72.44;128;509;185;12;133;13;android
Byym;;1070;72.75;128;513;202;6;160;4;steam
Evrika;;670;71.75;128;563;255;15;118;2;steam
Hahahaha;;640;71.75;127;436;147;11;139;5;ios
Jsthink;;1462;72.56;126;370;107;14;121;1;steam
Jablome;;933;71.94;126;477;221;22;121;7;android
Snowfan;;1117;72.88;126;521;91;21;91;21;android
Dadi;;1509;72.31;125;348;124;12;141;7;android
Ajegol;;1427;72.25;125;405;108;16;121;5;android
Coyote;;1313;72.50;125;428;174;20;104;15;steam
Gorde;;1331;71.75;125;480;118;17;111;4;android
Sosibaton;;1184;71.94;125;486;211;13;129;45;steam
Ijetek;;495;71.13;125;489;128;15;128;16;steam
Doom;;1565;73.25;124;345;169;6;164;11;steam
Sokuri;;786;71.75;124;510;274;15;120;22;android
Rone;;612;71.50;124;532;152;3;178;3;ios
Caramba;;672;72.69;124;556;274;25;74;32;android
Nerkatha;;912;71.31;123;390;161;18;106;9;ios
Spike;;705;71.81;123;390;123;17;106;0;ios
Arun;;1624;72.50;123;395;144;12;134;9;android
Elderone;;1148;71.81;123;419;189;13;130;5;steam
Chinateng;;1531;72.81;123;495;184;13;132;9;android
Kiiix;;1398;71.94;123;510;172;14;128;8;steam
