Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Wine;;1251;72,13;120;345;95;15;118;2;windows
Drizzt;;567;72,06;101;415;49;4;167;2;android
Anamaria;;913;70,44;101;578;94;11;140;19;android
Chinaggggg;;840;72,25;100;244;94;17;116;1;ios
Chara;;613;70,81;100;273;59;12;138;6;android
Ashim;;574;71,19;100;398;58;15;120;5;android
Kohana;;325;70,44;100;400;209;25;76;4;steam
Magiwo;;772;70,81;100;503;257;19;113;11;ios
Ambar;;396;70,31;100;527;167;19;106;2;android
Ebawergodx;;417;70,69;98;554;346;14;126;0;ios
Levribe;;369;71,00;97;596;352;12;147;16;android
Litha;;340;70,75;95;366;121;12;148;18;steam
Kemerda;;653;70,44;94;453;271;11;133;0;steam
Zero;;574;69,63;93;493;212;10;144;9;steam
Serkonni;;554;70,38;92;475;242;11;136;1;ios
Osiba;;536;70,81;92;498;299;16;107;2;steam
Lena;;552;70,44;91;340;153;13;128;2;android
Papa;;427;70,81;91;432;78;12;132;5;ios
Hivashi;;211;67,44;91;582;191;12;143;17;android
Chunje;;359;69,31;90;436;111;10;147;3;android
Gora;;559;70,44;90;447;135;18;115;7;android
Login;;259;68,38;90;483;235;9;160;0;steam
Mithe;;275;71,00;90;493;192;13;139;3;ios
Joki;;539;70,38;90;501;105;18;105;3;android
Tomile;;348;70,25;89;525;181;13;130;3;steam
Kcccc;;429;69,63;88;446;320;23;84;7;ios
Maleman;;250;65,50;88;477;64;10;142;4;steam
Neze;;357;69,81;88;530;243;20;95;1;windows
Alena;;332;71,31;87;372;208;14;148;0;android
Gabig;;548;67,38;87;421;218;17;107;0;android
Ashadnos;;795;72,25;87;498;155;14;116;2;ios
Radasa;;295;69,94;86;432;189;16;126;9;android
Tohol;;329;70,13;86;575;143;8;147;0;android
Azed;;267;70,31;85;279;101;10;154;0;steam
Hochinre;;473;70,69;85;353;113;15;119;4;android
Selati;;482;70,44;85;420;235;6;172;1;ios
Alena;;505;70,19;85;511;263;7;179;6;android
Merlin;;234;70,19;85;557;219;15;133;2;android
Kishan;;213;68,56;83;416;143;15;121;3;android
Dehasi;;347;70,38;83;537;304;15;121;3;steam
Mozelle;;443;69,81;83;554;309;10;148;2;windows
Elocad;;418;71,00;82;364;130;9;161;12;ios
Greatsage;;383;70,31;82;403;213;15;130;1;android
Sake;;250;69,44;82;486;240;5;167;1;steam
Darkaz;;315;68,81;82;543;216;19;117;5;ios
Gratved;;224;70,38;82;551;216;16;124;21;android
Suna;;203;70,31;82;561;350;10;138;1;android
Hahalle;;399;69,19;82;587;247;14;139;2;android
Aerina;;219;68,13;82;599;309;14;124;0;windows
Okayu;;218;70,44;81;294;84;21;93;4;windows
Reeeest;;652;70,75;81;331;45;19;102;12;ios
Ananaz;;380;70,81;81;333;154;17;105;1;android
Imovi;;317;70,38;81;431;244;15;140;0;android
