Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Ethereal;;2103;75.25;158;516;286;0;194;0;windows
Guitarwolf;;2180;75.31;158;591;323;0;190;0;windows
Korbomb;;2130;75.31;156;470;251;1;185;0;windows
Korsasin;;2150;75.31;156;565;297;0;189;3;windows
Chinahebi;;1989;75.06;155;567;262;2;186;1;windows
Nahun;;2160;75.31;155;570;278;1;194;0;steam
Muse;;2126;74.44;153;535;276;0;185;0;windows
Newplayers;;2161;75.31;153;542;268;0;193;6;ios
Somi;;2029;74.56;152;512;257;0;189;1;steam
Vnbun;Challenger;2086;75.00;152;593;302;0;190;3;windows
Asura;;2147;75.25;151;479;234;3;173;0;windows
Rufedya;;2084;73.63;151;584;296;0;190;1;windows
Jeremy;;2113;74.38;150;531;205;0;193;0;android
Jeremysalt;;2107;74.69;150;538;232;0;196;0;android
Mikasa;;2096;74.88;150;538;203;2;188;0;steam
Drakah;;2004;73.63;150;564;12;22;82;7;android
Jare;;1981;73.69;149;559;315;0;191;1;ios
Alistin;;1968;74.38;149;576;350;0;193;1;windows
Jobby;;2084;74.13;149;578;344;0;190;10;android
Eustachy;;2019;74.06;149;596;320;0;190;1;android
Talos;;2018;73.88;148;510;274;0;195;4;windows
Lona;;2057;74.81;148;531;245;2;179;1;ios
Gonfreaks;Warlord;2029;74.31;148;536;281;0;188;2;windows
Korwa;;2026;73.81;148;536;279;0;191;3;windows
Namdinh;;2030;74.75;148;540;277;1;184;5;windows
Chica;;1982;73.75;148;546;296;0;192;3;android
Wengler;Centurion;2120;75.25;148;549;269;0;191;5;steam
Aquar;;1985;74.75;148;554;302;0;189;0;ios
Asil;;2097;74.63;148;569;303;0;187;3;windows
Marimma;;2033;74.31;148;574;269;4;171;1;android
Oooooooooo;;2042;74.44;148;576;284;5;165;5;ios
Worior;Warlord;2049;74.38;148;592;253;6;161;3;windows
Resetitem;;2060;74.25;147;511;255;1;185;2;android
Runeprob;;2076;74.69;147;535;291;0;188;6;android
Babyshark;;2063;74.56;147;538;245;3;170;0;ios
Luckyru;;1979;73.81;147;573;274;7;151;2;android
Premium;;1923;74.50;147;593;257;3;171;2;ios
Sleepers;Challenger;2019;74.50;147;597;343;4;172;3;windows
Loser;;2100;74.44;146;452;194;6;165;5;windows
Lile;;2031;73.88;146;463;235;0;192;2;ios
Nipsanhips;;2041;74.31;146;481;246;1;185;2;ios
Osalik;;1982;74.56;146;528;221;3;170;0;android
Hope;;1808;73.38;146;538;265;2;183;2;steam
Cyue;;2020;74.69;146;544;275;0;189;2;ios
Jeem;;2049;73.63;146;550;228;0;191;6;android
Mushuna;;2024;74.75;146;565;257;3;173;3;android
Slavazsu;;1926;73.44;146;569;231;0;185;2;android
Oppa;Centurion;2071;74.31;146;570;231;9;142;4;android
Dyinsoooon;;2104;75.31;146;593;245;9;140;3;android
Besodra;;1965;74.31;145;518;169;0;193;1;android
Rarde;;2066;73.75;145;544;172;9;150;0;windows
Sindessa;;2001;73.69;145;587;196;8;156;3;ios
Ojbk;;1998;74.56;145;588;245;3;183;2;steam
Chinalyx;;2093;74.56;145;595;236;11;140;2;android
Neigec;;1959;73.50;143;463;238;0;188;0;android
Korsisiro;;1865;73.94;143;494;245;0;189;0;windows
Mehanik;;1972;74.00;143;497;225;3;171;0;windows
Augus;;1980;74.06;143;536;239;6;157;4;android
Exorcist;;1959;73.94;143;561;290;2;179;11;android
Fagin;;1941;73.63;143;567;279;5;165;4;android
Ricky;;2036;74.06;143;572;232;4;167;1;android
Achiva;;2000;73.94;143;577;255;5;165;1;android
Zero;;2003;73.63;143;585;279;10;140;10;android
Zavug;;2028;74.19;143;588;283;6;164;3;android
Cola;;1952;74.31;143;598;220;7;161;0;steam
Arun;;1984;74.50;142;496;207;2;174;0;android
Cctv;;2033;73.69;142;514;222;5;166;2;steam
Hathi;;1807;73.00;142;528;191;2;183;2;android
Updatesoon;;2039;74.06;142;545;238;5;165;9;steam
Iboz;;1858;74.19;142;553;245;11;130;1;android
Dimanenok;;1832;73.38;142;591;240;9;146;1;android
Topdog;;2181;75.06;141;314;156;0;189;5;windows
Soni;;2023;74.31;141;364;146;15;113;0;android
Onel;;2042;75.00;141;381;189;7;159;1;ios
Shine;Challenger;2014;73.75;141;594;190;9;139;2;android
Kkkkkorrrr;;2006;74.50;140;360;154;0;195;1;steam
Korkong;;2036;74.13;140;430;204;7;164;0;android
Hahaha;;1951;74.38;140;444;136;7;156;4;android
Ermi;;1843;72.75;140;470;153;7;153;0;steam
Gulik;;1784;73.44;140;473;226;2;191;1;android
Evergreen;;1821;73.75;140;493;149;10;139;1;ios
Azuritefu;;1889;74.00;140;519;177;6;158;0;android
Chinauncle;;2083;74.56;139;583;348;8;169;4;windows
Wuwi;;2005;74.75;139;585;265;6;157;6;android
Tlqkf;;1935;73.25;138;390;191;5;167;2;windows
Kordalma;;2101;74.31;138;442;247;2;178;4;steam
Obiz;;2007;74.06;138;484;203;7;155;4;android
Meshol;;1909;72.75;138;534;210;4;170;6;android
Niuzhan;;1830;74.06;138;535;281;1;181;4;android
Dadit;;1927;73.94;138;538;230;7;154;1;ios
Bbap;;1868;74.38;138;551;186;15;115;8;android
Shawn;;2071;74.88;138;553;382;0;191;4;steam
Zargana;;2049;73.94;137;368;243;16;117;2;android
Xatalantax;;1986;73.44;137;450;239;13;125;4;android
Fish;;1295;73.94;137;471;196;6;155;0;ios
Okuzed;;1970;74.06;137;476;254;4;167;8;steam
Ishal;;1804;73.25;137;499;201;16;110;3;steam
Kuriiiii;;1491;73.69;137;525;158;8;145;7;android
Gohell;;1845;73.88;137;528;147;23;72;5;android
Koreeeeean;;2002;74.44;137;563;122;8;151;3;windows
Vinasky;;2013;73.31;136;365;149;5;167;3;windows
Manorock;;1073;72.75;136;400;184;8;146;0;steam
Toseelee;;1952;73.06;136;471;143;9;136;2;steam
Vore;;2029;74.88;136;482;176;7;150;2;windows
Sslowppoke;;1663;73.38;136;487;161;5;163;6;android
Bruna;;1528;73.38;136;512;83;12;127;0;ios
Kachtasya;;1731;74.00;136;583;143;9;143;5;android
Gargo;;1929;73.81;136;596;185;15;115;1;ios
Cirzut;;2010;73.81;135;409;111;22;76;1;android
Koronras;;1367;74.06;135;439;150;14;124;1;steam
Eked;;1920;74.19;135;459;129;7;158;0;ios
Asuk;;1392;73.50;135;515;113;16;109;1;windows
Ehenrin;;1613;73.25;135;563;133;5;171;3;android
Obugi;;1775;73.81;135;564;146;12;136;0;android
Brilliant;;1716;73.50;135;575;124;9;146;0;android
Spazmatron;;1907;73.50;134;388;181;8;149;1;android
Rennaweng;;1867;74.06;134;397;171;9;145;8;ios
Good;;1959;72.63;134;544;201;12;128;9;steam
Cikik;;1951;73.81;134;561;160;10;144;10;steam
Dogre;;2019;73.63;134;587;276;1;179;2;android
Iriska;;1952;72.94;133;437;141;15;114;5;steam
Bomi;;1695;72.63;133;437;150;15;113;3;android
Vithe;;1829;72.75;133;481;220;19;103;7;android
Romit;;1854;73.69;133;483;179;13;126;7;steam
Bahit;;1748;73.50;133;503;319;19;98;0;ios
Vindomire;;1857;74.38;133;507;157;5;163;2;android
Devurde;;1940;74.19;133;508;270;19;93;4;android
Mutok;;1709;73.25;133;512;214;6;159;0;android
Baelong;;1868;72.88;133;513;160;14;123;8;steam
Ercuva;;1854;74.13;133;514;187;6;157;6;android
Chinaz;;1989;74.75;133;532;183;7;159;3;android
Sylph;;1568;74.38;133;543;249;14;120;4;android
Nala;Challenger;776;72.63;133;550;269;11;143;0;android
Limoje;;1591;73.00;133;551;204;14;123;5;android
Dolores;;1629;73.75;133;573;271;13;122;2;ios
Ukrainer;;1992;72.88;133;580;216;11;139;5;android
Mrrr;;1950;73.19;133;585;234;10;138;5;android
Skeeter;;1918;74.25;133;587;288;14;120;1;windows
Soblazn;;1958;73.63;132;376;113;9;142;3;steam
Aneji;;1875;74.06;132;386;71;8;153;1;ios
Ragnar;;867;73.69;132;511;192;7;152;4;android
Ifrerzi;;1357;73.13;132;524;332;16;118;2;steam
Roli;;1771;73.25;132;533;170;9;141;5;steam
Astra;;1647;73.56;132;555;180;15;113;5;android
Onik;;2092;73.81;131;365;116;15;116;3;android
Kajon;;1932;73.31;131;365;177;11;132;0;windows
Mindolgun;;1816;73.13;131;384;234;12;130;2;steam
Moon;;1884;72.56;131;415;191;15;112;0;windows
Kairayn;;935;72.81;131;420;182;8;151;5;ios
Arise;;1546;73.69;131;453;160;14;119;5;android
Fraqtael;;1933;73.94;131;457;156;13;124;1;android
Lasting;;1694;73.50;131;481;237;7;151;1;ios
Javrorta;;1127;73.25;131;515;271;13;133;3;windows
Rore;;1975;73.81;131;528;204;7;149;1;steam
Heavyfoot;Challenger;1763;73.38;131;548;121;13;128;15;steam
Diablo;;1184;72.81;131;551;182;6;159;5;android
Annegan;;809;73.00;131;561;315;3;170;1;android
Kavre;;1606;73.00;131;569;208;6;161;11;android
Mashmash;;1936;73.56;131;575;202;23;72;0;android
Corben;Challenger;1077;73.31;131;591;177;13;122;2;android
Koron;;1285;73.81;131;591;259;11;133;5;windows
Irina;;1283;74.25;130;285;111;13;127;0;windows
Korerinoz;;1575;73.06;130;286;117;18;101;0;android
Donnesk;;1716;72.63;130;287;141;3;181;0;android
Ambeckett;;1896;72.44;130;299;107;14;119;0;android
Imok;;2018;74.13;130;304;112;8;150;0;android
Lulu;;1730;73.00;130;307;74;10;140;0;ios
Artakus;;1649;73.06;130;346;104;6;162;2;windows
Zortaz;;2002;72.75;130;348;102;13;129;1;steam
Ambeckett;;1924;72.13;130;350;92;9;145;0;android
Bahi;;1785;72.75;130;354;132;8;150;1;android
Adenia;;1247;72.75;130;358;104;16;113;0;android
Like;;1963;73.81;130;364;94;11;134;1;android
Dlogdrah;;2002;74.31;130;366;135;6;165;0;ios
Shinjuku;;1764;72.44;130;377;94;7;158;0;ios
Irim;;1997;73.25;130;377;156;10;145;3;android
Ehfehf;;783;72.31;130;401;146;15;130;1;android
Jorca;;1846;73.31;130;401;62;15;113;2;android
Shako;;1383;73.13;130;410;140;9;146;0;steam
Pragvn;;1769;73.38;130;411;146;9;152;2;android
Athena;;1823;73.50;130;423;145;7;154;0;android
Veda;;980;72.88;130;426;159;13;128;0;android
Suyak;;1589;72.56;130;432;93;11;139;5;windows
Soya;;1868;73.44;130;438;150;3;176;0;android
Erkoteg;;1798;73.50;130;442;152;7;162;0;android
Gauevtwo;;940;72.38;130;461;117;8;157;10;android
Cohan;;1739;72.81;130;466;95;9;147;0;android
Alik;;1893;74.25;130;468;143;17;115;0;android
Kovar;;1512;73.00;130;487;190;25;71;1;android
Ercedros;;1914;73.75;130;507;143;13;127;0;android
Lucia;;855;71.94;130;536;146;14;127;5;steam
Kasherr;;1776;73.25;130;553;183;6;165;12;android
Visi;;1377;73.25;130;554;129;16;117;11;android
