Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Luce;;1373;72.63;130;379;125;13;132;8;steam
Aburog;;1244;73.00;130;434;132;10;146;1;android
Bigbigbi;;790;72.63;130;494;157;6;161;2;windows
Pumpeknoch;;669;72.50;128;567;248;17;98;3;steam
Warrior;;1064;72.00;126;492;286;6;160;4;steam
Merlin;;1155;71.56;126;562;182;13;122;2;android
Murga;;1166;72.56;125;291;76;10;145;8;android
Iril;;1807;73.00;123;439;181;12;133;5;android
Idonran;;1039;72.56;123;460;199;8;145;4;steam
Nika;;988;74.56;123;552;319;4;169;3;steam
Acigat;;1097;72.13;122;436;185;14;119;3;android
Lingking;;1401;71.81;122;486;317;19;112;6;android
Arthur;;1023;72.31;122;503;252;9;151;3;steam
Ajeceg;;594;72.00;122;543;210;12;126;4;steam
Mafiozka;;1438;71.94;122;561;290;11;147;3;android
Zeratul;;813;72.25;121;416;210;6;160;0;ios
Gurcushi;;1976;73.38;120;277;35;10;145;15;android
Kkrit;;1536;72.25;120;310;85;6;164;0;steam
Ecuvruz;;913;72.63;120;315;83;18;110;1;android
Beka;;1822;72.19;120;338;160;17;112;2;android
Tatyana;;1086;72.44;120;388;113;10;141;1;android
Bayraktar;;1170;73.31;120;404;42;10;141;1;android
Daenyrus;;1360;72.69;120;413;125;21;95;1;android
Beha;;1400;72.25;120;414;140;14;124;0;ios
Pepsi;;899;71.56;120;416;120;13;122;3;steam
Oleg;;939;71.75;120;432;183;12;158;0;steam
Suncoaster;;600;71.88;120;458;92;12;132;3;ios
Aman;;884;70.81;120;467;95;12;129;0;android
Ogrid;;1426;75.25;120;486;197;15;117;0;android
Jdihd;;1081;71.81;120;505;97;9;147;13;steam
Mari;;1544;71.81;120;513;184;12;157;8;android
Zerg;;518;71.38;120;576;176;12;136;4;android
Korii;;2071;74.50;119;60;12;17;111;0;steam
Kssss;;1873;74.50;119;91;36;18;111;2;steam
Kokain;;1669;73.38;119;97;35;16;114;0;android
Ellacil;;1975;73.69;119;97;33;18;107;1;windows
Shotoresha;;1983;74.06;119;107;29;13;130;0;steam
Geons;;1946;73.31;119;109;24;6;163;3;steam
Chinaone;;1536;73.94;119;116;43;12;132;0;steam
Sargos;;1665;73.19;119;139;36;20;95;0;steam
Omat;;2035;73.31;119;148;36;17;104;1;android
Xena;;1280;72.69;119;150;56;17;109;2;windows
Chinayyy;;1902;74.13;119;188;50;5;167;1;android
Gold;;1889;73.31;119;194;102;13;128;2;android
Queen;;1898;73.88;119;268;72;3;174;3;android
Ilechi;;1076;73.00;119;580;340;11;132;7;android
Murderbot;;1409;72.38;118;377;201;7;161;4;ios
Emuna;;956;71.56;118;445;192;11;144;0;android
Nijhhhaaz;;829;71.69;118;448;207;13;130;3;steam
Rurdoda;;1357;72.25;118;466;132;10;139;13;android
Dirata;;503;72.06;118;512;282;11;136;1;android
Jihyo;;1225;71.69;118;521;279;11;132;0;steam
Dirk;;1103;73.19;118;566;221;15;120;1;android
Kuon;;488;72.44;117;514;252;17;125;0;android
Catinus;;896;71.56;117;537;220;11;144;2;android
Diveg;;1331;72.50;117;563;339;16;110;4;android
Tuzorza;;1477;72.81;116;256;85;14;123;2;steam
Anbtwo;;1127;71.88;116;325;157;5;166;3;ios
Grey;;1097;72.69;116;407;100;15;117;2;android
Ceci;;769;71.50;116;434;239;15;116;3;android
Soom;;1641;71.81;116;447;93;20;116;22;android
Mckee;;546;71.69;116;475;212;11;140;2;ios
Irgirzid;;566;71.19;116;516;217;15;113;5;android
Tehed;;1249;71.38;116;532;196;11;144;5;android
Pippi;;1937;72.94;116;543;306;18;123;17;android
Pivoslava;;1246;71.63;116;583;236;10;134;7;android
Cajugra;;752;71.75;116;590;150;18;102;0;android
Kuri;;1086;71.13;115;234;103;17;115;1;ios
Vaci;;1396;72.31;115;251;69;18;106;2;android
Koreaomega;;1492;72.31;115;256;57;19;96;1;steam
Anigri;;744;72.25;115;307;170;7;165;0;android
Superbeast;;927;71.69;115;309;74;16;112;0;steam
Brady;;1310;73.06;115;310;95;7;163;0;android
Sammy;;784;71.88;115;326;91;16;115;0;steam
Okame;;1340;72.25;115;363;86;15;120;3;android
Asat;;711;72.38;115;386;106;12;132;0;ios
Barta;;746;70.88;115;387;107;15;121;4;android
Detak;;677;72.88;115;427;125;14;123;1;android
Osolla;;909;71.38;115;429;98;17;105;4;android
Kahud;;711;72.00;115;514;199;4;179;0;android
Lifrigi;;644;70.94;114;337;108;9;146;2;android
Nicho;;902;72.00;114;485;162;25;87;0;steam
Fartyjesus;;650;71.69;114;548;248;4;186;3;android
Kepka;;1257;72.25;113;498;151;15;123;1;android
Trinity;;976;71.50;113;517;251;17;102;1;steam
Ecokra;;469;71.19;113;531;236;14;131;5;ios
Chochino;;830;72.06;113;580;327;12;129;2;android
Sandstormm;;636;70.81;113;595;187;17;101;7;steam
Daga;;1251;71.81;112;357;152;15;123;3;android
Berserker;;1346;72.25;112;472;171;10;140;3;android
Smooper;;313;71.00;112;492;159;17;109;1;android
Vujek;;636;71.81;112;500;207;7;151;5;android
Volt;;734;71.13;112;513;200;17;110;7;android
Aneubegino;;560;71.63;112;543;212;21;75;1;android
Liger;;481;72.06;112;558;273;10;138;8;android
Geralt;;528;71.56;112;560;311;15;130;5;ios
Magik;;954;74.19;112;566;137;12;133;2;android
Cuge;;607;72.06;112;570;178;17;118;25;android
Jorke;;503;72.56;111;408;160;9;141;1;android
Zaken;;372;71.00;111;416;192;7;156;0;android
Vuvred;;588;71.88;111;437;164;11;131;3;ios
Kuvom;;673;70.69;111;501;202;16;109;1;steam
Lana;;673;71.25;111;502;196;5;165;3;amazon
Bonne;;659;70.94;111;548;155;2;182;2;android
Gundir;;942;70.44;111;550;316;9;150;13;steam
Cunnerk;;713;71.13;111;570;188;13;127;5;android
Deshreg;;1074;71.63;111;578;144;15;125;1;amazon
Zori;;734;72.69;110;191;49;14;126;3;android
Byebye;;1467;72.25;110;206;48;15;126;5;android
Korluthe;;820;71.25;110;208;50;15;118;2;android
Rish;;1594;72.88;110;231;63;5;173;0;ios
Dtot;;906;71.06;110;243;81;8;159;0;steam
Khool;;1214;72.31;110;283;48;16;107;3;android
Lada;;616;71.25;110;308;70;14;126;2;android
Hurtez;;695;72.19;110;309;57;21;97;1;windows
Korma;;1240;72.50;110;312;90;9;151;8;steam
Taiwan;;991;71.13;110;323;84;14;117;2;steam
Cetreslia;;1311;71.69;110;334;84;9;151;1;android
Loki;;549;70.94;110;343;66;6;161;0;ios
Zugrufre;;739;71.25;110;359;96;5;161;2;android
Dijenri;;523;71.63;110;361;125;20;89;1;android
Rockstarx;;505;70.75;110;364;111;7;155;0;steam
Hudi;;448;70.75;110;371;137;11;144;3;ios
Odertem;;701;70.56;110;377;79;19;102;7;android
Kebi;;514;72.81;110;382;102;14;118;0;ios
Othan;;910;70.81;110;389;127;17;108;0;android
Pigg;;606;71.94;110;390;203;16;134;0;steam
Sharoon;;555;71.19;110;399;93;13;130;0;android
Lerum;;450;71.25;110;430;111;11;131;0;steam
Khuna;;881;71.88;110;430;41;6;166;30;steam
Soda;;735;71.31;110;447;104;10;147;3;android
Zode;;854;71.69;110;451;121;13;134;14;android
Ehifri;;689;70.88;110;453;89;17;110;0;android
Ovarzi;;740;72.00;110;465;96;15;123;1;android
Silveranb;;553;71.31;110;469;192;2;187;0;android
Milena;;1036;71.81;110;484;121;20;96;4;android
