Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Wohuo;;1954;73.50;115;69;20;16;117;0;ios
Johanna;;1406;71.19;115;308;127;15;126;8;steam
Runes;;1702;73.31;114;468;235;23;106;10;android
Scroopain;;447;71.69;110;382;153;7;184;5;ios
Duthot;;1105;71.50;110;532;165;12;136;12;android
Thearrow;;1013;72.44;107;458;214;14;128;22;android
Vikarotam;;411;70.31;100;439;130;18;103;1;android
Ruiska;;290;70.50;98;429;270;21;97;1;steam
Cheshi;;390;71.94;96;323;174;18;107;1;ios
Rimuru;;685;72.06;95;455;240;9;159;7;android
Avodnas;;382;69.75;93;417;120;17;108;7;steam
Tekriri;;310;69.69;88;555;377;19;107;1;steam
Subri;;609;71.13;87;361;191;22;78;2;android
Amiza;;512;71.25;85;438;91;13;141;4;steam
Fulwar;;182;69.81;85;490;267;21;100;13;android
Cenrat;;275;70.44;84;478;168;19;97;4;ios
Chris;;466;70.44;83;413;85;17;117;2;android
Ebun;;340;70.50;82;440;166;16;123;22;steam
Miriely;;275;70.75;81;490;273;9;148;1;steam
Kristall;;404;70.50;81;521;221;15;122;3;android
Nancy;;205;70.69;81;572;365;9;148;0;android
Iriha;;515;70.50;80;286;148;12;144;0;ios
Verstoo;;329;70.69;80;385;179;15;127;0;android
Darian;;249;70.31;80;447;179;13;134;11;android
Donzom;;570;71.19;79;77;14;16;114;0;android
Mati;;410;69.25;79;175;72;9;153;1;android
Riri;;410;70.38;79;446;149;11;140;14;ios
Zasi;;264;70.31;79;495;326;8;153;4;ios
Bodni;;182;69.63;78;570;317;3;183;4;android
Mustafa;;214;70.44;78;584;338;15;117;1;android
Bole;;177;67.13;77;477;238;17;120;0;android
Luna;;162;67.00;77;580;308;16;127;9;android
Xfgghh;;193;68.75;76;365;185;16;120;4;android
Hell;;372;61.38;75;227;142;6;171;0;ios
Enrel;;398;68.63;75;419;147;15;121;0;ios
Odnadna;;255;66.50;75;506;242;16;121;0;android
Zekura;;213;68.63;73;363;85;8;156;1;android
Kishez;;396;65.56;72;461;262;12;128;0;android
Tigerinnn;;217;70.25;72;466;270;18;97;8;android
Antartes;;285;69.63;72;471;212;24;73;0;ios
Odnit;;392;70.63;72;479;281;21;98;2;android
Zare;;207;69.31;71;550;331;18;109;5;android
Marek;;455;70.44;71;572;206;22;79;5;android
Ejerze;;172;69.75;70;259;112;16;123;4;android
Ishoron;;234;70.31;70;381;164;12;161;0;android
Momo;;155;69.81;70;509;340;18;115;7;android
Feuros;;252;68.94;69;331;111;3;176;0;android
Spluch;;197;66.69;69;391;125;16;143;7;android
Desuka;;172;67.63;69;478;212;12;147;3;android
Derbush;;189;66.75;69;498;239;13;133;19;android
Kelle;;412;70.69;68;417;201;17;114;3;android
Ushiki;;225;70.31;68;440;115;13;127;0;android
Heavenly;;256;70.63;68;508;173;16;117;0;android
Xxxxx;;155;67.31;68;561;346;12;141;5;android
Anrotik;;144;67.63;67;333;112;16;113;1;android
Nirvana;;326;70.69;67;368;157;18;112;2;android
Gandalf;;365;68.38;67;382;143;19;109;5;ios
Rukas;;232;70.00;67;468;328;14;129;8;ios
Ananris;;317;70.50;67;533;234;12;166;1;android
Ganna;;177;68.25;66;415;85;12;131;2;android
Kage;;140;70.50;66;499;205;7;151;0;android
Imava;;194;70.13;66;508;171;14;132;11;android
Segom;;244;66.63;66;520;246;8;149;4;android
Devi;;110;68.31;65;250;38;21;99;1;android
Inon;;173;64.50;65;377;178;20;108;2;android
Duras;;194;68.00;65;390;120;11;142;3;android
Galadriel;;244;65.75;65;447;111;22;93;21;android
Dari;;252;67.75;65;460;143;7;170;3;android
Vishevra;;157;65.56;65;532;203;17;125;1;android
Xfilx;;181;61.88;64;409;157;13;137;0;android
Nidnija;;143;65.13;64;410;192;13;132;10;steam
Fqass;;142;67.50;64;438;261;11;139;13;ios
Aexy;;194;69.06;64;454;91;15;121;2;android
Ogusha;;329;68.25;64;547;241;13;139;3;android
Orcel;;105;64.19;62;318;58;20;119;2;steam
Inregal;;96;66.31;62;344;143;13;130;3;windows
Allatha;;166;67.44;62;351;113;9;161;0;windows
Lisez;;90;69.25;62;474;151;22;102;3;android
Irak;;166;70.19;62;492;229;16;136;3;ios
Esagrom;;149;67.63;62;537;213;19;118;1;android
Ddddd;;218;64.00;61;297;113;19;133;2;ios
Kosha;;137;66.88;61;311;69;6;168;1;android
Artine;;215;59.13;61;441;128;15;123;10;android
Folling;;294;70.19;61;487;198;9;150;4;android
Onel;;141;67.81;61;566;253;15;142;9;android
Ozar;;130;69.31;60;258;106;12;137;1;android
Selenita;;118;66.19;60;302;99;21;94;3;windows
Imona;;188;69.44;60;311;62;14;124;0;android
Asechi;;196;70.00;60;321;155;8;165;0;android
Jarda;;225;63.94;60;341;141;9;157;0;android
Zace;;153;68.31;60;350;135;15;130;2;windows
Shadowfyre;;281;55.13;60;356;118;8;158;2;android
Niza;;118;61.19;60;361;180;12;138;0;windows
Bysya;;184;64.69;60;365;60;14;127;6;android
Ofrika;;233;66.81;60;397;129;15;125;0;steam
Irkit;;112;64.56;60;405;95;15;127;0;android
Heki;;233;65.44;60;405;135;20;104;2;android
Kivi;;300;67.94;60;513;194;18;121;5;android
Logulla;;284;66.38;60;538;145;12;143;9;android
Miba;;125;70.81;59;218;45;9;147;0;android
Anavra;;175;64.63;59;399;31;9;147;1;ios
Eventzed;;189;63.94;59;443;192;24;90;1;android
Idkdjx;;171;61.88;59;486;289;11;138;4;android
Cathini;;171;62.94;58;296;112;16;153;1;windows
Rujon;;134;60.38;58;354;130;11;143;3;android
Nyquel;;146;67.81;58;457;193;7;164;1;steam
Godra;;186;64.63;58;490;235;14;120;3;android
Krio;;164;68.00;58;508;271;8;152;5;android
Ishok;;176;64.88;57;272;96;16;121;0;steam
Ciri;;161;64.19;57;362;61;20;95;0;android
Vikruki;;216;69.50;57;370;195;3;179;0;android
Nevul;;156;70.19;57;372;113;13;134;2;android
Adivrom;;145;61.38;57;373;107;24;77;5;android
Serj;;290;69.94;57;401;169;15;117;3;android
Vivok;;145;65.38;57;409;128;8;167;2;ios
Sudzuky;;152;67.00;57;418;115;20;92;0;android
