Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Igrera;;1514;73.88;148;372;32;32;33;5;ios
Bbongtwo;;2017;73.19;148;415;242;0;192;0;windows
Take;;1812;72.56;135;459;145;0;192;0;android
Jirime;;1821;73.31;133;448;242;6;163;0;android
Amidel;;1763;72.94;132;463;119;8;148;3;steam
Otiri;;1774;73.00;132;468;281;8;151;2;steam
Takeo;;1584;72.94;130;461;91;19;105;18;android
Nukarca;;1838;73.69;127;401;146;13;127;3;android
Hasz;;953;72.56;126;513;195;9;141;4;android
Oliviana;;965;73.19;125;368;175;15;128;1;steam
Cell;;1190;72.69;125;464;142;16;112;2;android
Monk;;1284;72.44;123;378;144;8;146;3;android
Ahihi;;1648;71.94;123;524;211;15;118;9;steam
Lavie;;635;72.44;122;517;319;11;138;8;windows
Dartr;;1292;73.06;122;597;221;17;110;17;android
Koks;;920;71.88;121;365;115;15;118;4;android
Yarvsa;;1159;70.75;121;428;206;9;146;4;steam
Zondjin;;643;70.75;121;547;262;12;129;4;steam
Hoya;;1093;72.31;120;294;83;10;152;0;android
Lodik;;898;71.88;120;362;58;6;163;2;ios
Verel;;2052;73.75;119;47;16;23;97;0;steam
Korb;;2020;74.44;119;57;20;15;121;1;steam
Euthagi;;2037;74.56;119;58;14;17;113;0;windows
Korchosim;;1943;73.13;119;74;18;19;101;0;steam
Tensa;;1948;73.44;119;85;17;15;123;0;android
Lagre;;1871;72.44;119;92;44;16;121;1;android
Diablo;;1967;74.00;119;110;18;16;116;0;android
Apple;;1186;72.81;119;113;33;16;116;2;steam
Agin;;1925;73.13;119;114;19;4;173;0;windows
Edigre;;1777;73.69;119;114;42;7;158;2;android
Cathe;;1468;72.75;119;114;45;23;79;0;android
Korespa;;1543;73.13;119;136;34;10;149;0;android
Msbeen;;1621;72.50;119;215;123;17;109;4;android
Jill;;1818;72.88;119;244;94;21;96;2;steam
Korjay;;1138;72.88;119;296;92;6;161;1;android
