Chinawz,,1757,1339438,0
Chinablue,,1742,1339418,1
Koreayman,,1468,1339401,1
Chinamogu,,1511,1319530,2
Corrupt,,1505,1319433,1
Deuterium,,1492,1279468,1
Usafarlina,,1406,1269455,2
Catalin,,1301,1269436,1
Bangzisb,,1108,1269418,4
Clotho,,1257,1259488,1
Chinawpyhs,,1420,1239520,1
Koreakong,,1507,1239440,0
Rinoa,,1294,1229521,0
Ukraine,,1146,1229449,3
Ruwind,,1427,1229416,5
Phuqnose,,1247,1219596,4
Figadoro,,1229,1219488,2
Chinaaktwo,,1439,1219470,2
Trouble,,919,1219464,4
Seba,,1308,1219423,0
Ruhyhy,,1372,1219409,7
Illit,,1220,1219403,1
Chinabiu,,1282,1209528,0
Koreacami,,1032,1209499,3
Balderk,,1156,1209498,0
Bigegg,,1269,1199576,6
Koreagirl,,848,1199468,0
Rina,,952,1189483,2
Chinahaha,,1056,1189461,1
Ogebi,,1284,1189457,1
Solembum,,1085,1189450,3
Jinnie,,1103,1189445,5
Ebada,,943,1189411,0
Umbradei,,1110,1189409,7
Tawaba,,1275,1179601,2
Chinaboy,,1203,1179531,1
Zulivarus,,1259,1179492,8
Bounty,,963,1179465,2
Rogue,,1057,1179441,4
Korealll,,1116,1169517,0
Beerhunter,,1008,1169501,0
Ooooooooo,,963,1169481,3
Wutwut,,849,1169464,3
Hakrim,,988,1169463,1
Ashenna,,1000,1169445,2
Rukirrr,,922,1169416,1
Katapiola,,1026,1169409,2
Koreababy,,918,1159544,1
Isiz,,1253,1159485,3
Unknown,,1157,1159435,1
Koreamir,,1072,1149566,1
Ladrian,,944,1149505,6
Noob,,1000,1149484,4
Eretuz,,1066,1149452,5
Chan,,728,1149425,7
Ihome,,988,1149424,5
Koreazone,,1185,1149411,8
Muri,,1146,1139586,1
Sini,,1109,1139548,3
Asegog,,1113,1139517,2
Chinaym,,1092,1139514,4
Damaged,,1164,1139506,1
Borke,,993,1139488,6
Selene,,870,1139476,13
Chinabanye,,1092,1139458,0
Deadshot,,1145,1139444,8
Toffi,,890,1139429,2
Chinabanye,,1036,1139427,0
Koreaclear,,1001,1139412,1
Koreadenny,,1064,1139411,5
Maje,,1046,1129520,0
Hkseal,,985,1129479,1
Koreaming,,941,1129466,5
Adod,,917,1129459,1
Domino,,666,1129455,4
Nipsanhips,,924,1129441,2
Beiyi,,1104,1129440,3
Nightflare,,1148,1129438,2
Jadnokri,,932,1129429,7
Tenbird,,728,1129424,2
Ruyurate,,755,1129412,2
Coco,,1054,1129405,5
Huawei,,1045,1119551,3
Good,,935,1119539,1
Simon,,875,1119513,1
Hello,,935,1119506,3
Ares,,1104,1119489,2
Delphy,,1053,1119489,2
Rualex,,1005,1119484,2
Avade,,923,1119475,2
Nilette,,1022,1119474,1
Deci,,1119,1119469,2
Koreahevre,,817,1119451,2
Elise,,719,1119418,13
Amicia,,582,1119413,2
Tgmken,,963,1109644,2
Lovewymfyy,,1037,1109631,3
Aaha,,948,1109592,1
Moka,,668,1109486,4
Diee,,671,1109472,3
Lovelulu,,1069,1099517,0
Sryu,,633,1099483,1
Serkane,,812,1099471,2
Moopee,,727,1099468,2
Lodinni,,961,1099467,6
Snow,,794,1099459,4
Titties,,874,1099449,1
Koreamiaka,,791,1099432,4
Ruhold,,708,1099429,3
Koreassss,,942,1099415,5
Google,,944,1099407,5
Pistoleira,,1049,1099401,1
Koreagura,,776,1089585,3
Bonovent,,900,1089536,1
Koreanbin,,812,1089526,2
Nosgoth,,732,1089517,4
