Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Korwinter;;2145;74.88;160;542;332;5;185;0;windows
Korddol;;2097;74.94;159;562;337;5;170;0;windows
Gosoyoung;;2076;75.13;156;478;293;9;153;0;windows
Korteng;;2057;74.75;154;548;338;4;177;0;android
Korxxxxx;;1524;73.56;152;510;251;9;151;1;windows
Alistin;Warlord;1907;74.50;152;595;297;6;164;2;windows
Babyjewel;;2003;74.25;151;509;253;5;172;1;windows
Opss;;1970;74.38;151;517;230;5;171;3;windows
Kormansaok;;1940;74.00;151;528;333;10;140;6;ios
Mkmwja;;2001;73.94;150;522;292;6;179;0;windows
Runoob;;1992;74.75;150;576;263;5;183;3;windows
Marialupa;Warlord;1973;74.75;150;584;298;10;154;2;ios
Roblox;;1893;73.88;149;544;429;12;137;7;android
Cichoz;;1965;73.69;148;561;321;5;171;0;windows
Michys;;1879;73.81;145;567;294;10;148;3;android
Odesa;;1794;73.50;144;532;268;12;129;2;android
Sashtet;;1940;73.50;144;538;282;5;172;1;steam
Gelki;;2043;74.44;144;539;399;18;107;11;windows
Skade;Warlord;1902;74.19;143;487;354;8;157;4;android
Wispydfa;;2001;72.94;143;503;278;6;166;1;windows
Anya;;1935;74.19;143;534;209;8;147;6;android
Immolation;;1937;74.31;142;534;359;4;177;8;steam
Tipsy;;1963;74.19;142;578;211;10;145;1;ios
Anba;;1176;72.75;141;436;246;2;190;1;windows
Ruebenczal;Centurion;1992;73.94;141;515;91;11;134;2;android
Catson;Centurion;1983;73.94;141;564;224;7;157;4;android
Hava;;1826;73.38;141;571;344;8;151;3;android
Vadnug;;1886;73.69;141;594;220;12;135;4;android
Efitch;;1953;73.88;140;475;234;8;161;1;steam
Itun;;1914;74.00;140;561;190;9;155;6;android
Abaz;;1915;74.38;138;445;237;11;140;3;windows
Edimal;;1213;73.38;138;568;213;10;142;0;android
Jibra;;1896;74.13;136;427;90;16;113;2;android
Fiona;;1912;73.81;135;420;127;15;120;0;android
Oshat;;1705;73.06;134;410;243;14;127;0;steam
Alfina;;1753;73.44;134;503;173;12;145;16;android
Dodo;;1809;73.31;134;509;206;6;159;0;ios
Albruna;;1540;73.19;134;568;256;16;107;3;ios
Lumi;;1639;72.75;134;581;220;17;108;3;android
Asshole;;1971;73.31;133;334;192;15;122;2;windows
Kontessa;;1885;74.38;133;555;303;13;128;12;android
Wahaha;;1437;73.00;133;555;229;15;116;3;android
Yaga;;1280;73.50;133;559;183;17;109;5;ios
Nudnam;;1446;72.69;133;580;290;12;137;0;windows
Silvermage;;1425;72.38;131;367;138;19;98;0;ios
Fckptn;;1637;72.44;131;390;115;12;130;0;android
Onokril;;1352;72.94;131;452;226;19;96;1;android
Osethi;;1660;73.44;131;465;133;12;130;0;android
Isoso;;1771;73.50;131;508;247;12;133;2;ios
Thorson;;1408;74.19;131;527;147;15;129;7;android
Sijoz;;1950;73.69;131;539;192;17;107;7;android
Adulatrice;;1612;73.38;131;546;274;19;99;4;windows
Nuzum;;1599;74.38;131;548;201;17;113;9;android
Elluhak;;1383;72.88;130;443;152;13;134;0;windows
Zanzia;;1424;73.50;130;466;164;14;121;2;ios
Orkiit;;1038;72.25;129;448;221;10;138;12;android
Zameja;;1741;72.81;129;464;153;12;138;6;android
Tangoddess;;1768;72.88;129;591;335;20;96;14;android
Bodne;;1427;73.25;128;511;205;14;124;2;ios
Eventmax;;1422;73.06;128;520;226;9;150;4;windows
Soulina;;1819;73.31;128;522;347;13;129;0;android
Irgahe;Centurion;556;73.38;128;547;353;24;79;0;windows
Niyuu;;1750;73.13;128;566;187;17;108;8;android
Angourie;;1795;73.38;127;422;213;18;105;7;android
Hivege;;1432;73.31;127;573;320;14;124;30;ios
Seven;;1877;72.50;127;591;438;12;133;5;android
Calypso;;1835;73.06;126;413;152;17;114;8;android
Tivre;;1321;72.56;126;564;210;8;146;0;android
Vamuce;;1340;72.56;125;359;128;15;124;8;ios
Crysania;;971;72.25;125;369;148;15;126;7;steam
Sufri;;1222;72.56;124;549;244;14;119;1;ios
Adras;;717;72.56;124;564;225;13;122;6;android
Fitze;;1557;73.19;123;353;158;8;156;4;steam
Lidil;;1395;72.63;123;387;240;13;135;2;android
Doldol;;573;72.00;123;426;242;16;114;0;android
Anubia;;1292;73.25;123;447;184;14;121;1;ios
Tina;;711;72.31;123;509;241;7;156;2;ios
Morning;;1583;73.25;123;509;223;13;132;2;ios
Franz;;1159;72.13;123;568;271;10;139;0;android
Aelin;;1416;73.00;123;581;222;16;111;0;android
Okirzi;;1407;73.81;123;595;196;18;107;10;windows
