Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Korwinter;;2174;75.00;161;541;317;4;178;0;windows
Anba;Champion;2104;74.56;160;575;374;3;198;1;windows
Korwizard;;2190;75.50;159;515;352;4;175;0;windows
Koriiiii;;2045;74.88;159;529;310;5;170;1;windows
Korxxxxx;Champion;2031;74.56;158;447;254;8;156;0;windows
Korteng;;2141;75.13;158;585;348;7;162;0;android
Kinnu;"War Hero";2002;74.69;156;567;409;7;158;5;windows
Efich;;2101;74.63;154;599;458;6;163;11;steam
Macncheese;;1957;73.69;152;556;436;12;135;5;android
Kormansaok;;1996;73.63;151;575;347;9;149;6;ios
Sssss;;2031;74.31;150;561;219;12;145;1;windows
Itchyhands;;1945;73.81;147;593;297;11;137;1;android
Dualwisp;;2062;73.44;146;434;221;10;152;0;windows
Michyb;;1922;74.13;146;488;322;8;155;4;android
Itchyboots;;1954;73.63;143;509;250;7;157;1;android
Brozander;;1914;73.81;143;590;273;18;99;1;ios
Nivre;;1960;73.19;143;597;301;17;111;3;steam
Angel;;1843;73.06;142;455;207;11;142;0;windows
Jeremy;;2040;74.13;142;588;279;10;145;0;android
Marialupa;;1946;74.31;141;580;276;9;143;0;ios
Ruskakun;;2086;73.88;140;342;155;11;146;0;steam
Korsibong;;1846;73.94;140;587;304;8;162;6;ios
Revival;;1994;74.31;139;277;139;10;147;0;steam
Azithon;;1931;73.69;139;404;144;11;143;0;android
Anya;;1992;73.69;139;440;338;7;160;4;android
Ijag;;2002;74.13;139;453;146;22;85;2;android
Toge;;1918;72.88;139;475;235;3;172;0;steam
Gargosa;;1958;74.38;139;541;341;12;133;9;android
Tomato;;1914;73.75;138;510;222;10;144;3;windows
Kuna;;2003;74.94;138;549;187;8;154;3;android
Renegat;;1970;73.50;137;351;122;9;151;1;android
Lausianb;;2025;73.06;136;383;107;6;160;0;android
Jinni;Centurion;1496;73.63;136;482;228;9;148;0;android
Mija;;1957;73.50;136;498;170;7;163;3;android
Zariannas;;1968;74.13;136;523;235;16;112;2;ios
Triss;;1900;73.06;135;485;243;6;169;5;steam
Aelin;;1798;73.00;135;490;146;6;172;1;android
Ruxmy;;1960;72.44;135;542;219;12;143;2;ios
Arzale;;1454;73.75;135;561;217;11;149;19;ios
Catchy;Centurion;1913;73.00;134;325;137;6;164;5;android
Oshart;;1731;72.88;134;369;162;9;153;2;steam
Kontessa;;1971;74.38;133;335;172;2;183;1;android
Korean;;2010;74.38;133;398;196;16;112;0;android
Juicy;;2004;73.75;133;468;187;11;141;7;android
Isoso;;1910;73.56;133;484;242;18;106;2;ios
Argod;;1846;73.88;132;513;197;8;150;0;android
Orkiit;;1571;73.69;132;578;332;13;129;19;android
Ikotheg;;2003;73.81;131;396;174;10;144;1;android
Sula;;1500;73.63;131;561;110;18;103;1;steam
Chung;;1826;72.88;131;571;358;12;136;2;ios
Jaga;;1319;73.69;131;575;324;12;137;3;ios
Atema;;1264;72.31;131;581;222;15;114;0;android
Bathenni;;1079;73.94;130;500;179;6;162;4;android
Ginnagre;;1920;74.13;130;513;143;9;152;10;android
Irorga;;1734;74.31;130;571;147;16;122;0;windows
Tina;;644;72.44;129;477;173;13;128;0;ios
Stockfish;;1961;73.94;129;580;229;15;121;1;android
Julcsi;;1192;72.75;128;391;185;9;148;1;android
Iherkaz;;1277;73.44;128;399;150;8;155;7;android
Brobafit;;1913;72.44;128;411;232;19;101;2;android
Wahaha;;1207;72.63;128;444;216;7;155;1;android
Gemsltd;;1368;73.13;128;506;160;13;128;4;windows
Heidi;;1954;73.44;128;582;366;16;136;2;android
Hecate;;1633;72.69;128;596;160;12;131;6;android
Abilil;Challenger;1653;73.38;127;405;245;16;114;0;steam
Thorson;;1414;72.94;127;464;143;14;117;0;android
Ebabi;Challenger;914;73.06;127;489;297;14;125;2;windows
Beep;;1557;73.06;127;537;245;13;127;0;android
Zemi;Warlord;1006;72.63;126;294;139;13;132;0;windows
Mranderson;;1877;72.81;126;356;108;14;124;9;steam
Rincewind;;597;72.13;126;592;294;17;107;0;android
Zwei;;1679;72.88;125;161;68;13;134;0;steam
Dodo;;1667;72.75;125;351;185;21;97;3;ios
Arcana;;1980;73.75;125;356;64;16;114;5;steam
Morning;;1380;73.13;125;430;136;16;117;0;ios
Calypso;;1731;73.13;124;454;186;13;140;15;android
Mithubi;;1177;72.38;124;582;210;14;122;2;android
Abett;;1467;73.00;123;369;210;11;138;2;steam
Inram;;1536;72.69;123;434;211;16;110;1;android
Megawati;;1302;72.81;123;441;116;10;137;1;android
Mazakeen;;1465;72.38;123;478;209;13;126;1;android
Puff;;1640;72.75;123;483;247;13;127;6;android
Coldasice;;985;72.81;123;490;297;21;89;3;android
Wolf;;1351;72.94;123;555;259;22;83;0;steam
Regul;;1301;73.38;123;599;326;7;153;3;android
Furpocket;;986;72.25;122;452;245;14;125;4;windows
Unknown;;1028;72.25;122;470;245;13;123;3;windows
Zima;;1109;72.69;122;491;276;15;122;0;ios
Midrod;;477;72.50;122;549;302;8;153;0;steam
Turgon;;1459;72.94;122;575;171;12;128;0;ios
Zaataar;;1139;72.63;121;299;81;15;124;5;ios
Stranger;Challenger;1155;72.63;121;418;123;8;153;1;steam
Zapgier;;1267;72.25;121;421;122;12;134;0;android
Zavrurka;;958;73.31;121;428;202;14;125;1;android
Annodel;;442;72.81;121;480;119;15;122;4;android
Anon;Challenger;633;72.88;121;490;185;11;137;2;android
Zenn;;834;72.75;121;545;96;11;136;2;android
Inchon;Challenger;762;71.75;121;550;339;18;109;2;android
Cisuna;;535;73.38;121;574;238;22;86;6;android
Meshi;;1889;72.56;120;215;36;16;120;3;android
Sharemona;;1818;72.44;120;232;65;20;98;1;android
Overze;;1561;72.56;120;375;130;17;116;5;android
Glomerulus;;600;71.44;120;474;262;15;134;1;android
Zozal;;611;73.38;120;591;144;8;159;2;android
Potter;Centurion;1264;73.19;119;452;227;19;101;9;steam
Hild;;796;72.94;119;504;212;18;138;13;ios
Hili;;1298;72.50;119;542;197;19;98;3;android
Testicles;;1593;72.56;118;373;166;11;140;6;steam
Rukkola;;1564;72.81;118;416;212;7;160;0;android
Hima;;1350;73.31;118;431;167;13;129;4;ios
Jenna;;1634;72.56;118;500;202;11;134;1;android
Adulatrice;;1245;72.13;118;525;340;17;118;2;windows
Mandul;;952;72.13;118;554;263;15;116;3;ios
Cher;;1271;71.56;117;437;244;9;169;4;android
Nabo;;1387;73.88;117;453;174;16;115;0;amazon
Nata;;714;72.56;117;485;181;13;124;0;android
Icer;;1061;72.56;117;496;222;14;135;4;android
Gunzu;;1629;73.00;117;561;256;23;81;4;android
Demi;;1420;72.50;116;231;89;18;105;1;ios
Rhae;;1612;72.81;116;313;149;9;159;2;android
Innirdi;;832;72.50;116;422;99;16;114;3;steam
Camudra;;1445;72.56;116;445;171;15;120;2;android
Dizzy;;812;73.13;116;506;145;8;143;1;ios
