Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Koreapapa;;2050;72.81;135;521;143;16;108;0;android
Rireve;;1778;74.25;135;527;239;14;137;7;steam
Prinzip;;1708;72.44;134;588;253;4;169;5;android
Rovena;;1789;72.13;132;535;18;11;132;0;steam
Ithin;;1740;73.00;132;570;168;4;170;9;steam
Babokach;;1820;72.56;131;557;225;12;132;4;ios
Rick;;1142;74.25;130;286;31;15;116;1;steam
Kestloh;;1741;73.31;130;403;129;7;157;0;ios
Morrigan;;1721;73.00;130;459;175;8;156;0;android
Whacker;;1589;73.50;130;529;97;13;122;6;windows
Innel;;1779;72.81;130;542;114;14;124;13;android
Evewar;;656;72.00;128;485;233;7;157;0;android
Jomag;;1753;72.94;127;441;62;16;116;3;android
Wolf;;699;73.56;127;567;251;10;143;4;android
Seven;;825;73.69;127;590;191;12;126;1;windows
Warhero;;1383;73.44;126;465;123;13;119;0;android
Zena;;1864;72.06;126;477;168;10;136;4;android
Molzz;;1424;73.13;125;377;146;12;133;1;android
Lifereka;;1540;72.25;125;438;173;9;163;0;steam
Ridos;;867;72.94;125;485;95;15;121;12;ios
Bluesky;;1752;73.13;124;550;208;15;114;2;steam
Lycan;;1946;71.25;123;563;291;16;130;7;ios
Karishi;;1314;72.69;123;586;266;15;117;3;android
Enrurcin;;1413;72.88;123;597;322;0;191;8;android
Skylapu;;1196;72.81;122;304;64;15;122;0;steam
Patty;;1949;73.31;122;487;222;21;102;2;ios
Johnny;;1292;72.13;122;514;328;13;127;14;android
Bronze;;1314;73.38;122;551;241;22;102;4;android
Ronri;;1120;72.38;122;585;165;17;109;13;steam
Vuhit;;1546;73.63;121;418;190;3;171;1;steam
Ehog;;1088;73.25;121;461;209;10;142;3;steam
Tanum;;953;72.00;121;473;182;18;99;1;ios
Onod;;1816;71.94;121;483;203;14;114;1;ios
Blada;;943;72.56;121;485;149;6;158;3;android
Dimples;;1536;72.69;121;502;120;16;107;5;ios
Anrizas;;1391;71.63;121;533;174;12;134;3;android
Mutt;;1167;72.81;121;540;246;15;121;3;android
Gopo;;1185;71.50;121;542;246;12;134;10;android
