Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Lovobre;;1670;70.63;123;444;219;9;150;5;steam
Zothas;;1569;70.94;120;500;214;16;116;5;steam
King;;768;72.19;115;271;52;13;131;3;ios
Juggy;;1029;69.13;115;499;102;21;89;1;android
Avudra;;542;70.69;113;427;159;3;175;4;steam
Ohel;;1430;71.00;112;271;124;9;147;5;steam
Bardoooo;;376;72.44;112;582;190;15;128;0;ios
Laret;;584;69.75;111;513;162;10;140;1;android
Kaitoshoma;;1223;71.19;110;302;88;5;170;0;android
Boook;;1082;70.56;110;429;184;10;144;1;ios
Mabra;;512;71.06;110;515;147;21;86;3;steam
Slate;;879;71.00;105;270;99;15;122;6;android
Luchic;;652;70.88;105;414;93;12;132;0;android
Alline;;711;70.69;103;417;190;13;131;6;steam
Hlebyshek;;400;69.69;103;595;214;18;108;7;ios
Eges;;518;71.00;102;482;164;12;131;2;android
Claeve;;484;70.31;102;544;247;8;149;1;steam
Vethot;;394;70.94;101;553;346;23;96;29;steam
Kege;;1087;69.56;100;205;49;8;154;0;android
Siegfried;;880;70.75;100;256;65;22;97;0;windows
Ridri;;456;70.25;100;304;54;12;145;1;android
Zarem;;316;67.25;100;357;59;11;139;0;steam
Sorukri;;327;70.06;100;500;170;14;120;0;android
Veolet;;808;70.88;98;447;130;18;97;4;steam
Jillut;;455;70.31;98;495;182;13;142;3;android
Nerod;;647;70.44;98;507;164;17;127;2;windows
Enad;;388;65.44;97;449;149;12;129;0;android
Gigin;;356;70.31;97;490;166;18;105;7;android
Irdone;;381;70.31;97;536;306;15;131;23;steam
Korbirdie;;701;67.06;97;592;277;19;102;12;steam
Iala;;528;70.25;96;443;171;9;143;2;android
Ddsky;;312;70.63;95;275;67;12;136;3;android
Cergarti;;720;70.75;95;579;75;15;120;25;android
Blaaaaaaa;;232;69.19;93;505;221;16;112;2;android
Rete;;593;68.75;92;535;218;5;185;15;android
Morrigaine;;284;69.94;91;178;41;21;88;3;android
Dikran;;425;69.31;91;516;236;10;138;8;android
Kobi;;627;70.56;91;534;158;14;117;0;windows
Zemi;;1085;70.75;90;158;31;8;153;0;android
Eteja;;198;66.94;90;282;58;13;126;0;steam
Artorias;;767;70.38;90;285;64;14;128;10;android
Sashat;;476;69.81;90;297;65;21;92;0;android
Event;;229;70.25;90;306;48;19;101;5;ios
Chilaquile;;661;71.25;90;359;64;14;123;1;ios
Metebala;;238;70.25;90;384;72;9;157;2;steam
Spilly;;210;70.69;90;430;83;9;141;0;ios
Avig;;362;70.13;90;515;100;6;166;0;android
Sushi;;289;67.56;89;473;207;12;134;10;android
Gimerze;;328;70.63;89;550;148;12;134;10;steam
Athena;;444;69.75;88;450;193;20;92;6;ios
Mamarkk;;619;70.75;88;490;182;10;140;14;android
Gothon;;244;70.25;87;406;116;16;113;0;android
Izeshig;;294;70.38;85;210;24;14;131;1;steam
Peracles;;350;69.81;85;531;116;12;131;0;windows
Jathel;;275;70.00;85;558;89;20;90;0;android
Dukri;;310;70.06;84;501;126;15;115;5;android
Rori;;411;71.38;84;595;154;2;180;2;android
Kirci;;158;64.56;82;511;178;8;154;21;ios
Xena;;260;70.50;82;514;105;12;124;0;steam
Sola;;299;69.94;82;533;244;20;90;3;windows
Icom;;227;68.06;81;283;72;9;161;1;ios
Bokrel;;478;70.38;81;392;139;11;142;9;android
Asuna;;236;70.44;80;224;72;17;111;1;steam
Curkuk;;168;68.50;80;294;76;9;148;0;android
Abet;;765;70.44;80;321;120;10;144;0;windows
Achuja;;321;67.50;80;385;97;10;144;2;android
Hechima;;310;70.56;80;504;136;14;123;0;android
Asedi;;1295;73.31;79;25;1;13;135;0;ios
Alpha;;896;72.50;79;26;1;24;80;0;steam
Omega;;429;72.69;79;28;2;20;99;0;windows
Testytry;;952;71.38;79;40;3;15;128;0;android
Waric;;271;67.06;79;510;78;13;128;5;ios
Sigma;;478;70.31;79;515;136;19;113;5;android
Bobio;;198;70.19;78;544;148;10;137;3;android
Sufre;;217;70.44;77;432;187;19;125;0;android
Nanri;;205;68.63;77;446;59;3;180;2;android
Justce;;199;68.13;77;476;182;8;152;3;steam
Kaito;;256;70.56;77;564;256;15;125;9;android
Ikos;;298;70.13;76;323;90;14;117;1;android
Kristal;;388;70.44;76;356;84;17;112;0;android
Azuz;;152;65.13;75;178;16;17;111;4;steam
