Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Korsoyoung;;1854;73.94;155;517;320;4;187;2;windows
Korwinter;;1847;73.81;155;527;277;14;141;1;windows
Korddol;;1755;73.88;155;531;288;12;145;0;windows
Anba;;1719;74.31;155;541;292;9;160;0;windows
Korteng;;1721;74.38;153;551;287;5;171;0;android
Splendor;;1718;73.63;152;572;329;9;153;1;windows
Crateless;;1670;73.19;150;520;261;9;163;1;windows
Kormansaok;;1412;74.06;150;522;379;5;179;5;ios
Efich;;1476;74.19;148;511;390;16;112;5;steam
Marialupa;Centurion;1618;73.81;148;567;265;12;131;3;ios
Kork;;1541;73.88;147;458;269;13;135;2;windows
Coldshower;;1646;73.00;147;524;272;11;145;0;windows
Unemployed;;1725;72.88;146;442;176;15;124;2;windows
Platbro;;1552;73.81;146;529;225;22;81;7;ios
Itchyboots;;1383;72.94;144;580;271;4;177;6;android
Michyp;;1227;73.50;142;460;305;15;121;4;android
Skyscraper;;1371;72.63;142;561;324;5;170;12;android
Ivory;;1463;73.63;141;467;148;2;183;2;android
Oshas;;1809;74.00;140;363;191;8;161;0;windows
Hecate;;1341;72.44;140;579;448;13;143;17;android
Zirdugra;;1480;73.69;138;500;119;10;144;2;android
Orkiit;;1228;73.06;138;547;242;8;150;1;android
Fiona;;1282;73.13;137;464;247;18;99;1;android
Viha;;1025;72.56;137;505;273;6;157;1;android
Clad;;1550;72.81;137;567;345;10;143;1;steam
Doci;;1379;72.88;136;365;154;14;131;1;android
Lausieanb;;1185;72.63;136;481;192;11;142;3;android
Keeplearn;;1060;73.38;135;450;149;11;137;0;android
Korformer;;1567;73.13;135;504;289;7;173;9;android
Kithargi;;1189;71.56;135;548;166;18;114;2;steam
Crysania;;1031;72.44;134;535;274;16;117;3;steam
Zemi;Warlord;1041;72.81;133;396;241;10;143;0;windows
Osod;;1165;74.31;133;575;268;10;147;2;android
Rivenbis;;932;74.31;131;397;215;13;130;2;android
Dizul;;1043;71.88;131;539;258;14;122;3;ios
Barfinum;;1265;73.13;131;579;291;20;91;7;windows
Surewhynot;;1241;72.81;130;358;163;12;145;3;ios
Tuyul;;951;72.75;130;453;126;5;170;1;android
Lafbugcarl;;1216;72.50;128;505;308;16;116;1;android
Edafre;;1008;72.19;127;513;240;12;131;5;android
Atholle;;1259;72.13;127;524;340;18;103;4;android
Shawna;;1080;71.63;127;563;372;7;158;13;android
Gajek;;1269;72.44;127;581;399;14;130;6;android
Oshas;;1119;72.81;126;321;132;20;104;1;android
Mariecurie;;1267;72.31;126;410;106;23;79;2;android
Plaetck;;1424;72.94;125;254;106;16;121;1;android
Rikil;;997;72.38;125;299;109;14;129;0;android
Niyuu;;1175;71.56;125;422;148;17;113;2;android
Tuba;;1152;72.13;125;440;247;9;172;8;android
Baba;;1161;72.13;124;332;176;13;126;0;android
Guguloi;;1010;72.50;124;448;185;14;118;2;android
Isoso;;1088;72.69;124;494;277;11;143;0;ios
Sarumab;;834;72.56;124;519;285;16;116;0;android
Kuthi;;697;73.06;124;579;293;21;94;17;android
Idneshe;;972;72.25;123;508;282;12;136;1;steam
Cher;;1126;71.69;122;464;271;6;169;0;android
Maracaibo;;1338;72.38;122;493;262;11;139;4;steam
Geburtsty;;982;72.88;122;546;229;14;123;1;android
Albruna;;986;72.19;122;554;305;11;144;1;ios
Korguma;;1117;72.75;121;398;201;23;80;0;android
Sisa;;1012;71.94;121;441;145;15;131;4;android
Inak;;847;72.38;121;472;271;14;120;3;android
Bayaz;;1198;72.88;120;341;89;12;144;5;steam
Uaua;;966;72.44;120;464;40;16;115;22;android
Jagnj;;726;72.75;120;498;221;12;141;7;windows
Dera;;896;72.44;119;448;155;16;115;14;android
Lacerze;;911;72.88;118;349;180;12;135;5;android
Ichig;;583;72.00;118;371;223;15;119;1;android
Jaga;;985;71.44;118;385;208;14;127;0;ios
Morning;;918;71.88;118;411;159;11;133;0;ios
Alurun;;983;72.56;118;413;157;19;99;1;android
Hiko;;1059;72.38;118;506;296;16;119;9;android
Kabre;;1015;72.13;118;529;169;9;152;6;ios
Toilet;;1145;72.06;118;551;408;6;166;2;android
Gaci;Challenger;1060;73.69;118;584;237;13;130;0;android
Echidna;;1016;72.81;118;595;186;22;85;13;android
Adulatrice;;1043;72.25;117;394;201;18;106;4;windows
Colzy;;877;72.63;117;412;199;16;116;1;steam
Gakre;;1224;72.69;117;482;276;12;131;1;android
Kikrerza;;909;73.13;117;501;238;12;135;2;android
Kimberly;;1003;73.19;117;527;267;9;147;3;android
Memeee;;1205;72.50;116;302;113;9;146;0;steam
Platblonde;;1156;72.13;116;389;209;18;104;3;windows
Korhen;;992;73.00;116;403;226;17;112;8;android
Beziz;;570;71.31;116;422;206;12;131;2;steam
Milamber;;628;72.81;116;558;219;10;144;2;android
Mopup;;1236;72.56;115;212;57;11;145;0;windows
Evillady;;1186;73.00;115;240;62;16;116;0;android
Anathema;;1079;72.44;115;251;120;22;94;1;windows
Moyo;;1252;72.81;115;271;127;9;160;1;windows
Zaphyra;;1043;71.94;115;352;116;14;128;1;android
Pumpkin;;843;71.50;115;362;123;13;131;2;windows
Lunel;;382;72.63;115;503;171;11;143;3;android
Maclinx;;1197;71.00;114;452;211;10;142;7;ios
Jennehi;;362;72.44;114;489;231;20;104;5;android
Maleficent;;893;71.50;114;523;160;25;73;5;ios
Minmin;;813;71.88;113;419;241;13;131;6;android
Michelle;;915;71.75;113;477;248;14;125;2;android
Priya;Challenger;949;72.75;113;482;248;20;110;15;ios
Duon;Challenger;629;71.44;113;558;347;18;103;2;android
Potter;;631;71.13;112;420;156;13;131;2;ios
Tacam;;832;72.06;112;487;264;13;134;6;android
Evorke;;481;71.56;112;525;347;13;132;0;android
Athonrol;;847;72.00;111;374;135;9;148;0;ios
Mazakeen;;865;72.13;111;393;184;20;106;2;android
Gwapa;;1169;71.81;111;411;218;9;146;0;android
Derga;;574;71.19;111;481;315;12;138;3;ios
Pajicola;;917;72.25;111;523;296;13;138;0;android
Lusha;;513;71.88;110;233;66;15;122;0;ios
Bobobo;;362;70.94;110;311;146;11;141;1;steam
Evunin;;525;71.31;110;341;112;19;103;2;android
Rincewind;;408;71.13;110;343;82;17;111;2;android
Ruti;;418;71.38;110;343;129;13;136;3;android
Varkum;;754;71.94;110;374;188;10;151;3;ios
Evento;;884;71.94;110;390;228;23;94;8;steam
Ebothak;;848;71.13;110;526;237;8;157;7;android
Maggiemae;;1041;72.69;109;274;27;17;110;2;android
