Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Mage;;1488;73.00;119;101;34;20;96;0;windows
Orehe;;1422;72.38;119;168;85;6;169;1;android
Frizzle;;1363;72.75;119;170;50;20;94;0;android
Venus;;1263;72.81;119;213;90;13;135;1;android
Aenyora;;1102;72.69;119;222;139;18;107;2;android
Chibavnn;;1264;72.94;119;243;104;13;131;0;android
Franknmage;;1152;73.38;119;250;114;14;125;0;ios
Mrnice;;1245;72.56;119;254;112;9;149;1;android
Orangy;;1102;71.94;119;282;135;17;115;2;android
Agame;;897;72.25;119;303;150;13;130;1;ios
Zava;;829;72.75;119;369;213;15;120;4;android
Woolm;;1193;72.75;118;353;192;11;149;3;android
Siva;;1438;73.13;116;294;138;22;89;4;android
Platter;;937;71.50;116;481;183;12;140;4;windows
Tirg;;1217;72.06;115;373;123;5;175;2;steam
Lartseason;;479;70.75;113;458;250;6;164;1;steam
Puppy;;666;71.75;113;485;222;20;92;1;android
Ocuz;;1313;71.25;112;350;165;7;160;3;steam
Cobi;;663;71.75;111;533;238;23;82;9;steam
Luzanibb;;930;71.88;110;218;91;18;110;0;windows
Liviz;;913;73.81;110;488;165;16;122;0;windows
Mystra;;985;71.25;108;376;150;13;130;11;android
Observer;;826;70.56;108;437;258;14;128;3;steam
Mosuma;;664;71.75;108;446;179;19;101;2;android
Zorde;;534;70.00;106;423;165;8;158;2;android
Flamegod;;656;71.06;106;532;371;8;153;6;android
Rishi;;460;70.69;106;562;312;10;138;0;android
Moreco;;807;71.19;105;196;41;19;101;0;windows
Unlicast;;955;71.31;105;257;117;9;152;0;ios
Tivanb;;833;72.38;105;305;118;13;131;2;android
Todeka;;455;71.00;105;424;269;19;114;0;android
Koge;;854;71.13;105;467;239;9;161;7;steam
Rithi;;993;73.56;105;530;168;16;122;17;windows
Eshez;;750;71.13;104;327;204;11;140;0;steam
Rasiz;;342;71.44;104;583;319;7;164;2;amazon
Inninnek;;540;70.69;103;358;136;11;156;8;android
Immolation;;904;70.88;103;449;193;19;100;6;ios
Lilbulldog;;366;71.19;103;454;124;9;149;4;windows
Ergas;;652;72.25;102;359;215;14;160;0;android
Evellyn;;614;70.75;102;461;162;14;124;7;steam
Pichulon;;301;70.63;101;488;146;15;120;8;steam
Platifex;;647;71.25;101;494;150;7;158;5;ios
Threehour;;597;71.44;100;178;40;13;130;0;steam
Artefaktus;;771;71.00;100;255;97;12;136;0;steam
