Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Swifty;;1636;74.44;130;268;130;10;145;1;steam
Klklk;;990;71.94;120;394;96;13;125;1;steam
Dibe;;1930;74.25;119;47;4;6;167;1;windows
Eternium;;1911;73.31;119;49;14;15;124;0;windows
Tora;;1821;74.13;119;55;11;9;153;0;windows
Trytrytry;;1784;73.44;119;78;32;18;123;1;android
Emadom;;1363;72.19;119;98;24;17;112;2;ios
Reaper;;1745;72.94;119;101;19;9;146;0;android
Chimera;;1586;73.13;119;109;56;9;149;0;android
Korespax;;1413;73.31;119;169;71;8;153;0;android
Love;;1263;72.50;119;186;100;16;115;2;android
Kedrirgi;;1460;72.19;119;218;115;16;116;3;android
Jishe;;1163;72.50;119;307;81;19;99;2;android
Jibug;;862;72.38;119;341;182;8;154;3;android
Lazarus;;957;72.88;119;342;45;11;141;14;steam
Mazoni;;1351;72.44;118;280;147;9;148;0;android
Piamaria;;1071;72.81;116;428;170;18;119;3;android
Bola;;658;71.44;116;477;146;18;101;3;windows
Yultza;;1268;72.00;115;269;135;10;149;0;android
Cine;;916;71.94;115;276;106;12;149;1;android
Vibroz;;1289;72.81;115;291;91;7;162;0;android
Texnik;;924;71.56;115;316;83;4;170;2;android
Moonshade;;1041;70.81;115;500;104;22;108;8;android
Dinre;;503;71.31;114;365;103;12;154;0;android
Kometa;;959;70.88;113;382;179;19;99;2;ios
Bbob;;577;71.75;111;496;279;23;83;7;steam
Ezaz;;970;72.13;110;168;51;9;151;3;steam
Gele;;1222;71.06;110;205;72;11;143;7;steam
Ebis;;729;71.50;110;224;68;8;155;0;android
Cishen;;1226;71.44;110;225;59;13;125;1;android
Even;;739;70.88;110;227;74;11;145;0;android
Koil;;862;71.25;110;319;83;18;104;6;android
Virkada;;397;71.31;110;328;120;11;135;0;ios
Kica;;597;70.81;110;329;127;6;170;0;android
Juna;;998;71.31;110;330;89;19;98;7;android
Niza;;658;70.75;110;335;159;14;129;0;android
Neza;;472;70.56;110;348;105;11;134;4;steam
Tuhe;;689;71.00;110;365;179;8;158;0;android
Ircese;;756;70.38;110;383;93;12;146;4;ios
Segi;;614;70.50;110;388;117;21;95;3;windows
Joca;;611;71.56;110;411;147;22;85;0;android
Rujed;;603;70.56;110;425;126;15;120;1;android
Jive;;681;70.25;110;434;179;19;100;1;android
Isak;;856;71.19;110;447;87;14;125;0;steam
Icanet;;549;70.44;110;451;176;16;112;1;steam
Rerzez;;910;71.13;109;377;105;13;125;0;android
Vini;;665;70.69;109;492;179;15;120;5;steam
Ruga;;719;64.81;108;528;211;17;108;1;steam
Cezik;;787;71.25;107;458;87;16;112;0;amazon
Jahira;;733;70.94;107;462;185;14;120;3;android
Kubog;;676;70.69;106;425;120;12;125;0;android
Anja;;624;71.19;106;466;110;15;110;1;android
Aevmag;;790;70.94;106;488;107;18;108;15;android
Icak;;910;69.13;106;549;264;22;87;16;ios
Agike;;941;71.81;105;171;75;13;137;4;steam
Annuket;;1164;72.44;105;249;76;4;174;1;android
Clarence;;360;71.38;105;290;90;13;129;0;android
