Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Olerzi;;1691;74.31;175;559;185;14;140;21;android
Koryoungbo;;1884;73.94;175;563;104;18;125;6;android
Korhappy;;1625;74.00;173;482;257;7;188;4;windows
Romme;"War Hero";1813;73.38;171;460;29;18;119;14;android
Windows;;1852;74.56;167;369;156;9;148;8;steam
Korstyle;;1732;73.88;167;450;12;17;113;11;android
Gegaca;;1584;73.50;167;490;140;18;127;4;windows
Pabijah;;1658;74.00;164;509;184;12;132;16;ios
Hydden;;1293;73.88;162;539;203;11;138;11;steam
Milf;;1428;73.44;159;501;214;16;117;19;ios
Dezol;;1825;74.94;157;482;183;17;111;11;ios
Zidulli;;1446;72.25;157;496;180;14;128;16;steam
Moha;;1240;73.13;154;428;241;17;110;29;android
Hronos;;1152;72.44;152;335;127;13;130;7;windows
Sasha;;1183;73.13;152;495;117;4;189;8;windows
Jimbo;;1447;73.44;151;507;153;16;116;10;android
Chemnitz;;1127;73.75;148;502;183;18;98;5;android
Nita;;1204;72.63;148;519;268;9;149;3;steam
Peeps;;1351;74.56;147;599;179;16;112;3;windows
Erdubin;;1132;72.75;146;387;150;20;122;5;android
Freya;;1334;72.75;146;443;120;11;136;2;android
Niko;;1409;73.19;146;508;142;8;156;18;android
Rukozhopka;;1771;73.75;145;459;207;16;119;22;ios
Achilleus;;1373;73.88;145;471;217;11;144;15;ios
Syrus;;1754;73.69;144;354;146;12;133;2;android
Kobra;;1370;72.75;144;356;172;14;123;2;android
Vanhelsing;;1500;72.56;144;422;188;8;151;15;android
Edward;;1650;73.06;144;433;170;9;146;20;windows
Shooter;;1236;74.56;144;459;272;15;118;23;ios
Gika;;1277;73.13;144;490;305;23;81;78;android
Buthe;;1159;73.63;144;560;246;17;106;13;steam
Grace;;1386;73.56;143;505;212;13;134;6;android
Athed;;1402;72.75;142;366;139;17;111;1;android
Ehez;;1479;72.38;142;434;188;13;130;4;steam
Hogra;;1249;72.81;142;506;202;8;154;7;steam
Kormove;;1383;72.50;141;378;158;22;85;19;android
Ceme;;1414;73.00;141;394;185;16;112;5;android
Eshejul;;1520;73.06;140;361;144;13;131;10;ios
Korjina;;1316;73.44;140;369;137;12;139;20;android
Anda;;1310;72.56;140;441;209;9;152;29;android
Vali;;1293;73.00;139;466;186;17;108;5;android
