Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Lithus;;1843;72.75;140;280;96;10;152;4;windows
Xcix;;1423;72.19;139;391;186;8;152;5;android
Zici;;967;72.88;130;294;112;17;115;0;steam
Henter;;973;72.00;130;493;204;9;155;27;android
Sonruda;;1462;71.38;128;419;181;19;111;20;android
Elleria;;757;72.50;121;408;140;11;143;14;steam
Trigun;;1202;72.31;120;310;79;21;96;9;steam
Pocobala;;877;62.06;120;401;137;11;143;6;steam
Lase;;702;72.25;120;410;137;16;125;6;android
Mimi;;1512;73.06;119;100;24;17;109;0;android
Tose;;1539;72.63;119;100;29;22;88;0;android
Tuva;;1382;71.44;119;125;46;25;82;1;android
Diziet;;1537;72.63;119;170;53;16;115;2;android
Wisp;;1447;72.81;119;199;72;14;124;5;android
Ellagran;;1067;72.00;119;216;84;9;152;3;ios
Ozaz;;938;72.38;119;235;101;9;150;6;android
Jebek;;820;71.31;119;257;79;20;97;3;steam
Headshot;;738;73.00;119;259;98;12;137;2;android
Lodi;;1395;73.06;119;285;83;9;159;12;ios
Trident;;815;71.00;119;297;133;17;112;11;android
Sundance;;1491;72.75;119;311;101;6;163;2;android
Huckal;;913;71.44;119;338;76;20;91;4;windows
Sevrik;;1820;72.69;119;354;220;19;104;24;android
Kordawn;;1039;72.56;119;368;143;18;104;11;android
Gama;;378;71.13;117;472;196;24;80;24;ios
Lovebozi;;871;70.56;117;503;199;31;86;28;android
Bysinka;;1037;70.88;117;519;212;6;169;28;android
Jalit;;845;71.44;117;524;158;6;162;16;android
Edrerud;;356;70.94;114;470;214;18;129;24;android
Whimmm;;737;71.88;113;388;161;13;127;3;android
Burnok;;447;70.69;113;430;134;12;133;7;android
Rayne;;430;72.94;113;455;159;9;152;10;android
Lunaria;;387;72.06;113;501;138;12;140;9;ios
Raje;;442;71.00;112;361;72;16;113;11;android
Haka;;595;69.44;112;490;167;6;163;8;ios
Allen;;473;70.31;112;516;216;11;147;5;steam
Dura;;969;70.56;111;276;83;17;115;10;android
Inul;;772;71.06;111;351;96;18;105;0;ios
Zzeegg;;1286;72.00;110;232;62;20;99;7;android
Iria;;516;71.44;110;263;122;15;123;12;ios
Evacaz;;965;71.06;110;296;6;20;99;10;steam
Mozem;;872;71.88;110;335;73;12;137;5;android
Reda;;269;70.94;110;358;156;9;154;21;android
Sonichi;;583;71.19;110;398;94;19;105;9;android
Ekofre;;325;67.31;110;423;200;7;166;13;windows
Arora;;391;70.81;110;436;175;15;126;4;android
Petrie;;618;71.06;110;518;175;21;105;15;android
Lusiver;;405;70.81;109;470;176;16;114;29;android
Yess;;956;72.69;109;481;169;15;127;4;steam
Ivol;;290;71.13;108;311;113;14;129;1;android
Omargi;;821;71.19;108;402;119;25;72;8;android
Gokre;;813;70.88;108;429;182;11;137;11;steam
Ednuk;;670;71.06;108;431;154;14;130;14;android
Toki;;688;70.56;108;466;229;7;162;1;ios
Gorynja;;833;70.44;108;472;166;11;145;17;android
Orkoshi;;446;71.38;108;484;159;8;166;28;android
Lafrit;;759;70.75;108;561;290;9;151;12;ios
Evahaz;;443;70.94;108;598;205;18;107;25;android
Seve;;434;70.81;107;310;130;19;107;11;android
Hand;;468;71.13;107;326;129;18;106;11;steam
Kaatrina;;744;72.63;107;388;119;17;106;0;android
Selena;;890;70.94;106;374;203;19;98;1;android
Cepa;;514;70.44;106;493;149;15;127;8;steam
Shindara;;806;71.13;105;205;57;14;126;11;android
Athidris;;884;72.00;105;237;42;13;135;1;android
Votug;;946;71.75;105;237;84;18;111;17;steam
Cithes;;687;71.38;105;246;52;14;124;2;steam
Arcobek;;535;70.75;105;255;105;19;105;7;ios
Anakriss;;663;71.69;105;299;97;16;115;2;android
Kattygold;;534;70.75;105;354;125;18;110;5;android
Alus;;354;68.25;105;387;138;24;82;6;android
Kortrea;;823;71.25;104;417;251;18;119;7;android
Jaha;;302;70.25;103;321;76;13;131;3;android
Reva;;249;67.88;103;376;119;13;129;2;android
Jedad;;433;70.50;103;433;187;17;113;15;steam
Zerga;;500;71.06;103;499;210;12;131;6;android
Erug;;491;70.75;103;544;223;13;128;14;ios
Fish;;352;70.81;102;286;74;16;119;12;android
Anos;;313;71.06;102;314;112;21;92;0;windows
Headshot;;427;71.00;102;391;210;7;158;3;android
Katran;;412;71.19;102;406;176;15;119;9;steam
Ching;;497;70.56;102;481;241;8;157;12;android
Ikrejug;;267;70.94;102;493;99;22;89;12;android
