Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Kormansaok;;2029;74.69;171;351;106;14;126;17;ios
Kormage;;2090;74.94;171;451;82;13;132;15;windows
Efich;;2039;74.69;166;212;37;10;142;8;steam
Kortong;;2083;75.13;163;589;357;5;170;1;windows
Korpotato;;2058;74.50;161;241;104;13;129;8;android
Jilsajung;;2064;74.69;161;247;60;13;128;7;android
Korfo;;2050;74.63;161;309;72;4;172;14;android
Tired;;2002;75.00;161;598;324;7;164;1;android
Korxxxxx;;2091;75.00;158;397;253;5;171;1;windows
Kork;;1946;73.81;157;556;302;9;145;0;windows
Hero;;1913;74.50;156;338;106;16;117;14;ios
Michyg;;1686;73.56;153;593;419;7;161;4;android
Kirduthi;;1847;73.56;152;494;269;4;173;1;android
Zemi;Warlord;1826;73.69;152;579;306;17;105;1;windows
Itchyboots;;1906;74.06;151;577;197;12;130;1;android
Itchyhands;;1906;73.94;151;586;236;22;81;3;android
Yuki;;1881;73.50;151;594;387;16;113;7;android
Goldfinger;Warlord;1902;73.75;148;540;304;8;149;1;ios
Orkiit;;1817;74.06;147;485;221;10;138;6;android
Icedin;Challenger;1902;73.56;147;546;323;13;128;5;windows
Bubbles;;1724;73.75;147;564;277;5;168;3;steam
Abramz;;1871;73.81;147;591;220;8;152;1;android
Testis;;1684;73.88;146;569;302;7;160;13;android
Konthol;;1675;73.44;146;589;329;16;121;9;android
Sindc;;1898;74.06;144;454;209;11;137;2;windows
Beerfaurt;;1708;73.38;144;594;300;19;100;6;steam
Erebal;;1612;72.63;142;555;277;16;111;5;steam
Darian;;1953;73.88;140;526;317;17;126;11;android
Wacka;;2002;74.50;139;534;213;6;167;7;steam
Kelene;;1745;73.63;139;587;298;15;113;11;ios
Lausieanb;;1585;72.31;138;423;216;8;157;4;android
Korssd;;1586;73.06;138;475;224;11;139;3;android
Butcha;;995;72.75;138;553;227;11;138;0;android
Mahara;;1730;72.63;137;391;80;12;132;1;windows
Ocis;;1337;73.38;137;498;215;14;121;1;android
Sarumag;;1663;73.13;136;391;164;11;139;2;android
Jaga;;1540;73.56;136;489;191;6;163;0;ios
Alumifex;;1923;73.75;136;492;151;13;133;14;ios
Albruna;;1333;73.00;136;573;215;10;142;0;ios
Vash;;1615;73.13;136;583;174;15;116;4;android
Erimiagain;;1543;73.88;135;263;47;12;134;1;android
Geeke;;1722;72.75;135;321;113;19;105;4;android
Ennit;;1549;72.88;135;336;184;17;120;3;windows
Zoastyking;;1964;72.50;135;376;226;11;149;8;steam
Avushi;;1906;73.69;135;422;162;4;176;2;android
Kurg;;1453;72.81;135;513;308;8;166;1;android
