Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Aslan;;467;70.44;118;410;164;11;139;9;android
Skap;;899;71.94;115;278;77;13;135;17;android
Dice;;565;71.19;108;310;83;17;110;4;android
Binaz;;435;71.06;107;303;153;14;123;7;android
Glock;;368;70.63;107;449;160;12;139;15;android
Chewii;;471;70.44;106;259;62;10;146;8;ios
Banditka;;563;70.63;106;399;89;17;111;13;steam
Pukpuk;;311;70.38;105;316;89;11;145;6;ios
Tikram;;356;70.50;101;368;119;19;107;4;steam
Pajajac;;478;70.44;100;391;196;13;135;19;android
Amakem;;513;65.94;100;528;272;15;130;12;steam
Athoba;;267;70.75;96;367;94;23;77;7;android
Tukum;;332;70.13;96;460;163;15;118;2;android
Kkkkk;;291;69.63;95;286;86;14;129;22;android
Ithotek;;293;70.38;95;306;90;12;138;4;steam
Sylda;;273;69.94;95;309;79;10;146;4;android
Rugi;;296;70.44;95;356;91;19;106;7;android
Losha;;589;70.13;95;369;100;13;135;0;android
Korti;;219;71.50;95;387;91;11;146;3;android
Kufra;;552;70.63;94;315;76;4;171;9;android
Holume;;287;69.81;94;471;187;5;171;12;steam
Berbos;;376;70.25;92;451;215;10;147;5;android
Seriah;;307;69.63;91;410;84;19;112;40;android
Jijka;;357;70.44;91;445;146;8;159;31;android
Stiebs;;204;69.00;90;287;95;16;121;4;android
Ejak;;528;69.31;90;494;116;15;128;32;ios
Yyds;;246;70.63;89;373;100;14;128;9;steam
Zommm;;588;69.69;89;446;137;16;117;26;ios
Bebebe;;315;70.63;88;434;152;14;128;23;android
Diego;;298;70.50;88;574;340;19;126;14;ios
Zinna;;198;70.19;87;393;131;7;160;4;android
Zeetha;;334;70.13;87;472;166;15;124;33;ios
Biubiubiu;;214;70.13;86;424;158;10;146;19;android
Elana;;233;70.31;86;474;215;11;144;8;android
Labroz;;358;70.88;85;262;110;8;163;3;steam
Thorin;;273;65.56;85;298;55;15;124;5;steam
Asosi;;214;69.06;85;321;90;20;108;23;android
Rulom;;662;70.56;85;350;122;14;139;19;steam
Torkon;;538;70.56;85;396;112;9;150;2;android
Otozul;;224;70.25;85;403;111;15;123;1;android
Alal;;451;70.38;84;295;139;23;87;25;steam
Atira;;238;69.19;84;364;66;14;127;5;android
Olargus;;236;70.69;83;469;183;20;100;3;windows
Surki;;264;65.94;83;470;178;9;148;3;ios
Ppoctodeh;;262;68.88;83;489;181;7;164;16;steam
Eruga;;390;70.50;83;500;253;12;144;11;ios
Klara;;539;70.44;82;254;79;12;141;11;steam
Sammy;;182;68.31;82;333;133;11;154;5;ios
Venti;;421;69.69;81;515;147;7;156;7;steam
