Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Herin;;1071;70.81;110;236;78;13;133;0;android
Blizzard;;325;70.88;100;234;90;13;131;2;android
Magus;;193;69.38;90;375;131;22;92;0;android
Gizi;;597;70.44;82;415;282;10;142;0;android
Eter;;1125;71.69;79;24;3;17;112;0;android
Ollucad;;742;73.31;79;37;4;10;147;0;steam
Ivis;;810;71.56;79;53;3;14;130;0;steam
Grandpa;;273;70.56;79;120;48;15;120;0;android
Nubas;;760;71.25;79;125;58;9;152;1;android
Orzabam;;308;71.19;79;172;46;25;71;0;android
Hell;;435;70.44;79;179;113;16;128;2;windows
Venudrial;;547;70.25;78;337;158;18;104;1;android
Cunni;;161;70.38;78;477;332;15;118;0;steam
Rorda;;281;70.81;77;305;77;16;111;3;android
Drarco;;221;70.50;76;368;197;13;141;7;android
Jije;;222;69.81;75;149;21;17;117;1;windows
Andor;;153;68.69;75;233;28;12;138;0;ios
Boudaxe;;181;66.50;74;405;241;8;154;8;android
Bostfrolt;;320;70.88;74;467;229;4;164;2;android
Ivos;;271;70.44;70;227;49;22;91;1;android
Cori;;394;69.75;70;333;133;7;163;3;android
Takemehigh;;117;68.88;67;246;106;20;102;13;android
Vannas;;334;71.06;67;364;100;18;101;0;android
Rorkus;;152;70.25;66;394;134;11;136;3;android
Frozen;;165;60.50;65;219;107;19;100;0;android
Erovred;;162;69.81;65;271;133;13;137;0;android
Defros;;287;70.75;64;257;71;20;95;9;android
Edros;;157;70.00;63;514;369;14;162;4;android
Amobi;;64;68.75;60;214;84;14;133;11;steam
Ished;;215;67.88;60;221;71;11;143;6;steam
Dela;;119;63.13;60;286;66;16;114;0;android
Raistlin;;141;69.50;59;365;126;9;155;3;android
Jichon;;126;64.63;59;591;269;17;119;4;ios
Hekaza;;336;71.00;58;292;114;14;129;6;steam
Iciti;;124;65.63;57;242;119;14;126;2;android
Seshira;;123;69.50;57;347;125;7;158;7;android
Circas;;139;67.31;55;156;13;22;88;0;android
Ruthoja;;130;65.88;55;225;80;16;119;2;android
Ifrurdi;;102;66.50;55;341;115;21;102;0;android
Collot;;209;67.75;52;444;253;15;119;4;android
Nabre;;185;68.06;51;469;244;12;134;10;ios
Muge;;114;61.88;50;193;77;13;135;0;steam
Othothed;;259;71.13;50;243;71;24;76;0;ios
Dave;;74;57.69;50;289;18;6;175;0;amazon
Rozum;;160;65.94;50;382;65;8;154;5;windows
Borki;;28;62.19;47;183;71;12;140;0;android
Darkness;;73;64.81;40;179;54;15;125;1;windows
Esoza;;39;58.94;38;231;94;24;104;0;android
Ehud;;150;66.56;36;195;28;18;108;0;android
Katahe;;88;45.81;35;253;45;11;142;0;android
Etham;;26;65.13;32;195;33;17;111;1;android
Ortuhe;;7;61.94;29;134;27;6;161;0;steam
Sencen;;40;65.94;26;128;0;10;147;0;android
Benta;;34;62.56;26;128;26;17;117;0;android
Athisus;;45;59.19;26;236;54;16;117;2;android
Honoredone;;100;59.69;25;63;4;16;120;0;steam
Srexy;;30;63.50;25;165;8;14;127;0;android
Earlmatanb;;65;62.25;25;310;81;5;174;8;ios
Maverick;;18;59.69;24;212;53;11;147;1;android
Lillen;;34;57.44;24;226;26;15;124;0;ios
Otosa;;0;45.56;22;149;7;20;100;0;android
Ethanapa;;0;55.88;18;114;28;10;155;0;android
Effects;;0;61.50;18;148;15;10;149;0;android
Ecilia;;3;64.88;16;79;4;10;150;0;android
Vada;;0;49.94;16;135;15;22;88;0;android
