Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Arin;;1979;74.63;185;527;224;0;189;2;windows
Korapple;;2024;74.94;183;540;254;0;186;1;windows
Korapr;;1861;74.25;182;566;282;2;176;0;windows
Koriuiui;;1904;74.56;182;568;301;0;183;3;windows
Chinadhk;;1986;74.38;182;580;302;0;178;0;steam
Cannibal;;1959;75.13;182;591;281;4;162;0;steam
Okovrud;;1904;74.81;182;599;251;0;178;3;steam
Istanu;;1933;74.50;181;553;277;0;184;4;windows
Korsasin;;1964;74.19;180;468;190;2;187;5;windows
Jigesb;;1953;74.94;180;478;173;0;189;3;windows
Korsoyoung;;1975;74.81;179;493;259;1;183;3;windows
Bandi;;1905;74.25;178;567;262;1;179;4;steam
Bunny;;1881;74.56;177;528;252;1;180;2;ios
Korxxxx;;1941;74.13;177;541;243;3;171;4;steam
Jeremy;;1983;74.25;177;553;284;0;188;4;android
Dingdang;;1721;73.50;173;599;248;3;167;5;steam
Bored;;1898;73.81;172;438;219;4;164;3;windows
Nipsanhips;;1948;74.06;172;456;253;0;184;2;ios
Zhan;;1691;73.44;172;544;223;4;165;3;steam
Korog;;1929;73.38;172;577;253;4;161;3;windows
Leve;;1781;73.44;171;527;199;8;151;1;android
Ahatry;;1992;74.31;171;591;220;1;179;5;windows
Jediwolf;;1900;74.00;170;435;85;6;156;2;steam
Noranmedal;;1708;72.38;168;468;207;0;179;2;windows
Sofiko;;1859;73.44;168;481;196;1;183;6;ios
Plenty;;1735;73.25;168;485;184;5;162;3;android
Mangsaok;;1726;73.69;168;508;202;1;181;8;windows
Sleeper;;1827;73.81;168;530;231;6;160;1;windows
Rakot;;1904;73.38;168;582;252;0;189;7;android
Koroppa;;1355;73.00;166;527;210;8;147;4;android
Yellow;;2145;75.19;165;180;48;5;171;1;steam
Kororo;;1712;72.75;165;225;48;8;145;0;steam
Gustav;;1812;72.44;165;267;93;2;182;4;windows
Arinfriend;;1943;73.44;165;269;87;0;196;3;ios
Platinum;;1739;74.13;165;276;62;4;174;3;android
Zelli;;1648;73.00;165;299;78;5;164;0;android
Metoz;;1832;73.31;165;319;94;4;172;7;android
Icedin;;1862;73.06;165;330;42;7;156;1;windows
Jokug;;1519;72.81;165;408;109;13;127;4;android
Savage;;1887;73.38;165;466;173;12;144;0;ios
Tita;;1593;72.50;165;506;95;9;143;7;steam
