Judgement,,1961,72.33,152,509,1
Kman,,1951,71.56,152,564,1
Korsexy,,2002,71.44,152,587,3
Persephone,,1907,70.67,147,597,1
Koreakorea,,1734,71.22,145,414,3
Doubi,,1809,71.56,145,556,4
Korbs,,1587,71.11,143,460,1
Deuterium,,1871,71.11,143,584,1
Veter,,1860,71.22,141,467,2
Catalin,,1758,71.89,140,541,2
Lobre,,1562,71.44,139,523,3
Kormaya,,1866,72,138,407,1
Korwook,,1530,71.44,138,503,2
Korcig,,1502,71.33,138,525,1
Chinapcgg,,1424,71.22,138,530,1
Chinaeasn,,1746,71.56,138,538,2
Seba,,1840,71.22,138,547,5
Timmyy,,1313,71.11,138,557,0
Korkids,,1476,71.33,137,435,3
Ruququ,,1241,70.78,137,533,0
Vokota,,1375,70.78,137,563,8
Simon,,1488,70.33,136,432,1
Korkiki,,1557,71.67,136,475,1
Dijkstra,,1460,71.33,136,568,5
Wasted,,975,70.56,135,484,3
Freefly,,1317,71.11,134,520,2
Russia,,1857,71.44,133,465,4
Freego,,1276,71.33,133,496,3
Rascal,,1623,71.44,133,592,3
Morint,,1682,70.22,132,458,4
Creampie,,1195,71.56,132,486,4
Garnet,,1719,70.78,132,526,6
Lurkat,,1524,70.78,132,562,3
Jelly,,1467,71.33,132,567,3
Twinkle,,1453,70.89,132,587,7
Fendy,,1526,70.56,132,589,5
Ipupweallp,,1452,70.22,132,598,5
Avurzol,,1721,70.11,131,453,2
Shotdead,,1408,71.56,131,488,3
Korwinner,,1393,70.56,131,521,1
Hunter,,1409,71,131,532,11
Jace,,1680,71.11,131,537,7
Jinnea,,1671,70.56,131,541,5
Obama,,1556,70.33,131,545,0
Obama,,1528,70.11,131,583,2
Chronic,,1134,71.11,130,441,1
Adira,,1661,71.22,130,446,3
Maje,,1414,71,130,470,3
Chinafly,,1261,70.89,130,499,5
Borke,,1479,70.89,130,500,3
Dongbin,,1549,71.56,130,518,2
Grrr,,1256,70,130,519,2
Neprosto,,1486,70.56,130,558,4
Boni,,1076,70.89,129,410,1
Bounty,,911,70.78,129,451,2
Nirn,,1472,71,129,506,2
Umbradei,,1379,70.67,128,416,2
Nogems,,1404,70.78,128,498,0
Sera,,1175,71,128,508,3
Korson,,1266,70.56,128,540,5
Chinaxz,,1114,70.44,128,543,4
Umba,,1277,70.89,128,551,0
Tazz,,1302,70.89,128,557,3
Chinaab,,1123,71,128,558,4
Rukikruki,,1314,70.67,128,584,0
Koreasik,,1633,70.33,128,598,6
Koko,,1434,70.78,127,403,2
Korloveu,,1340,71.22,127,426,3
Chinaganni,,1455,70.89,127,432,0
Erica,,1550,70.67,127,489,1
Korpiece,,1315,71,127,492,5
Rupolice,,1483,70.89,127,506,3
Adris,,1233,70.22,127,507,3
Zama,,1287,70.78,127,542,1
Narduka,,1151,70.44,127,565,2
Korlucas,,1403,71,127,575,10
Caleb,,1444,70.44,127,590,4
Loser,,1226,70.78,127,599,3
Love,,1265,71.11,126,403,2
Antipathy,,1514,70.78,126,413,4
Bella,,1388,70.56,126,460,2
Ooxx,,1037,70.56,126,506,1
Raiik,,1230,70.89,126,531,2
Holyfart,,1609,70.11,126,554,1
Rosechi,,1151,71.11,126,556,2
Zane,,1315,70.44,126,558,3
Silvia,,1363,71.22,126,567,3
Erics,,1415,70.44,126,569,4
Jimi,,1207,71.33,126,570,10
Chinabb,,1320,70.89,126,573,3
Koroops,,1412,70.56,126,573,5
Matrikor,,1228,70.44,126,584,2
Kazyan,,1082,70.56,126,585,8
Tofff,,1231,71.22,126,592,6
Rughost,,1331,70.56,126,595,4
Demigod,,1535,70.44,125,271,2
Ilushi,,851,70.44,125,380,3
Water,,1094,71.33,125,384,2
Kofrim,,1537,71,125,387,3
Xxxxx,,1123,71,125,414,0
Cokrim,,1411,70.78,125,505,4
Greyworm,,1229,70.67,125,505,1
Chinask,,1275,70.89,125,514,5
Alpha,,1109,70.22,125,518,4
Bisha,,1107,70.44,125,545,4
Nightmare,,985,70.67,124,485,5
Kalima,,1091,70.67,124,502,5
Korgold,,1185,70.33,124,541,6
Korajae,,1248,71.33,124,596,5
Ocunong,,1443,71.44,123,367,4
Eziz,,1416,71,123,422,3
Outmyface,,1236,71,123,429,1
Bonome,,1274,70.44,123,522,2
Cauthon,,1307,70.44,123,523,3
Zinblan,,1226,70.33,123,525,1
Ehavid,,1220,70.89,123,536,8
Kleo,,1322,71.33,123,540,2
Kafra,,1430,70.56,123,550,1
Jiva,,1247,70.44,123,554,0
Kormin,,1300,71,123,561,1
Ozzy,,1285,70.56,123,562,2
Vera,,1389,70.78,123,577,0
Ares,,1487,70.89,123,591,0
Hunter,,1197,70.44,123,597,3
Gunslinger,,1002,70.33,122,464,3
Chinahcbb,,1050,70.89,122,473,3
Kaisa,,1348,70.78,122,488,5
Ezpk,,896,70.44,122,497,1
Jaeger,,1092,70.67,122,502,2
Timi,,1336,70.89,122,503,4
Jose,,1143,71.11,122,505,2
Huck,,1224,70.44,122,514,1
Adoro,,1540,70.67,122,518,3
Spoeks,,1252,70.67,122,525,2
Thebeast,,1232,70.33,122,527,5
Gnoffi,,1004,71.33,122,545,5
Zakapior,,655,70.44,122,548,0
Ircot,,999,70.11,122,562,6
Django,,607,70.67,122,569,5
Wonbini,,1219,70.67,122,577,12
