Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Crazydoll;;2092;73.63;156;594;68;13;125;4;windows
Amishaz;;1788;72.38;137;398;105;14;140;0;steam
Aradnal;;400;70.38;111;576;134;19;103;9;steam
Ocaga;;1193;70.88;110;323;73;23;83;6;steam
Domestos;;808;70.75;107;579;122;16;113;5;android
Helas;;984;70.06;100;363;38;9;152;1;steam
Kallizer;;753;71.56;100;512;193;9;154;12;ios
Boss;;737;70.50;98;561;186;9;142;5;steam
Sycra;;317;70.38;97;467;143;16;138;3;android
Iret;;437;67.69;96;483;77;11;140;17;steam
Zertis;;423;70.06;95;284;41;12;139;3;android
Kirino;;803;70.50;95;305;82;15;125;3;android
Niram;;265;70.50;94;520;101;10;152;34;android
Vexzana;;671;70.63;94;561;190;13;128;5;android
Mommy;;687;71.00;93;463;255;11;141;7;android
Syenite;;320;70.50;92;485;176;20;90;1;ios
Sicoje;;367;71.25;92;583;357;16;114;4;android
Kaga;;232;69.75;90;550;205;10;137;0;android
Vushuri;;828;70.63;90;580;361;10;161;6;steam
Joton;;338;69.75;88;517;220;10;145;5;android
Rashoka;;469;70.31;87;528;180;14;119;14;android
Azota;;345;69.94;86;490;173;7;174;7;android
Atirci;;352;70.00;85;274;53;19;101;1;steam
Osit;;899;70.63;85;374;109;18;104;0;android
Myanb;;479;70.75;85;511;205;13;136;3;android
Caheni;;234;70.06;85;577;64;11;141;9;android
Ergodri;;639;70.31;84;376;78;4;172;6;ios
Okoli;;295;70.25;83;493;206;25;69;3;android
Juge;;487;70.69;83;503;297;9;151;6;steam
Lewy;;423;70.69;82;370;129;16;117;4;ios
Kazebi;;358;69.56;82;499;198;21;90;1;ios
Bhavi;;437;69.00;82;533;227;14;128;2;android
Sevivi;;430;69.69;82;599;363;12;127;0;android
Lekiz;;467;70.19;81;554;206;9;153;1;android
Hure;;473;70.19;81;566;247;9;149;2;steam
Siti;;285;70.38;80;353;108;12;137;1;android
Kara;;269;69.31;80;447;138;16;122;0;android
Idahi;;298;70.38;80;467;169;15;114;0;ios
Appa;;402;70.25;80;515;235;16;133;8;ios
Fucxu;;2005;73.31;79;28;4;12;137;0;android
Eter;;1361;71.75;79;30;3;6;168;0;android
Isis;;979;71.94;79;32;3;11;147;0;steam
Fooku;;2017;73.88;79;34;4;13;130;0;android
Hija;;1422;71.31;79;40;8;20;103;0;android
Nubas;;590;71.13;79;55;11;18;108;0;android
Cebrus;;690;71.25;79;60;8;16;120;0;steam
Ozudre;;702;70.44;79;67;20;10;147;0;windows
Moonrise;;1175;72.56;79;75;2;20;100;2;android
Bibrose;;959;71.75;79;109;27;18;105;0;android
Asha;;248;69.81;78;586;341;6;163;2;android
Grace;;280;69.13;77;410;85;16;124;1;android
Ordan;;345;70.38;77;473;246;6;168;39;steam
Nekothi;;269;69.75;77;487;225;13;128;2;android
Gabriela;;422;70.31;77;498;220;9;157;0;steam
Etam;;250;69.25;76;582;148;16;114;8;android
Magezzzii;;250;70.63;76;583;263;12;134;10;android
Erdurdes;;487;68.00;75;382;192;16;125;4;ios
Tasot;;230;70.13;75;524;113;18;114;3;android
Boob;;161;70.69;74;474;228;9;147;4;windows
Edos;;265;70.25;73;425;159;18;112;0;ios
Muha;;754;71.81;73;471;177;12;135;1;ios
Orguk;;586;70.13;73;548;364;14;143;2;steam
Kittia;;257;70.44;73;570;330;16;116;2;android
Orkek;;454;70.06;72;315;54;7;161;0;android
Vanderlog;;302;70.13;72;424;109;15;118;2;ios
Zebeke;;206;70.63;72;458;152;22;85;10;android
Hellig;;310;70.69;72;465;180;6;166;0;android
Shira;;265;68.63;72;503;138;24;70;2;android
Gogri;;218;70.25;71;410;59;10;145;6;android
Event;;312;69.88;70;401;145;14;125;1;android
Ozeve;;272;68.44;69;446;132;16;101;1;android
Mordred;;206;69.94;69;473;113;11;144;2;android
Athechem;;221;68.06;68;431;86;18;104;0;steam
Mevol;;493;70.44;68;539;243;12;153;4;steam
Izul;;146;69.81;68;576;299;13;130;9;android
Cofri;;213;68.69;67;275;48;12;135;0;android
