Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Donez;;2101;74.50;183;531;140;15;151;13;android
Irgim;;2049;74.50;182;505;139;7;169;10;android
Korddd;;2087;74.44;181;597;47;14;159;17;windows
Kornewbo;;2078;73.88;180;551;235;18;127;3;android
Amad;;2080;74.75;179;499;61;11;144;24;windows
Korpicanto;;2052;74.19;178;587;262;13;130;4;android
Likalle;;2007;74.13;177;581;279;13;138;6;windows
Korconut;;1769;73.44;172;480;252;12;132;5;android
Nemure;;2039;73.25;169;518;210;21;93;12;steam
Edez;;1966;73.63;168;467;216;16;120;8;android
Rukozhopka;;2006;74.38;166;443;206;20;98;21;ios
Adili;;2035;73.56;163;517;111;8;158;21;ios
Sexyasduck;;2061;74.25;162;513;242;14;137;12;ios
Ultears;;1960;73.25;162;580;286;18;109;25;android
Pleiades;;1762;73.31;161;520;205;16;114;28;android
Nobody;;1392;73.56;161;546;200;5;175;9;ios
Spiritwalk;;1856;74.00;159;470;214;10;143;3;android
Yeij;;1971;73.88;159;517;167;18;99;6;ios
Anda;;2010;73.75;159;529;224;11;139;11;android
Psgtpz;;1948;73.44;159;533;200;21;86;13;steam
Zzzz;;2021;73.19;159;597;301;15;116;2;steam
Raserei;;1911;74.56;159;598;299;15;113;12;android
Cotidni;;1940;73.19;158;369;99;25;70;18;android
Trinity;;1795;72.44;157;386;380;15;152;2;steam
Jeremy;;1980;74.19;157;481;131;17;117;5;android
Arogi;;1888;73.63;157;483;107;19;95;19;android
Kormove;;1880;73.63;155;378;179;22;91;37;android
Afsok;;1944;73.44;155;426;104;1;190;2;android
Ruletka;;2017;74.56;155;555;181;14;127;25;windows
Suchka;;1655;73.19;154;502;262;7;165;13;android
Entropy;;1679;73.94;154;522;317;10;146;25;android
Whocares;;1576;74.25;153;397;160;9;148;3;android
Tonkyfried;;1833;73.69;153;408;159;12;135;8;android
Ishi;;1928;74.56;153;530;165;21;91;5;windows
Lara;;1738;72.50;152;368;152;17;116;11;steam
Hanter;;1928;73.88;152;531;196;11;142;27;android
Southkorsb;;1944;73.69;151;325;86;14;127;7;android
Osak;;1839;73.06;151;360;88;18;103;13;android
Mame;;1975;73.13;151;433;143;18;129;17;android
Edodaz;Centurion;2001;73.25;149;452;127;9;143;7;android
Chemnitz;;1958;73.13;149;510;122;9;149;3;android
Totothe;;1051;73.19;148;411;138;17;108;13;android
Sierpien;;1885;73.44;147;446;191;12;130;7;android
Artema;;1917;73.94;147;460;170;27;64;19;steam
Shinobi;;1834;73.63;147;490;168;9;149;26;android
Otim;;1205;72.94;147;509;208;15;120;13;android
Igog;;1783;73.13;147;517;240;12;135;10;windows
Whitearies;;1197;72.50;147;520;332;13;128;6;android
Ruka;;1881;72.88;147;522;283;22;90;20;android
Manolo;;1911;73.19;146;376;145;14;132;27;steam
Kukumba;;1738;73.25;146;457;155;13;126;0;steam
Luca;;1224;72.13;146;559;153;0;190;12;windows
Rate;;1686;73.13;145;304;98;15;118;2;android
Xenonatopp;;1911;74.88;145;371;54;18;105;3;ios
Kutham;;2012;72.88;145;396;97;20;96;3;android
Kirk;;1789;73.19;145;400;104;18;106;9;android
Erkenreg;;1291;73.06;144;475;252;9;153;17;steam
Zorock;;1439;72.69;144;549;327;11;149;36;android
Anotherx;;1157;72.31;144;584;410;12;134;8;android
Jurde;;1546;73.13;143;371;80;10;144;2;android
Zara;;1837;73.06;143;393;98;14;129;2;steam
Durcud;;1387;73.13;143;415;118;17;118;25;android
Zolli;;1839;73.75;143;425;220;20;99;21;android
Ekraza;;1754;72.81;143;447;148;18;108;43;android
Vollom;Challenger;1858;72.50;143;558;160;17;109;54;android
Pewpew;;2010;73.13;142;327;125;12;135;11;android
Garm;;1579;72.81;142;480;203;17;104;6;android
Ethos;;1762;72.94;141;356;143;13;127;4;android
Unheil;;1472;72.81;141;394;148;10;148;4;android
Lele;;1420;72.81;141;415;206;10;146;11;android
Purgen;;1580;72.56;141;430;219;20;97;10;steam
Diga;;1875;72.81;141;437;169;11;141;8;android
Ihufri;;1294;73.31;141;479;195;6;169;13;android
Black;;1249;72.13;141;480;173;20;98;5;steam
Fakcir;;1683;72.25;141;547;222;21;90;21;steam
Zovrus;;1423;72.81;141;579;229;12;135;24;android
Voov;;1673;72.75;140;380;147;16;115;1;android
Andrea;;891;72.75;140;488;210;18;109;9;android
Sibal;;1001;72.50;139;403;104;14;126;14;android
Ayliz;;954;72.31;139;405;156;13;129;6;android
Adrenalin;;1897;72.88;137;303;107;17;113;13;android
Zephyr;;1409;73.44;137;355;106;23;84;11;ios
Nobam;;726;72.38;137;365;160;14;135;21;android
Janesix;;1721;73.00;137;382;73;17;119;10;android
Michalll;;1900;72.69;137;406;165;13;131;23;android
Aurora;;1850;73.38;137;462;217;13;132;28;android
Fuzz;;1459;72.75;137;490;228;16;121;20;steam
Amora;;2013;73.44;136;408;124;9;153;10;android
Sakuse;;1734;73.06;136;424;170;14;129;21;steam
Orensky;;1507;72.75;136;441;175;11;143;28;ios
Ferdy;;1865;72.88;136;501;264;9;141;23;android
Ifridis;;1545;72.56;135;299;81;3;181;8;android
Meisa;;1751;72.56;135;335;161;18;103;4;windows
Eshoza;Challenger;1352;73.25;135;370;170;14;126;11;android
Dzikus;;1115;72.31;135;405;121;13;131;9;steam
Zeda;;1573;72.13;135;405;133;9;146;5;steam
Avis;;945;73.13;135;407;211;16;115;5;android
Dochet;;1830;72.81;135;421;176;11;138;1;android
Rizuni;;1429;72.56;135;424;164;9;150;7;ios
Navrecha;;667;72.13;135;434;207;6;166;5;ios
Fuqita;;1756;73.06;135;439;124;18;101;2;windows
Cothena;;1288;72.81;135;470;136;6;164;7;android
Happy;;801;72.75;135;514;228;10;146;6;steam
Ruslavya;;955;71.88;135;520;202;23;78;24;android
Togliatti;;1454;72.50;135;521;224;23;91;7;steam
Bangboy;;1214;72.13;135;522;237;20;99;13;steam
Nika;;1092;72.69;134;451;182;12;135;9;android
Huli;;1917;72.88;133;288;86;19;105;9;steam
Lanida;;1817;72.38;133;299;77;8;155;3;android
Erhail;;1942;73.00;133;300;111;14;125;6;android
Adnagres;;917;72.19;133;315;69;19;103;6;steam
Volstamp;;1463;71.44;133;354;111;15;122;13;steam
Flux;;984;72.19;133;384;93;14;122;3;ios
Holy;;1181;71.88;133;392;171;21;92;4;windows
