Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Nippert;;2200;75.44;183;564;257;0;180;0;windows
Guitarwolf;;2149;75.06;183;567;282;0;190;0;windows
Jdonggun;;2185;75.63;182;553;242;0;181;2;windows
Gosoyoung;;2200;75.38;182;589;245;1;183;4;windows
Cannibal;;2172;75.19;182;590;268;0;181;0;steam
Phoenix;Challenger;2108;75.38;181;580;275;4;157;2;steam
Noob;;2162;75.13;181;595;239;0;182;1;steam
Boss;;2100;75.06;180;380;132;0;188;0;windows
Korddoti;;2174;75.63;180;400;132;0;191;4;windows
Leejieun;;2200;75.56;180;447;166;0;194;0;windows
Bunny;;2144;75.00;179;599;294;0;182;4;ios
Zorci;;2191;75.25;178;480;204;1;184;1;steam
Bandi;;2171;74.50;178;556;282;0;188;2;steam
Bige;;2144;74.69;176;592;261;0;182;0;windows
Igorek;Centurion;2142;74.81;175;394;142;0;191;7;ios
Korddol;;2200;74.44;175;412;159;2;178;0;ios
Titania;;2135;74.50;175;424;157;0;195;0;windows
Serafall;;2127;74.44;175;475;167;0;180;0;steam
Koroppa;;2120;74.69;175;529;160;10;134;0;android
Ruhagen;;2166;74.63;175;594;137;4;169;9;android
Rajanbsdk;;2100;75.06;173;589;320;3;171;10;android
Annabik;;2064;73.94;173;591;290;5;161;2;android
Dabangzi;;2081;74.69;173;594;305;6;153;9;android
Nika;;2107;74.13;172;514;274;0;176;0;android
Bored;;2127;74.50;172;565;277;2;161;0;windows
Nipsanhips;;2129;74.56;172;598;252;4;164;5;ios
Giao;;2101;73.25;170;414;104;3;175;1;steam
Naomi;;2096;74.13;170;489;81;13;125;4;steam
Bsang;;2111;74.31;170;515;127;12;129;4;steam
Euphemia;;1979;74.19;169;497;246;2;170;3;android
Vumad;;2080;74.81;168;510;234;8;137;0;ios
Spectre;;2100;74.63;168;539;245;7;149;7;android
Jalapeno;;2103;74.63;168;544;212;12;125;2;steam
Agran;;2037;73.94;168;544;269;6;164;4;android
Giragira;;2057;73.13;167;464;213;15;108;7;windows
Keyset;Challenger;2096;73.81;167;468;210;8;147;4;steam
Kash;;1973;74.00;167;547;211;8;144;9;android
Othat;;2087;74.56;167;551;246;11;134;8;android
Getto;;2018;75.69;166;438;191;16;105;2;ios
Chinawind;;2070;74.63;166;492;193;4;169;11;steam
Hanger;;2001;75.00;165;241;45;6;159;6;steam
Enuk;;2138;75.19;165;257;63;14;126;8;android
Drakkar;;1993;73.94;165;261;97;14;144;3;android
Nikadermus;;2088;74.19;165;330;107;15;127;0;android
Moud;;2044;74.06;165;378;100;8;148;0;steam
Arthur;;1864;74.06;165;411;103;4;164;1;android
Rudi;;1937;72.81;165;499;125;3;173;1;windows
Tita;;2063;72.94;165;529;153;2;175;4;steam
Sarv;;2083;74.25;163;529;236;3;173;10;steam
Sammy;;2111;74.13;163;531;205;13;126;9;windows
Agnic;;2108;74.44;163;543;184;13;121;3;steam
Ajemon;;2118;73.69;163;558;234;3;167;1;android
Sonagi;;2044;73.81;163;558;327;9;136;0;windows
Jagovra;;2003;74.69;163;579;211;0;185;2;ios
Ahatry;;2105;74.38;163;585;302;4;170;11;windows
Zardos;;2061;74.19;162;480;174;8;141;1;android
Visi;;2035;73.44;162;485;254;6;148;1;steam
Civa;;1847;72.94;162;547;207;9;145;0;windows
Igrol;;1857;72.69;161;254;128;20;93;5;steam
Trinity;;2074;74.25;160;279;93;11;144;5;ios
Sogetha;;2120;74.50;160;295;92;10;149;0;android
Theben;;1413;73.31;160;296;64;2;183;6;ios
Lvdivvicvs;;2021;74.25;160;334;91;20;97;6;steam
Megri;;2092;74.69;160;348;80;16;114;7;android
Pointy;;2145;73.44;160;364;115;7;156;7;android
Kaicao;;2127;74.13;160;394;140;10;135;1;ios
