Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Apex;;908;72.75;130;541;235;9;149;15;steam
Ojbk;;687;74.94;130;579;321;9;145;37;android
Enrircan;;814;72.69;127;397;91;14;136;13;android
Alximik;;893;71.06;125;479;175;13;138;10;steam
Rame;;743;70.75;123;527;261;19;99;13;ios
Hided;;664;71.63;123;535;191;16;115;33;android
Akret;;889;74.88;122;454;213;6;165;5;android
Rime;;1157;71.00;120;394;181;13;131;8;android
Tomet;;1474;69.25;120;416;111;13;128;6;android
Victor;;1268;71.50;118;556;194;21;91;3;android
Ethosa;;1017;72.19;117;324;71;18;108;28;android
Tirzek;;488;73.75;117;344;56;16;121;11;android
Ultimade;;597;73.06;116;405;128;10;144;17;android
Hedni;;565;70.88;116;551;251;12;136;49;ios
Ekik;;1507;70.69;115;446;229;13;127;6;android
Lewdra;;1001;71.38;115;530;189;11;143;21;ios
Onul;;438;71.56;114;416;140;16;124;21;android
Gunslinger;;702;70.44;112;470;212;6;157;6;android
Jumika;;414;72.56;111;323;114;10;151;10;android
Orcuzuz;;800;71.81;111;514;189;16;121;17;android
Morni;;853;70.88;111;538;261;4;172;3;android
Arba;;960;71.38;110;288;76;15;123;4;android
Nikita;;1037;71.19;110;304;93;12;137;0;android
Oren;;436;70.50;108;574;211;14;121;10;android
Lunchbox;;1135;71.25;107;311;62;11;141;9;ios
Kissgod;;728;73.19;107;351;105;11;139;1;android
Dogreva;;1166;69.88;106;296;51;18;115;7;ios
Steppe;;1122;72.00;106;465;121;19;105;18;android
Hezola;;942;70.63;105;326;85;18;109;10;steam
Jadam;;308;71.38;104;246;74;22;92;13;android
Judis;;1088;74.13;104;263;68;14;132;12;android
Mary;;427;70.44;104;474;163;17;113;26;android
Ebobrid;;884;70.69;104;475;298;18;107;2;android
Pizdenka;;605;70.50;103;324;114;19;104;0;android
Elrond;;629;70.88;103;367;88;14;131;0;steam
Machi;;724;70.50;103;402;104;6;169;20;ios
Tpaktor;;461;70.44;103;419;90;15;123;10;android
Moki;;573;70.44;103;482;121;7;160;2;ios
Deli;;964;71.44;101;356;92;8;159;12;steam
Regin;;858;71.94;101;366;74;15;126;10;android
Kabum;;359;73.63;101;394;122;24;94;7;android
Sechi;;414;71.69;101;493;132;9;149;9;android
Challenger;;568;70.81;100;258;79;10;140;2;steam
Derge;;536;70.44;100;399;102;19;102;7;ios
Rose;;909;70.75;100;432;170;11;139;0;android
Shiroiyami;;878;70.50;99;351;96;19;98;10;steam
Adnuhe;;253;70.56;99;458;283;13;129;4;android
Zora;;457;70.88;98;409;113;9;145;5;android
Lara;;728;69.31;97;390;168;5;177;5;android
Gecoll;;415;70.56;97;434;152;22;86;7;android
Coluk;;348;70.50;97;447;148;12;138;8;ios
Ellex;;421;70.56;97;492;205;11;140;8;android
Mubra;;409;70.50;96;201;66;17;114;0;android
Ethube;;705;70.50;96;212;28;10;147;8;ios
Misssong;;497;70.75;96;350;174;12;146;2;steam
Bandos;;599;70.31;96;364;87;17;119;8;android
Deda;;342;70.63;96;394;111;17;118;3;android
Jops;;393;70.44;96;417;155;10;152;2;android
Anete;;381;72.75;96;576;213;18;115;79;android
Racez;;341;70.44;94;321;114;26;75;7;ios
Voha;;333;70.69;94;396;147;23;117;14;android
Oden;;361;70.19;94;434;226;12;134;6;android
Marie;;341;68.88;94;586;238;9;150;5;android
Buge;;291;72.06;93;201;33;10;146;10;android
Buvre;;555;71.75;93;469;211;9;158;16;android
Lilly;;250;70.69;91;347;99;24;78;9;android
Mousdiy;;328;71.06;91;363;87;18;104;3;ios
Psomagen;;389;69.63;91;473;51;12;138;12;gpgpc
Kirza;;450;70.69;90;296;129;20;95;1;steam
Veterok;;470;69.75;90;408;166;11;134;1;android
Storm;;321;69.56;90;415;92;13;129;6;amazon
Igidruk;;703;70.19;90;457;161;19;104;5;android
Emil;;466;70.19;90;460;181;11;136;5;ios
Oleg;;613;68.56;90;493;245;13;129;8;android
Anus;;299;70.13;89;306;107;15;123;1;android
Distraida;;629;72.50;89;307;70;13;133;16;android
Cyan;;274;72.31;89;372;101;23;96;7;android
Jessi;;380;70.19;89;374;128;14;129;7;android
Cukras;;652;71.06;89;380;266;12;150;2;android
Tempus;;266;70.56;89;399;146;11;146;0;android
Oceci;;265;70.50;89;464;139;21;97;8;android
Vince;;265;68.69;89;560;202;19;108;19;android
Jotunna;;302;69.88;88;363;161;19;99;2;android
Rojol;;263;67.06;88;364;150;16;114;9;android
Jenan;;617;67.25;88;386;139;19;98;10;windows
Mike;;330;70.06;88;401;105;12;136;5;android
Arthur;;401;68.50;88;413;150;23;81;7;android
Freak;;385;70.38;88;491;246;20;99;21;android
Slumdawg;;192;71.81;87;224;74;22;85;4;ios
Orez;;317;69.88;87;347;103;24;79;14;android
Avibrit;;822;70.44;87;461;224;19;103;6;android
Odrat;;444;70.40;87;511;224;15;130;8;android
Elekryk;;332;70.50;87;594;165;10;154;30;android
Lego;;171;69.31;86;250;69;17;113;10;android
Malecula;;391;71.19;86;266;128;23;84;32;android
Acinra;;375;72.31;86;388;118;10;151;1;android
Eventie;;519;70.56;86;469;152;12;137;1;ios
Gitom;;461;68.06;85;305;69;7;162;3;steam
Grid;;338;70.88;85;333;79;21;88;1;android
Hubom;;668;68.13;85;357;41;7;164;26;android
Litong;;368;70.25;85;379;148;13;130;2;android
