Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Roha;;1388;72.81;145;534;182;7;165;0;android
Shai;;2007;72.63;143;290;128;6;160;3;android
Tostos;;1775;71.25;141;514;171;9;143;4;android
Snook;;704;72.31;137;547;101;20;92;2;steam
Godnegre;;636;71.94;137;582;122;8;150;6;android
Sekruza;;1025;71.25;136;500;115;21;85;3;android
Juliy;;1468;72.50;135;432;59;9;148;5;android
Tame;;982;72.75;135;449;55;10;139;6;ios
Jukiz;;1190;73.19;135;538;53;10;153;20;android
Vlad;;760;71.13;134;576;185;11;139;13;android
Dole;;828;71.44;133;476;88;9;150;4;ios
Icaaaaaaaa;;787;71.50;133;582;232;11;137;7;android
Bronze;;960;71.88;132;424;81;12;137;2;steam
Limb;;451;71.44;131;595;65;8;152;9;ios
Imori;;810;71.88;130;527;65;11;129;8;android
Rush;;693;72.38;130;531;88;6;166;7;android
Devres;;898;71.06;130;540;89;11;140;3;android
Alex;;854;71.56;130;562;235;8;160;7;steam
Canam;;562;72.13;130;569;85;18;106;13;amazon
Ivragi;;831;72.06;127;382;113;20;110;1;ios
Nirzenri;;1184;71.31;127;566;113;15;117;14;android
Fyntik;;539;71.63;126;407;73;16;118;5;android
Ashirig;;422;70.50;126;599;126;8;154;20;ios
Idnathe;;1529;72.31;124;578;173;12;124;3;android
Icici;;1896;72.81;123;113;16;18;109;0;android
Orzusa;;481;72.94;123;487;220;13;126;6;ios
Hunri;;538;69.94;123;551;164;14;126;2;android
Arkila;;567;71.69;123;554;232;11;135;2;android
Freya;;440;70.50;123;570;96;11;144;20;android
Cise;;791;71.00;122;475;53;6;160;0;android
Mugi;;995;71.19;122;522;167;18;97;1;steam
Iris;;1582;72.25;122;550;168;20;97;2;android
Anbmage;;1098;70.81;121;324;67;13;127;8;android
Majika;;672;70.75;121;395;52;12;134;0;windows
Juki;;1882;71.75;120;254;93;12;142;3;android
Waxevent;;724;71.00;120;418;88;16;119;5;android
Saruman;;1031;72.31;120;453;80;8;157;0;ios
Kevom;;637;67.50;120;456;92;20;90;0;android
Zora;;926;71.75;120;461;95;7;161;2;android
Horad;;718;72.19;120;482;40;6;162;9;android
Maie;;854;71.00;120;583;90;11;138;2;steam
Fashi;;2066;74.31;119;91;13;16;119;0;android
Volvo;;1491;72.19;119;138;60;12;138;3;android
Siri;;1950;71.00;119;151;30;8;157;2;steam
Aden;;1633;72.25;119;172;34;7;158;0;steam
Esere;;1028;72.13;119;197;20;9;149;0;android
Anima;;1975;72.44;119;205;60;9;150;0;android
Maggiemay;;1891;73.06;119;223;45;12;135;1;amazon
Abek;;1664;71.38;119;243;28;10;143;2;windows
Zunorge;;1011;71.88;119;347;115;17;111;6;android
Veteran;;1149;70.75;118;252;41;9;154;8;android
Keepay;;536;71.38;117;557;98;13;126;9;android
Bitk;;623;72.13;117;568;79;17;108;7;android
Zukre;;624;70.94;117;581;92;18;112;5;android
Hene;;1172;72.44;116;446;164;13;146;4;android
Flange;;861;72.63;116;472;146;19;99;2;android
Johnbueno;;876;70.69;116;548;108;12;141;10;android
Zonrobi;;638;70.63;116;555;106;10;140;3;android
Nomnom;;539;70.75;116;560;130;20;88;1;android
Etes;;1891;72.88;115;232;67;13;132;2;android
Enol;;974;70.63;115;370;81;15;121;7;steam
Hoti;;601;71.13;114;437;103;11;132;4;ios
Eneni;;664;70.50;114;441;172;17;113;1;ios
Zeref;;402;70.69;114;566;236;3;174;1;android
Gonisi;;746;71.00;114;581;116;22;78;5;android
Ketol;;1276;71.63;113;392;128;12;135;11;ios
Zyzy;;458;71.38;113;400;63;11;143;16;steam
Eserci;;632;70.88;113;542;248;16;102;0;android
Agrinit;;1554;72.69;112;386;110;26;85;2;android
Lulu;;1406;72.44;112;421;148;14;128;4;ios
Huza;;1299;72.06;112;428;223;16;112;0;android
Mage;;445;70.00;112;443;272;18;107;0;android
Cuthud;;893;71.44;112;468;93;15;118;3;android
Bashebe;;1581;72.50;112;476;261;14;125;1;android
Ssoner;;671;71.19;112;490;124;12;130;5;android
October;;842;71.50;111;397;86;17;108;7;android
Morrigan;;1182;72.31;111;433;204;10;146;11;android
Vugure;;605;67.13;110;252;23;14;126;1;steam
Nibravri;;1149;72.31;110;348;81;17;113;5;android
Lenribe;;422;70.50;110;415;99;12;137;0;android
Poutsos;;1442;72.56;110;431;96;13;135;0;android
Isha;;746;65.81;110;443;87;7;162;9;android
Orzuvi;;802;70.88;110;452;101;15;134;6;android
Ollisi;;1037;71.44;110;472;146;8;157;1;steam
Pesyun;;311;71.13;110;488;120;22;86;0;android
Snow;;1210;70.69;110;489;104;15;125;2;windows
Nishim;;630;70.75;110;496;328;15;130;5;ios
Alita;;383;70.63;110;511;24;14;121;2;android
Odrok;;784;72.38;110;551;150;25;73;0;android
Mxlplik;;478;72.00;110;566;166;13;141;3;ios
Nikiton;;695;71.56;110;573;186;7;160;0;steam
Roux;;669;71.38;108;502;206;13;132;3;steam
Madone;;861;70.63;108;551;158;16;111;5;android
Heroboets;;553;70.56;107;334;120;14;125;0;android
Mejinni;;525;71.38;107;433;50;14;123;2;android
Zirkania;;702;73.19;107;598;147;15;113;1;ios
Ssssur;;1009;72.44;106;347;106;11;140;5;ios
Sega;;520;72.81;106;434;57;16;116;6;steam
Nola;;471;69.88;106;512;163;14;124;7;android
Debe;;921;69.81;105;178;36;18;109;1;android
Hale;;1855;73.13;105;300;59;12;134;2;steam
Wren;;723;72.50;105;314;150;15;125;0;windows
Emecag;;573;71.56;105;341;154;16;117;1;ios
Akeli;;681;71.81;105;486;138;13;135;4;android
Fleshka;;340;71.44;104;376;108;10;137;3;android
