Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Arin;;2139;75.06;183;562;295;0;172;0;windows
Iilolil;;2162;75.38;183;585;278;0;171;1;windows
Setarci;;2160;75.19;183;596;254;0;183;5;steam
Gosoyoung;;2170;75.63;183;596;295;0;171;2;windows
Apple;;2155;75.31;182;572;265;0;176;1;windows
Pure;;2152;75.19;181;568;314;0;170;2;windows
Cannibal;;2132;75.31;181;572;291;0;178;0;steam
Korea;;2139;75.19;181;575;311;0;174;0;windows
Korwin;;2126;75.19;181;582;307;1;173;1;windows
Korse;;2173;75.44;180;341;124;0;188;0;windows
Chinadhk;;2125;74.88;180;433;135;1;184;0;steam
Best;;2150;75.19;180;438;142;0;189;5;windows
Korsasin;;2173;75.13;180;440;137;0;187;1;windows
Korddodddy;;2077;74.50;179;579;303;0;179;0;windows
Bunny;;2121;75.00;179;597;317;0;184;1;ios
Coco;;2142;75.13;178;500;252;0;178;1;windows
Dlwlrma;;2145;75.38;178;536;306;0;178;3;windows
Ibutha;;2092;74.81;176;526;301;0;194;2;ios
Nipsanhips;;2126;74.63;176;554;288;3;161;1;ios
Kolla;;2085;74.69;176;569;255;0;175;0;android
Ruhagen;;2117;74.50;176;578;284;0;189;0;android
Bored;;2140;74.44;176;583;291;4;159;4;windows
Egig;;2080;74.38;175;364;85;5;165;9;steam
Korkkkkkkk;Challenger;2140;73.94;175;401;148;1;181;0;android
Danks;;2066;74.19;175;435;116;2;172;0;steam
Miguel;;2071;74.56;175;457;133;4;163;4;steam
Miba;;2082;74.00;175;493;136;11;126;3;android
Meme;;2048;73.69;175;538;211;2;170;0;steam
Rafers;;2068;74.63;173;448;216;3;173;0;android
Alpowerful;;2110;74.00;173;462;230;2;178;1;steam
Sleeper;;2060;74.38;173;475;281;0;180;1;windows
Lewy;;2091;73.88;173;541;240;6;159;5;steam
Noseanb;;2112;74.69;173;552;246;3;167;0;android
Oppa;;2077;74.38;173;568;202;9;137;2;android
Waranbgold;;1989;73.88;173;582;343;0;185;4;android
Whiz;;2115;74.50;172;530;283;4;165;2;android
Zagot;;2080;74.00;172;568;210;4;164;1;android
Vishnu;;2074;73.75;172;576;342;3;175;6;android
Meathead;;2065;74.63;171;489;228;4;156;2;windows
Oshuda;;2108;74.88;171;528;274;0;185;3;android
Kaik;;2074;73.88;171;552;297;5;153;2;ios
Heroes;;2083;74.25;171;578;306;0;181;0;android
Jejudo;;2055;73.44;171;592;282;7;163;3;windows
Daisy;;2130;75.13;170;253;92;0;190;0;ios
Noob;;2123;75.13;170;264;69;2;171;2;ios
Winter;;2009;74.75;170;292;94;3;167;0;steam
Multik;;2060;75.38;170;303;94;6;156;0;android
Jediwolf;;2017;74.25;170;317;118;3;197;3;steam
Goldie;;1989;73.69;170;322;158;6;178;1;ios
Emily;;2082;73.13;170;323;119;4;166;0;steam
Seahunk;;2130;74.31;170;327;131;3;174;2;android
Titus;;2090;73.56;170;370;100;6;160;0;android
Dubra;;2026;73.88;170;401;125;8;149;0;ios
Space;;1999;73.63;170;434;122;1;179;5;android
Datejust;;2038;74.00;168;402;256;0;189;5;android
Talxxxiv;;2127;74.25;168;471;263;13;117;1;android
Nivetha;;2048;74.06;168;474;248;9;140;1;steam
Gornathan;Challenger;2119;75.06;168;475;188;16;99;3;steam
Serene;Challenger;2058;74.25;168;507;287;2;179;5;steam
Missmaggus;;1959;73.00;168;509;236;7;156;0;steam
Liana;Challenger;2125;75.06;168;515;198;11;135;6;steam
Dankal;;1918;73.56;168;534;307;3;183;6;steam
Jeme;;2110;74.25;168;537;311;0;179;1;windows
