Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Anerka;;1112;71.94;140;431;223;6;168;11;android
Elis;;1803;72.13;135;325;120;19;109;10;windows
Eurii;;1390;71.50;134;558;202;16;112;18;android
Vison;;1640;72.06;133;455;241;16;111;10;android
Ledi;;1891;72.44;133;597;229;16;119;21;android
Medoed;;1024;71.31;132;416;138;20;101;10;android
Ribi;;1264;72.81;132;436;231;19;130;22;windows
Hisarius;;729;73.13;132;571;115;16;115;11;android
Ekilla;;1054;71.56;131;390;129;4;168;3;android
Odim;;1565;72.50;131;438;201;25;72;6;android
Xerpt;;1078;71.63;131;595;265;13;127;8;android
Sasok;;1315;71.38;130;478;156;24;81;18;steam
Laga;;977;72.50;130;541;159;15;135;9;android
Jenran;;855;70.88;129;553;168;10;150;29;android
Sena;;1384;73.00;128;493;212;13;134;11;steam
Ivrule;;1406;72.44;128;527;158;12;136;3;android
Jachola;;1082;72.13;128;538;177;16;112;2;steam
Aati;;819;71.38;128;566;300;16;115;25;android
Esargi;;817;71.38;127;413;162;8;160;20;ios
Dagi;;1299;71.88;127;484;164;13;137;4;steam
Zari;;1101;71.31;124;399;127;8;158;5;android
Osizik;;693;71.44;124;429;154;22;86;6;android
Masori;;613;70.81;124;532;208;9;146;8;ios
Kebrol;;810;71.56;124;552;199;13;130;27;steam
Vultec;;1435;71.56;124;555;236;15;123;25;steam
Dodrot;;1386;71.88;123;398;171;17;109;3;android
Slayer;;1875;71.50;123;423;181;11;146;12;android
Kucis;;755;72.25;123;453;126;12;139;5;android
Ateni;;1732;71.19;123;477;272;17;105;1;android
Onnem;;621;70.88;122;574;154;18;105;21;android
Nubra;;914;70.75;122;583;225;10;144;28;android
Rara;;1209;71.69;121;520;127;20;98;4;windows
Ajedum;;951;70.00;121;526;123;17;107;1;android
Excluzzina;;1446;72.13;120;262;71;10;149;5;android
Alister;;596;68.50;120;293;98;23;84;7;android
Eshafra;;716;71.00;120;505;73;17;111;4;steam
Koratop;;2090;74.25;119;61;12;23;81;0;android
Onyxops;;2075;74.50;119;71;15;17;112;0;android
Tufre;;1849;72.00;119;123;36;18;103;2;steam
Tubi;;1980;73.44;119;124;48;17;109;0;android
Jucurce;;1716;74.19;119;126;27;10;150;1;steam
Canrunni;;1943;72.81;119;163;32;14;126;3;steam
Zotis;;1167;72.19;119;211;94;8;156;4;android
Tembak;;1289;72.50;119;381;148;15;123;12;android
Agid;;1067;71.00;119;551;282;14;120;10;android
Dundun;;696;71.13;119;595;317;7;159;44;android
Dain;;723;71.56;119;599;187;14;123;9;windows
Vafroda;;797;72.19;118;409;78;19;102;19;amazon
Varke;;753;71.19;118;412;171;20;97;16;ios
Lege;;597;71.94;118;508;186;11;139;5;steam
Qiqi;;969;71.69;118;513;175;13;133;2;android
Litika;;1595;72.13;117;367;118;9;154;18;steam
Ikiri;;725;72.06;117;466;157;11;138;2;android
Bahaiwik;;904;70.38;117;469;171;9;146;11;android
Loshara;;1048;72.25;117;489;106;15;121;12;android
Gghiyfvk;;605;70.75;117;495;177;17;109;6;android
Xarakter;;744;70.75;116;560;193;16;112;3;android
Akod;;498;71.44;116;580;138;11;141;23;ios
Gorn;;654;72.13;116;589;160;17;108;7;android
Ibarkog;;748;71.38;116;597;163;13;125;4;android
Hentai;;1868;72.13;115;151;23;10;145;1;android
Achid;;1582;72.63;115;238;47;20;97;8;android
Pipngyps;;1151;72.56;115;253;81;19;115;3;android
Puma;;847;71.25;115;287;99;18;110;4;gpgpc
Jeshuje;;1123;71.56;115;315;93;8;153;1;android
Farterjoe;;754;72.31;115;316;111;22;85;13;windows
Tripod;;755;72.38;115;376;132;9;156;1;android
Ozenra;;537;71.94;115;403;99;19;109;11;android
Kochi;;771;71.00;115;469;145;17;114;12;android
Bulletly;;936;71.81;115;495;150;17;116;6;android
Kote;;857;70.63;115;507;131;10;146;9;android
Plusultra;;869;71.19;115;534;125;10;146;8;steam
Zola;;984;70.75;115;547;105;10;146;6;android
Lezat;;542;70.94;115;596;144;9;157;19;android
Eventaa;;1058;70.56;114;305;91;14;125;10;steam
Ladashe;;394;73.69;114;361;136;9;147;4;android
Gadiha;;979;72.25;114;374;59;14;125;12;android
Beer;;874;71.50;114;409;165;17;110;9;steam
Sizuni;;627;71.25;114;522;260;4;173;1;android
Gaha;;954;72.88;114;539;327;21;90;25;windows
Hadeda;;742;70.94;114;580;145;14;121;10;android
Goondo;;1222;72.75;113;221;108;13;132;1;ios
Kila;;663;70.88;113;316;97;10;147;4;android
Gunirci;;1282;70.69;113;383;165;11;141;3;android
Solunn;;581;69.00;113;430;188;12;142;6;steam
