Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Ruenna;;1883;73.44;143;515;172;6;160;1;windows
Nancydrew;;1391;73.50;142;420;85;19;98;2;steam
Scarlett;;1463;72.75;140;531;208;9;161;6;android
Ishardao;;671;72.38;138;599;114;23;80;7;android
Quesito;;859;71.06;137;543;261;12;132;8;android
Nanna;;708;70.63;134;585;149;13;125;4;android
Aren;;1149;72.25;132;521;177;18;101;1;android
Ebik;;1220;71.06;130;319;75;4;176;0;android
Haricha;;1099;71.19;130;573;117;11;139;12;android
Ciara;;1040;72.06;127;537;282;14;123;8;steam
Kill;;449;72.38;126;585;164;22;78;2;android
Bran;;823;71.00;126;588;327;10;143;6;android
Yearly;;997;72.38;124;469;104;19;111;2;ios
Rajos;;659;71.31;123;431;200;13;137;2;android
Kirud;;1129;71.88;122;395;86;11;138;3;android
Barke;;996;71.50;122;519;161;12;130;1;android
Dmmag;;927;71.38;122;599;184;15;127;20;android
Ochut;;796;72.44;121;347;99;16;109;2;android
Ariadni;;579;70.31;121;454;71;11;137;0;android
Mera;;881;71.44;120;354;75;18;103;2;android
Saijin;;1280;72.31;120;413;56;17;119;13;android
Jaroz;;987;71.44;120;445;78;22;88;10;android
Dmbldr;;504;70.75;120;466;119;14;122;3;android
Abum;;657;70.63;119;579;122;8;154;5;android
Locheidron;;454;72.13;117;503;178;13;124;5;steam
Adreli;;1175;70.50;116;444;201;11;141;3;android
Koba;;816;71.38;116;548;57;12;128;10;android
Firelord;;1050;70.31;116;572;79;15;116;5;windows
Lulu;;1347;72.25;115;184;37;19;105;0;ios
Nega;;1208;70.94;115;238;29;14;127;0;android
Helpless;;876;71.81;115;280;65;20;92;2;android
Voice;;1032;72.50;115;366;225;14;143;10;android
Lily;;461;72.31;115;425;82;13;134;1;android
Grandoulf;;493;70.69;115;511;57;23;82;4;ios
Evogri;;414;72.19;115;553;152;20;92;1;steam
Ivribe;;706;71.19;114;408;126;18;104;0;android
Woooof;;432;70.38;114;435;123;14;122;3;android
Brzydkazek;;477;70.56;113;513;53;21;90;2;ios
Hatharzi;;781;70.56;113;570;264;24;87;3;android
Gehede;;953;70.06;113;586;111;16;106;2;android
Bonde;;601;70.50;112;518;103;19;101;4;ios
Rodos;;492;72.50;112;520;77;14;129;1;steam
