Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Avag;;1868;73.69;145;277;96;6;164;1;android
Nirgara;;639;72.19;145;535;72;2;174;9;android
Ejinok;;1968;73.25;142;579;439;6;186;7;android
Sparks;;1306;71.13;140;551;202;19;101;5;steam
Irkorzik;;1270;71.50;135;281;127;11;142;0;android
Cashi;;1790;71.19;130;278;141;8;161;0;android
Anbpils;;1916;73.63;130;597;82;8;152;0;android
Tyknife;;1511;69.13;128;599;306;11;137;2;android
Kuroky;;1023;70.69;125;234;70;10;147;2;android
Athube;;1447;70.81;125;336;92;15;134;12;android
Tathivri;;1157;70.88;125;483;167;6;164;8;android
Jule;;459;70.94;123;591;359;10;145;5;android
Impact;;1334;71.81;122;408;278;7;155;7;android
Haksha;;793;71.19;120;319;101;6;159;1;android
Caster;;1004;71.88;120;366;165;5;166;0;android
Rime;;842;70.63;120;438;119;11;138;8;android
Frenzy;;1423;71.94;119;91;48;13;134;0;android
Kurwabob;;1019;70.75;118;548;276;16;107;6;android
Liba;;1448;70.88;115;212;101;11;141;3;windows
Herowk;;756;66.56;115;242;39;11;138;2;android
Guilliman;;1064;71.25;115;277;80;12;140;1;steam
Pincho;;803;70.63;115;317;64;10;140;4;android
Dominium;;592;70.19;115;368;24;14;125;0;android
Norada;;1060;70.94;113;453;302;9;149;6;android
Lukalakers;;883;70.50;113;558;385;15;126;8;android
Bambita;;1130;71.38;112;448;139;7;159;5;android
Torim;;852;70.56;111;436;131;17;107;2;ios
King;;918;70.88;110;106;10;16;114;0;steam
Beefcake;;837;70.31;110;220;79;17;109;0;android
Thoren;;486;71.31;110;222;39;9;152;0;ios
Reoping;;849;71.06;110;274;86;6;163;0;android
Korkabre;;1213;70.69;110;288;106;17;113;11;steam
Isay;;543;71.19;110;483;142;4;173;1;ios
Edamame;;439;70.94;110;551;104;6;159;0;android
Saquon;;591;72.19;108;400;182;20;95;2;ios
Harodre;;535;71.63;108;488;224;9;136;2;android
Zini;;386;70.50;105;247;42;20;96;3;android
Celestial;;631;71.00;105;528;154;9;148;1;android
Buvi;;472;70.31;103;448;196;17;102;3;android
Myxacpyxa;;453;70.19;103;469;247;17;112;3;android
Winweapon;;1239;71.81;102;373;150;12;144;12;ios
Lidase;;564;70.38;102;402;239;13;126;2;windows
Salahedean;;561;71.00;102;569;237;19;94;9;ios
Roamer;;492;71.44;100;238;37;15;123;0;steam
Gijen;;563;72.13;100;288;117;14;127;2;windows
Otolad;;422;70.31;100;347;89;15;114;3;android
Badiday;;485;70.88;100;394;104;11;138;3;android
Boss;;399;70.38;100;447;109;23;88;8;android
Opezdol;;440;67.75;100;484;197;13;137;6;android
Dsfd;;380;69.94;100;502;129;21;86;1;steam
Doll;;926;71.38;99;338;66;6;164;5;android
Cosam;;644;70.63;99;558;282;7;165;3;ios
Zevruz;;621;70.25;98;425;246;19;97;9;android
Licorka;;523;70.75;98;572;154;13;130;4;android
Tobrut;;371;70.44;97;417;119;15;115;0;android
Ardithel;;385;70.44;97;470;158;13;121;2;android
Bonna;;454;69.50;97;503;127;14;118;3;steam
Ogurda;;525;68.63;95;287;55;10;146;1;android
Avad;;389;70.75;95;536;220;6;184;0;android
Blahh;;335;66.31;95;583;234;10;147;1;android
Sihane;;658;70.75;94;572;172;15;126;5;android
Godric;;264;69.56;94;585;275;24;81;26;ios
Cunrid;;290;69.13;93;254;45;12;140;2;ios
Jama;;526;70.25;92;505;246;13;126;7;android
Otik;;871;70.63;92;537;176;11;132;1;android
Okazes;;593;70.81;91;466;112;16;112;1;windows
Allethem;;227;69.88;90;255;60;15;116;1;steam
Tumarido;;222;70.63;90;280;61;18;105;0;android
Ebrehun;;377;70.63;90;296;68;19;110;0;windows
Ginnos;;315;69.06;90;371;172;10;145;0;android
Orzurot;;850;70.63;90;459;94;18;106;6;android
Slimp;;354;69.56;90;464;79;10;144;2;android
Avog;;172;62.44;88;501;187;11;146;3;ios
Ohal;;547;70.19;87;464;143;9;147;3;android
Ehun;;280;71.38;87;552;172;12;130;6;ios
Hrenonegr;;317;68.00;87;599;226;10;153;2;android
Irdigam;;189;70.44;85;348;110;22;86;0;android
Zier;;307;70.13;85;389;51;13;130;3;android
Ekaja;;298;70.38;85;417;60;16;119;3;steam
Igroche;;842;71.81;85;436;139;18;105;0;android
Boec;;381;69.88;83;409;220;18;105;7;android
Balthamal;;468;70.38;83;566;168;8;146;1;android
Gazut;;331;70.31;82;296;149;19;102;9;ios
Isoy;;245;70.75;82;502;158;24;74;5;android
Zova;;304;68.81;82;505;139;25;70;3;android
Knives;;247;70.31;82;527;211;14;132;2;android
Mina;;329;70.94;81;597;226;22;100;1;android
