Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Plink;;847;71.38;125;329;105;8;156;4;ios
Jathiel;;1189;71.31;125;550;272;14;129;20;steam
Caileph;;744;70.81;119;396;84;14;132;21;android
Ethathek;;1281;72.31;115;310;116;17;115;6;ios
Fortune;;644;70.25;112;571;261;13;130;3;android
Devil;;1074;70.50;111;434;250;10;148;2;android
Jove;;999;71.00;108;423;173;18;107;7;android
Seara;;447;70.56;106;480;108;17;106;2;steam
Vesi;;443;70.81;105;363;104;16;123;9;android
Vuchirta;;559;72.75;105;541;250;18;110;44;android
Hujid;;680;70.88;103;312;151;8;159;7;android
Heqon;;313;70.25;103;377;149;17;130;11;android
Afruluk;;436;70.50;102;517;244;6;160;14;ios
Henta;;391;70.31;102;539;147;16;117;3;android
Puma;;757;67.75;100;317;55;19;101;0;android
Lynoris;;468;70.75;100;392;101;12;137;1;android
Chromy;;670;70.63;100;411;120;14;126;1;steam
Gamerrssss;;310;70.50;100;446;129;17;119;20;android
Jeyen;;477;70.00;98;391;147;17;109;3;steam
Minda;;646;69.44;98;539;261;10;146;11;android
Xiaoxiao;;479;70.81;97;355;135;16;121;7;ios
Maze;;443;70.31;96;441;111;14;125;0;android
Lili;;262;70.44;95;285;42;18;111;14;android
Satha;;351;64.63;95;479;120;9;155;1;android
Bandit;;590;70.69;95;580;157;27;67;23;android
Cool;;516;70.50;93;192;51;16;116;6;android
Obrom;;475;70.50;93;353;123;14;125;5;android
Vito;;326;71.00;93;515;143;11;139;12;ios
Rolo;;404;70.13;92;377;98;11;145;9;android
Kosa;;384;69.81;92;380;166;17;104;2;steam
Ganer;;660;70.63;92;384;152;10;145;7;steam
Gangian;;357;70.75;92;505;236;20;93;14;ios
Envy;;270;69.81;91;331;72;27;61;6;android
Pewpew;;428;70.31;91;392;117;18;107;7;android
Satu;;321;70.00;91;406;115;11;140;4;android
Aninnuk;;269;70.44;91;502;159;23;95;5;android
Ojug;;512;70.06;91;550;210;9;149;5;android
Madog;;301;70.44;90;157;31;10;146;4;android
Sednesha;;353;70.50;90;331;62;11;148;2;android
Weis;;279;70.44;90;343;83;12;142;6;ios
Verde;;459;70.31;90;373;116;22;95;6;android
Hadol;;209;70.31;90;381;138;23;86;25;ios
Ircari;;360;65.75;90;385;149;12;134;0;android
Kinghaz;;299;68.06;90;565;107;13;139;15;android
Magamaev;;373;70.44;89;206;18;17;114;5;android
Edrilum;;396;68.06;89;332;112;11;143;11;steam
Boundsky;;188;70.75;89;447;134;12;138;9;android
Altite;;289;70.38;89;508;149;9;161;7;android
