Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Athonne;;935;72.50;129;580;87;11;142;19;android
Smlj;;759;72.31;120;348;41;17;106;7;ios
Abnko;;1756;72.44;119;78;58;15;121;0;android
Thunder;;1754;71.69;119;140;23;12;152;0;android
Revenge;;2003;72.38;119;180;35;12;132;6;steam
Anracas;;1565;72.19;119;188;25;13;129;0;android
Titan;;1217;72.31;119;210;38;11;137;3;android
Hkovo;;1215;72.69;119;214;53;14;126;3;android
Matrix;;588;71.19;117;409;113;26;63;6;android
Starlight;;712;71.63;116;350;94;16;119;11;android
Pioupiou;;463;71.50;116;564;142;6;172;15;android
Konnige;;630;69.38;115;460;63;20;102;13;ios
Dodna;;716;71.00;115;555;124;15;117;1;android
Hello;;780;71.13;113;315;66;13;134;7;ios
Flipp;;524;71.69;113;481;240;9;154;2;ios
Thoren;;888;71.13;113;569;149;17;106;4;android
Sleepyhead;;382;71.44;112;544;132;16;111;5;android
Irdil;;571;71.00;112;585;65;5;171;4;android
Vubrag;;437;70.25;111;465;93;13;131;4;android
Echuchan;;681;71.94;111;481;136;10;142;6;ios
Ripsaw;;630;71.19;110;373;20;12;133;1;android
Rikki;;606;70.94;110;374;21;10;145;4;android
Chop;;819;71.06;110;396;170;14;134;0;ios
Chainsaw;;634;70.81;110;403;25;15;121;4;android
Vatha;;582;70.56;110;432;100;19;100;14;steam
Bugod;;774;71.63;110;467;176;18;109;8;android
Iris;;907;70.75;110;537;83;21;100;9;android
Canne;;493;71.00;110;544;69;10;148;17;android
Sigbad;;343;71.13;110;592;193;13;128;3;android
Ramlucky;;686;71.00;108;529;179;14;128;6;android
Milady;;331;68.19;108;568;192;14;115;8;android
Azurat;;486;72.56;108;572;321;18;110;12;android
Zekribra;;411;70.81;107;486;123;13;129;9;android
Omiz;;1060;71.88;107;509;189;13;132;4;android
Bimbo;;507;70.06;107;513;127;8;151;19;android
Zodak;;327;70.94;106;553;248;14;121;6;ios
Kiss;;557;67.75;105;312;49;12;131;1;android
Grandalf;;547;71.69;105;428;85;7;158;4;steam
Alphabunny;;371;71.50;104;359;112;5;168;4;android
Ohesot;;893;71.31;104;408;167;11;150;1;android
Onrunri;;329;71.13;104;507;58;14;125;6;ios
Octa;;294;72.38;103;322;88;12;130;2;android
Zekroza;;273;72.00;103;366;68;22;84;7;android
Chin;;417;67.06;103;391;99;10;147;8;android
Vaga;;376;71.06;103;458;135;15;129;13;android
Seven;;443;67.56;103;464;252;14;139;6;ios
Anril;;498;67.94;103;467;73;17;109;0;steam
Xixamu;;393;70.19;101;391;65;20;89;6;android
Maza;;570;71.31;101;454;91;7;154;2;android
Nala;;776;69.19;101;530;207;12;139;9;android
Curza;;752;70.63;100;231;42;16;116;2;android
Jodned;;408;70.63;100;236;40;14;126;4;android
