Arin,,2036,75.67,127,548,0
Chinaf,,1959,75.33,127,591,1
Korlati,,2041,75.67,126,534,0
Chinayyy,,2050,75.67,125,483,0
Chinadream,,1983,75.11,125,571,0
Chinax,,2031,75.67,125,584,2
Korkiki,,2057,76.44,124,532,0
Chinalw,,1971,75.89,123,507,0
Rommedahl,"War Hero",1806,75.11,123,534,1
Tempadin,,1943,75.67,123,545,1
Peekaboo,,1911,75.44,123,588,0
Ukll,,1925,75.11,122,524,0
Ppbody,,1832,75.56,122,543,2
Koreadokdo,,1834,74.89,122,553,2
Koreablue,,1922,75.22,122,572,0
Yifeicc,,2000,75.89,122,579,0
Maddawg,,1925,74.67,122,598,1
Chinaqaz,,1812,75.56,121,535,3
Chndoll,,1999,76,121,545,0
Chinazhu,,1946,75.11,120,446,0
Zetor,,1963,75.44,120,535,3
Miluxue,,1847,75.67,120,547,2
Korddoti,,1670,74.56,120,553,0
Triggie,,1331,75.33,120,563,0
Korsickal,,1710,75.78,120,574,2
Bingbing,,1947,75.67,119,515,0
Amanita,Centurion,1722,75.44,119,576,2
Korjin,,1228,75,119,585,0
Chinavw,,1778,75.56,118,406,0
Kormtr,,1847,75.67,118,410,0
Zzang,,1685,75.33,118,436,0
Korwater,,1481,74.89,118,480,1
Vika,,1860,75.44,118,499,1
Chinatang,,1843,75,118,503,1
Yeolmoo,,1818,75.67,118,503,0
Edulebi,,1757,75.33,118,504,6
Chinay,,1424,74.11,118,506,0
Bejin,,1857,75.44,118,512,0
Talela,,1732,75.78,118,515,1
Chinasnipe,,1970,75.67,118,518,7
Gulimok,,1902,76,118,525,1
Vuve,,1703,75.56,118,530,1
Afrin,,1859,76.33,118,544,0
Abred,,1975,75.22,118,549,1
Korhoney,,1853,75.67,118,552,3
Ilordet,,1172,75.22,118,553,0
Mengxin,,1445,74.44,118,561,0
Kbot,,1907,75.89,118,567,4
Chinakouer,,1600,75.67,118,578,2
Behe,,1633,75.11,118,579,4
Jenney,,1723,73.67,118,590,6
Chinawu,,1511,75,118,593,1
Ethetia,,1844,75.11,118,596,2
Chinaqi,,1909,75.89,117,373,5
Chinarotk,,1850,76.11,117,467,1
Korbin,,1439,75,117,488,0
Korjin,,1262,74.78,117,496,0
Brucekr,,1761,75.78,117,527,1
Gotha,,1574,75.11,117,541,0
Tugike,,1179,74.33,117,547,3
Michyb,,1525,75,117,548,0
Hanaduna,,1562,75.22,117,550,0
Hamsterix,,1787,73.56,117,550,5
Forza,,1264,75.67,117,553,0
Moonjaeang,,1622,75.11,117,568,1
