Windforce,,1966,1279464,1
Guitarwolf,,1946,1279454,1
Duelist,Centurion,1985,1279450,0
Korlati,,2041,1279434,1
Korjiwoo,,2020,1279432,0
Chinawt,,2022,1279428,0
Mirdirda,,2043,1279413,0
Irene,Challenger,2005,1279409,0
Chinagushu,,1978,1279402,0
Kins,,2052,1269442,1
Chinax,,2000,1269419,0
Korwookll,,2034,1259472,0
Korseol,,2026,1259439,1
Chinat,,1868,1239491,1
Rngsmile,,1858,1239482,0
Korwoojae,,1987,1239479,0
Kinnu,,1960,1239477,0
Korclc,,1904,1239473,1
Ovob,,1998,1239465,1
Kormm,,1952,1239424,1
Twilight,,1902,1239422,1
Baipai,,1920,1239414,2
Chinalw,,1948,1239408,0
Funcoolsex,,2019,1239406,1
Aphex,,1917,1239402,0
Rager,Challenger,1954,1229547,1
Vorte,,1997,1229508,0
Shiva,,2000,1229481,0
Avatar,"War Hero",1929,1229479,0
Chinaps,,1872,1229475,0
Bunny,,1930,1229469,1
Korjinij,,1907,1229464,0
Kavrardi,Centurion,1772,1229450,1
Korsickal,,1952,1229427,0
Korjjang,,1767,1229423,0
Chinatang,,1845,1229421,0
Zjzhw,,1989,1229420,0
Lindemann,Centurion,1934,1229414,0
Cume,,1841,1229406,2
Chndiablo,,1904,1219495,1
Kurdul,,1934,1219492,0
Sambo,,1512,1219473,1
Anblith,,1438,1219463,0
Korwhite,,1743,1219461,7
Ascl,,1657,1219447,2
Chinalll,,1903,1219439,3
Bisa,,1902,1219407,2
Korsp,,1986,1209588,0
Thumper,,1806,1209495,1
Kungfu,,1417,1209456,1
Kkkkk,,1906,1209424,3
Miluxue,,1769,1209422,1
Qjue,,1836,1209417,0
Triggz,,1835,1209406,1
Whisky,,1398,1199428,7
Henry,,1319,1199423,3
Serjo,,1813,1189575,1
Jugg,,1917,1189547,1
Chinatjhyn,,1933,1189493,1
Flounder,,1764,1189489,0
Osmund,,1529,1189480,1
Aiden,,1806,1189477,0
Chinaseven,,1953,1189477,1
Geezer,,1813,1189474,1
Fantaghiro,,1638,1189473,1
Artori,,1857,1189466,2
Koriron,,1905,1189456,0
Orion,,1504,1189445,0
Byroad,,1834,1189443,2
Marcus,,1892,1189437,0
Mongu,,1856,1189432,2
Korerot,,1659,1189429,0
Okman,,1508,1189427,0
