Koreaabin,,1948,1529481,4
Biscuit,,1952,1499401,3
Koryalacha,,1911,1489529,1
Crong,,1902,1489516,1
Anba,,1847,1489454,0
Lajiarin,,1920,1479497,4
Kinnu,,1827,1459526,1
Korgwaja,,1835,1459489,2
Korllovob,,1755,1459401,3
Ggolcho,,1834,1449503,1
Sauzer,,1807,1439461,0
Gemmie,,1678,1429537,0
Chinagushu,,1753,1429511,2
Gordi,,1820,1399489,3
Aijia,,1656,1399475,2
Rudyx,,1698,1389632,2
Oparlaba,Centurion,1778,1389619,1
Kbot,,1795,1389537,0
Sibaseki,,1706,1389535,0
Higi,,1658,1389530,2
Korjune,,1588,1389494,4
Shine,,1594,1389492,3
Chinaps,Challenger,1756,1389443,3
Matanza,,1827,1389433,3
Mahara,,1577,1389403,3
Korbiscuit,,1851,1379551,6
Kinnu,,1884,1379450,0
Craftlover,,1542,1369581,2
Kormansaok,,1613,1369570,2
Korsoso,,1500,1359724,2
Chinaseven,,1810,1359666,2
Alabra,,1483,1359472,3
Galadriel,,1609,1349417,1
Croon,,1400,1339639,2
Vadra,,1760,1339608,0
Erzaph,,1588,1339604,0
Nightchill,,1558,1339602,1
Mirr,,1461,1339601,2
Slamshisle,,1615,1339573,2
Ercit,,1489,1339543,0
Pamamuri,,1466,1339535,4
Mobyrory,,1723,1339463,2
Vaclily,,1769,1339454,7
Tachatha,,1478,1339426,2
Sauzer,,1257,1329488,0
Imagen,,1337,1329470,3
Ashanderai,,1690,1329466,6
Dongcyu,,1649,1329461,4
Orion,,1358,1329417,4
Azerothmag,,1315,1319520,3
Montresor,,1407,1319485,1
Xiaoqi,,1321,1309727,1
Sand,,1363,1309591,0
Lasa,,1323,1309569,0
Morgull,,1713,1299515,1
Lufia,,1191,1299479,1
Ambeckett,,1609,1299447,5
Kazar,,924,1289578,6
Asade,,1443,1289571,8
Dananb,,1214,1289544,1
Ambeckett,,1553,1289470,2
Ladydee,,1237,1289432,4
Kormystguy,,1234,1289410,1
Capacity,,1273,1279640,1
Ynot,,1462,1279595,3
Rasta,Centurion,1202,1279471,4
Evelynn,,1044,1269632,2
Dime,,1186,1269573,2
Biloute,,1148,1269521,2
Hethi,Centurion,1533,1269430,3
Ojal,,1293,1269425,4
Chinaglenn,,1386,1259642,1
Gizmo,,1222,1259639,7
Azull,,1305,1259596,2
Myxin,,1522,1259402,6
Crkgold,,1123,1239630,1
Kotkot,,1329,1239614,1
Chinani,,1113,1239614,1
Korstar,,1512,1239564,0
Athena,,1214,1239537,1
Levistus,,1460,1239504,12
Adunnuk,,1194,1239481,4
Magadar,,1238,1239480,3
Catut,,1395,1239465,6
Lufia,,1094,1229609,0
Rani,,1516,1229590,4
Sideact,,1341,1229540,5
Maya,,1137,1229533,6
Xpelc,,1278,1219642,2
Zlata,,1379,1219579,2
Korvincent,,1323,1219447,5
Ardos,,682,1219405,4
Soju,,1582,1209762,0
Korando,Challenger,1102,1209685,2
Alora,,1415,1209669,3
Rylie,,1073,1209600,0
Pposasi,,1304,1209448,8
Telari,,1015,1189604,2
Odnol,,1409,1189602,3
Tinoz,,1282,1189595,4
Rugrom,,1260,1189569,1
Ichos,,1190,1189551,3
Goldgold,,1085,1189534,6
Kormagic,,1361,1189508,0
Vnvenus,,938,1189504,6
Chaplin,,1243,1189500,2
Realfour,,607,1189465,6
Izid,,1002,1189461,1
Dasse,,1162,1189457,8
Weras,,1083,1189410,3
Arthur,,890,1189405,4
Draco,,1015,1179458,7
Siram,Challenger,1048,1169569,1
Sugjh,,1193,1169563,4
Witchera,,882,1169561,4
Delphy,,1099,1169542,1
Zeus,,1056,1169542,1
Karaline,Challenger,1305,1169525,2
Korjoogun,,1075,1169522,4
Christine,,1377,1169475,3
Ugungo,,998,1169472,7
Adrian,,1108,1169448,4
Analsex,,1296,1159777,2
Aaaaaa,,1331,1159719,1
Ggggg,,1034,1159653,0
Hexa,,1215,1159645,0
Izona,,821,1159598,1
Idek,,1271,1159531,6
Ysera,,952,1149547,6
Deepblue,,551,1149435,11
Anbgold,,1174,1139625,0
Athera,,924,1139608,3
Huthema,,951,1139603,5
Roni,,1051,1139582,3
Inronren,,757,1139576,3
Diburza,Centurion,975,1139557,3
Otherkaz,,971,1139549,1
Atom,,460,1139514,2
Jina,,540,1139511,2
Devalpha,Challenger,1205,1139511,13
Cjymagicc,,1379,1139479,2
Chinasea,,1215,1139472,2
Runsk,,1067,1139453,2
Oxess,,526,1139453,0
Anon,,803,1139432,5
Isegra,,985,1129669,0
Taza,,1303,1129654,1
Gadriba,,1117,1129595,0
Emma,,1261,1129580,1
Pbdq,,1167,1129561,0
Norza,,1030,1129487,4
Dija,,1035,1129479,3
Garlic,,766,1129443,6
Poop,Challenger,615,1119629,0
Berdy,Challenger,1225,1119603,4
Gloria,,399,1119525,2
Kitku,,908,1119500,1
Kaidi,,869,1119490,7
Xitout,,466,1119440,6
Aheshi,,663,1109746,1
Ssipauka,,1046,1109744,1
Leah,,514,1109736,0
Abaris,,1404,1109719,0
Ailee,,1225,1109647,4
Tihari,,679,1109639,0
Imok,,863,1109604,0
Ozishon,,491,1109582,2
Rokrem,,1101,1109565,0
Fenrir,,571,1109558,0
Zaros,,1139,1109557,4
Korjanus,,944,1109556,5
Helios,,999,1109546,0
Maxi,,816,1109489,2
Xaxxas,,591,1109475,4
Rijeca,,887,1109472,5
Nyou,,915,1109463,9
Magisteve,,1074,1109461,4
Megumin,Centurion,1024,1109425,4
Nonamesy,Challenger,1176,1099660,1
Zise,,1013,1099535,3
Malaya,,952,1099470,4
Chinazl,,1132,1089605,1
Krusty,,710,1089572,2
Asice,,942,1089567,0
Korcarga,,541,1089510,5
Yoadriannn,,505,1089481,3
